JobTitle,Company,Location,Summary,Salary,PostDate,ExtractDate,JobUrl
Customer Documentation Analyst,Phillip Capital Inc.,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7ktOvtx97DgXf8gad5Yy7UrDu0H56Qceq5nN8NkI0H4ivFf5_-Jqz6m_if17JJo_oHX1iGYUg3plNmIM__okbYg5AOaCm-D2Ju00HlbdXFHwen0zAgLW1uLtjXMj87k4DV0t7WFdcqrQ5PiqVXDLfyP_VEcmQfGY9ZBz6mjzE6iMJFV8Wi6xqlERAEGHG7Ukkgk42nmhXt1VQrD9dLgzJRlSTipBgREThrX62DrBqZ1UfGOSpYp1twnLb2ZnoCeu3YkyyCYrbD4xh9IJoFsfq_wg7OcRmbKAcjqWR21PqtjXrREL8FZiqjU9xs7bpkUrnBqLlBDYW9UentL9wyCWPH_AprbEk0CmR-SYBJdLyF33N_TYqpDeM_k4UAArc7MfBPNhOWRy0CQsCW00C35Pkc0nBvi-n2az_vp6nPmD3rA9gGXsTMxdN-3SuA1pEfwDZGQ9Qcr11UU0E0SjDapCs&p=0&fvj=1&vjs=3
"Analyst, Data Analytics",Exelon Corporation,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE3Uz-7uTnSJNZlBBgxWZakqjdzsm9IcLRq2ubJUfUV1hRgQLwqvIKdyaOD2havv9T1kZAwXCbXk4WknHdMUER3FwQGnP_FyJbZTsd4c2NBzF-EolLURjB1ZsYZ3Ro-p_OI--l4uTC7Z9Tj_FTOL1C6uDXNEykRDnRZKQ-xPWwlo7g1mOIOFXWemWmKK_q1IZLUi2DBVYK9FEYgirc-kW2BrvX_T0QNoPk6SS5xqcYbKcz_1AHiMizWYidJifpTIuP97RdktBofi-6TE3eQPU34rY420BcY_HJScyQM7tjEf1pvXLE9LoWmvdVkqvFR-fq4h5QVjI9tJItbr-2azrPQFWnvUwvadFE-JJfhflgO4gtukv-x5woRoinPN_qFMmeKMIfunBq1W4OUfX3xPQZrsOzxhqKJN-_c_836qZZRePoyNAwWxGY2puvTnBfopDI1RhW21lssuJ7TAv3yMc_6GnYSZmRHjqBsh9tHKlaWhXhDWlx9ezTNQjqpWzw_40=&p=1&fvj=0&vjs=3
Business Analyst l,Liberty Mutual Insurance,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt29AqbgYEg5yPLUzthGgtVyBPPILPNd8BsozK-CWD0JSdwoSBBARB53BCCIIgpdNBw8kWlRT2Uq-CLu_mfNx19WPOHuCbmN7IWIxkEI0jxi39rA4Mxoe6tO_TIJrRusqyZyz2MgVlSbjLeCHGdtep9FTJsWqRGawttf7yCW2WHrOi09znNpYNUGrvxxqDI68Z5-e4kio4B7K4-GGRkAztQ0nRgwX4fQeEJJ_HWvYWNKn56EBN7HqppAQvz-1UxTcPiy-VJh9R8t3_UHvHiBdHFnDzoYOQIzm-S4f6NSHgGdhzkdesbegzjfhtGGC0T-eP0uekL2M-10rAeJLPT2rNGwVj02DhL39QyJ7fliru0zWkE7Tnrg_igaidF1XQ4Q8gTfThJ151-vXjUfZx_ZqZeFlr7PN5RMEo0r2N4mBx6OcFN-E0CI0Ihp0UL8jAkYDqg5M8CUjIwyvgPZNMvLSEbZ_PBQw633TlD0dc7PU5bgMsUxfoTfTKOQerwdcE2GdC_51ZCydlBCundNARRQlAWvQBKBN8VlJyIysnMd-keZzy7yQrTcGt-t5J1RavTBZZlWEW8XVfxgnUg-EdfBpWKJi0K9l926M5ZfZ-ZFhPMJJWQyNZwoamAD9UdlE4TZn-MrMAA2D0AirkBCYMdMahHxFLijeKBmwGHlD5ZKjlUDYFvZh0inAfhKucLk070moJaGsGOeQotUsOYMjd9QSPugJgC09BFraIttKZfhf4nKvy1eRlnFnLsA-N1N4T5NODS_7GNSrH7xil7kgIzDzSgWZ8HPPcRO2PkC_3v7-NND0dqdgbQo19ZDWXTSBciGjELMekcglcw4WBjM2cE15aCCnK-NvD3H__g==&p=2&fvj=0&vjs=3
Financial Analyst,IIT Research Institute,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMnn_HNhqL5sz9QLdlQkG6e8umj3fuV3hqPqdDdvK05hH2cBodAknuVdY6sKjfYdQP2Iz5W0BY06mXT3A4uKpZuYBjfQLyzeCggrkvFCRYLqodvJQRkPbdiDYBkyk5CHa3Te3cdhpDuS_EXo7mo41YD70Gw24U8gUC5ULfNceSOvHKXRCJgmW9oXqxIA4OHW2wdXj9OkRBddAZ-ptln_QV0eKcfpMhfpC-ip5cqpuPCBDuaZUKUMXtLezHD1Ckr33VOQ5Dkk3YbrpujWjL3gvXFsSCrSWyiooDEF-OwcPZc176UKgihWTpign_5DbaaAJvdqWpd9bjXS_CZF0FeHARyra_K5Yjo7CeoAMOOnr_cA44PkGlgZ24FGN6ubkTpMbHYVmSYe1fktK4W_oW4eGcz_e9Gvdu_WGJuJ2VrGBDblTyV3dTCFFqPt8qDx0O_Ys=&p=3&fvj=1&vjs=3
Business/Research Analyst - Healthcare and Life Sciences - Remote,"Proactive Worldwide, Inc.","Chicago, IL",; a B.S. or M.S. in Life Sciences with two years of pharma/strategy expertise will also be considered. Specific training or market research experience in…,"$70,000 - $80,000 a year",26 days ago,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOaKrfQUa439ZVe0WjE2pVUTKSmbxwE3oouuN0CcXcJXiGpZSmpXAn8IQobPuie7JJCty1rFMgY-PDrh7gs8tYHuOYtAY3ns_Y8NJhMmp-CWLLek40CqDx4nBQHa1-CeNMjJ0-44c0GzMHQCk1dStyADZsNTDSa2vAqG9liBDDLzQzP_ybGRZXsb4Di5jZb_lS2QKyHiKYESASu0LY7d7vl1rNqOeYYdmMKyNzpM45tuqtX770JjyaAqPapmZEymccMPbybVe3eZcAwACOkNhrfcy6XdNWWzynf8I95Yzj9WyyaCd3EH2VKM7Sf4lnC84XrfahZEQHruFVklTmcwjjuiDTuZpm-WdyNbtKa6ES01iUGD7JQTktYOu9oO3EwrGB4G0HjK4FGMzIplm7aTK_doZ05BNj6C86WIWi3CAzFSt--8NfNJeAp2esKKWmkeyfE4MVBpfV4MzYw9S_2d6KIceQxUApLx0dqUeYw4ngKTyjmQs0uWDR&p=4&fvj=1&vjs=3
Financial Analyst,Titan Security Services,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_QtAeVZiEOFT-l6az75H4HzoSKRdZ-V_u9W409_B5AgwSFZJqzmjZqIMkqLwd7FPRzo83yH6pYn2KNY3Ov6EohLhaEAems8AOFzhYQTZzV0pjrI7fALDrx4wLhJ2ljtA_JJOR2LKsw52uDtjtxswZITqASsjUx1d5CiKdS3_LFXjSFtqe2TT5UhLZbzWzzXXcBn0bzfr7G6kNftpm9laQTdebIJR920Uk23DNFibvCM-mzLu9-v3dH9rhGYjcbBio9mtiQefHVJpylgSGectTuUx-gDedWfHuWcDXXZGmTiupVk2-yJPXCrqjuwgGe5bAtERhTgL2GMp_uPs06jZwezeNTKwQLw1_gxzycT2ZdgIJ1HaciOeNNU05WvDD2wR4rYBJD15gKqlmD_68KhmRxTkwUf_yb0_JKTuENsMih9WUPSZsuViFZje3ocscw0VbKq4iFxe0xSN9D5-IveCXNabP0Oa8hYSOctknA1nIrDTrgiAVy-qNSoc42O-iesqmyIorzW1iKIJslnPL6OcOq2XNfIQ6R0W4Mm7pBxYWyJsk-PyrQRXxkB4V_UwvNG4gJ_lUfGdxbwPebaNKIQtwWG-H_yuLKiWYuGAVbbTKTqp2FS_VoSKt6H5v3VDjhgLwHS8kddDj7o3NK0lN0Q5I2VT0xABW6dIrFIOmP7txmgP-Sks-8T-M5PUNmQEIZJaXY24wLkGQxxvRKK1mLiWH1pQMXfz07_ha-Q9nq8fHX6gcniF1NkW6FCmOCmMvgBDq8MfBD4mK4eT22mS1SH-VKu2_5Qc8fLTtlgCoATDLgY_UouwOkwGfYM_44kknjWI=&p=5&fvj=0&vjs=3
Entry Level Business Analyst,Weboptimix,"Chicago, IL","Analyze business processes, functions, and procedures to determine most effective business systems software organisation. Job Types: Full-time, Contract.",$30 - $33 an hour,1 day ago,12/5/20,https://www.indeed.com/company/Weboptimix/jobs/Entry-Level-Business-Analyst-052587b0d31dc308?fccid=ef0710f9d5ff9321&vjs=3
Client Analyst,Marquette Associates Inc,"Chicago, IL","An independent investment consulting firm, Marquette Associates guides institutional investment programs with a focused client service approach and careful…","$70,000 a year",30+ days ago,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhHXYWuiehDB6Z53pDf5WLr3CE1qkvYgNF4nIQEvUvMKl_AYRo_tsI4S3XdwocWD1jH7ww4xW5gVb6AE7twv5efguBOfnQf_8nH0E_-si0nFSlHYbqwpxLrZf94WEBftQe8zxV0qXC_8xV2zLyrn5SmO8XdukfQdyuFeXgojQ8yNGGfS_x2cw-_zSf9Q1-xrmhe5SXDPjEqnh52rJ2qU2F6qiNtuTXcOOeTJovYZbE30r4DYls5QFTJjKKwzjJy9chkOiAXQ9hG5SlKNQBUC1tD3h4ZEj4C6ABsZjTQvZXH8tmtJJGV8drq_9wDfSUs0W3YcizTDdVkaBLypVEkYfEMt7W-BBa3ScU2xuCUnM5rjqR4l9FjwtnCbvxBDKAih2EubJcZAy5JtWnobjzjrgclBcXry4ta_hMudhOgKlXOv1WVxi_exXFKcvD1rDPMz4=&p=7&fvj=1&vjs=3
Data Analyst,Acquire Health,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dc2zUiIsQASzXLozlpCQXlMPOypP54fr3HwipRd46hZTgCsevBposCvmHzdQUg0U9O5p6_XzHrqjsa849p16Lo1tQVFDkg1XNeJpiUKB2xR2YN0nfUvP89Dm2bXReIwuPxvnIGtpOVONebbt1_drn5_Fn2H5nXjYgMcXZrOFsQqm-Lx20lb42V8z6tFrw-zLwZQNP5EDoriIw7AdVMd1GVmGKPH4c0uhQk21L2pjSHVRGKCawlRyNwJiMDhAKM3v_lgPVxHXXL_f74FP8WHIEl73FfDVC6dVYTc8tnLnOt6jmsnR14VedidgWgWLMKaSCF3VclABje0teVa9Dm_FcZNWNrBa2EZ2uOMQrMUdvVNrfk9UupcDlk1I8LgjZ44IAwqdm5Z_z_6BpCD_3KKBALrYHTKHfU3FUne6gLT9vYdpbQCAwYzCZiqrIok3aNzE0=&p=8&fvj=1&vjs=3
GIS ANALYST,City of Chicago,,,,,12/5/20,https://www.indeed.com/rc/clk?jk=87ec71007f064b61&fccid=5d3899b3741098f2&vjs=3
Sr. Business/Research Analyst - Remote Opportunity,"Proactive Worldwide, Inc.","Chicago, IL",The Sr. Analyst is responsible for working with a team to provide integrated analysis of the competitive landscape by organizing and analyzing qualitative…,"$80,000 - $90,000 a year",9 days ago,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOaKrfQUa439ZVe0WjE2pVUTKSmbxwE3oouuN0CcXcJSZOt-1STVWE5ggrlMhalOm6KLQHcz_5lRaHavcAJYGQLT6bJ75-OZ7MCkz4R3m9e0lfUvNERxnYd3GSg6fbv1msBbERTZEHa55jGH8f0fe6NR5gSmtDoPOxl63mFp4PplgB4IkECcKf154ZaZSurnfLyT7fA6crV4JVsToznu99kk4vuW3d7QjY2jcTiZ_YwPtISjWS26hfmeWNZv-a6HMCQoNUq6oGNe-YkLsKrLr5NDBAwdDAzt9PmXtnY1CUVQq5EwocJMKVB6DyR8Hyro00nORtcaB-aVuaMVEp2bbDVLEHTiER6U3O2qv_bXue3qAgDpk9EjxYZ6CbgfMEv7Yyt8qQCopFZm3CeT9wAEnaqJTx7TvpPqHlIjrrwPuIziUOnVh3QfNvH_0IH5I-xQKf5UOdryBPwYpcACf6n5NV5qqjjXXYB5I=&p=10&fvj=1&vjs=3
Junior Analyst,IRI,,,,,12/5/20,https://www.indeed.com/rc/clk?jk=e9260f655dd00488&fccid=62d5a343c489baf2&vjs=3
PGIM Private Capital - Investment Analyst (Midwest),Prudential,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGR8NqIBiOdcV7aE2yi2pN3GiH68C7-IyWvvKjE3lclmk4sBxXmaRlF4KQBVi3xjwKBwBViSz_cXDBPZqwuOiUMSzjVhsn2-wi8SS0Y-PGpUj1He38C_VTqTCYOYFCA29nIh5RLVx_nmRjhjSBDyBB-7HiCNPfNPBY2LCCoNcEQDm1X-KeoAZ20mU3cmYutnlCkHBj4iPjZ-07xPxF_cbQXZNzS52X-7QFJ95dKZWDsMazwoK_OzqPcXxfYE92GmppsibfqwXQXWxVGYyRLexLU7i12G2k8-oehMMkpC-uccEm4eFWUXJyc9QYq1jVPBjQCUiOTh_Y56_D4P_4NSIhXisKfYX_Djn1Rh50ksbUi3F_DHUYCNJWcJwkfC0oIWH9w0SduJbgS9MORDnlI9mD3wCyVQ4YJHlSpExt7mLS3c9MDUIj1POBU7nQzaYGS8q4lzsfk5bf4cdslFneOQNgi6V2RjGC77ZkxRYcyp2Eyst4AB5UiqjNCfMZsZwO01OsfZ72D1MgMuW0GAbcnuQl&p=12&fvj=0&vjs=3
"Data Quality Analyst - Full Time, Days",AMITA Health,,,,,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A15keU9CoH3JeQiPvhf35k93-LrqLpoZK-Sj8l0Ye6b6Gd8tAhKIFKXC2AR4YNBi5fymxXF4zMF3YFy9Y7fBUyWUA4fJT8G-_pKoZdQF0jdqDQ3pEdLYscTxpN5C41tQ6pUP-KBOGKFu-HSVLjzItAnEx4hirYirpT-W6NP0uVB1tB6LL_NXFQh-L-aa5uSDWLWWxZl4ZwG18MWgZMCppgpTl1MjaSSvXXhCwQCvtiEmgNQ-VPmyJ4ut4KfDKbAiY7FRbwylwDjiOch6xKZTivd-FJ3GaIR7Up54miZmIVadM44Zj7RjpE-QUAjhxpYX_fpxelXI9VugcIK9Uf1YIYl1Ur71CzY6HSpqzvju9TmHlQ3tPwOQL7pTmMp1zUQYVpE0tERkwIjl79mWl3TzV2Iti8CwOTdfxHbC4Ldv7LEP8sWAW6Xd1-BsoNWIytfF-KOSY3OUZFRBWBZDosMA2TYCn8ScqqLve9BsMtnmshnG5SY5MsC_em6lHBx72ZtUlDcVLntn7a1v4qBUTPNEwSa46rb3H3iRqOfymoS-XAgw==&p=13&fvj=0&vjs=3
Data Analyst,Harris & Harris,,,,,12/5/20,https://www.indeed.com/company/Harris-&-Harris/jobs/Data-Analyst-16c0bd614375bf50?fccid=3c6e57bbfdcf9e6d&vjs=3
Data Analyst,Harris & Harris,,,,,12/5/20,https://www.indeed.com/company/Harris-&-Harris/jobs/Data-Analyst-16c0bd614375bf50?fccid=3c6e57bbfdcf9e6d&vjs=3
Operations Analyst - Entry Level,CoinFlip,"Chicago, IL","Coinflip is hiring a Data Entry professional to perform administrative, reconciliation and customer service duties. Keeping track of the company's cash.","$30,000 - $35,000 a year",30+ days ago,12/5/20,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Au8cq9esCRUY8FUcHndFqVXtmyx4FeMqxTXDW3Gycw8v0oag6iHgVRNk0ZBtWCj8nmXYR9gPF60Diu1luCWGb-tSnkrGcbKjwiV1wXq7_S2Dq-mk04LencYkg3ZaOqzCfBXsqiv8q0lVt85XV_IJM6v4Tj1uo-4BlxekOS0pfPXFp8agT-MLXBQc-NpT3MJMEMw_tFA43ZGaTndzAa4jgpTYVO8VEhMlgYmAwHHhE3FUe4fqB0t41SwPRB09KR5zXvINOZyXLMEdjU19TX4WRwNDusDRDDTCHBOPAXC3YXxHuClq3S-LULBq8QX1BiBVkY70od-zLog7qmkkPNtVjqXj_0IYg18KEhMeCUOIQCOyT6haka3KaR5Jdqk-uSgf2j2S-9PpoaX4eVHu3N1MUluOND8qOc_AIxR-fyMAfDrDFkoHlmQ1Woe5MCwQqwwO5xHBduKDQGl5avYaR1oba_&p=1&fvj=1&vjs=3
Associate Business Analyst,Janus AI,"Chicago, IL","Janus uses machine learning and analytics to improve collection, reduce claim denials, and lower cost to collect for healthcare providers.","$40,000 - $70,000 a year",2 days ago,12/5/20,https://www.indeed.com/company/Janus-AI/jobs/Associate-Business-Analyst-a83fb88116611e06?fccid=5a7de25242c47bcd&vjs=3
Quality Analyst I,"JPMorgan Chase Bank, N.A.",,,,,12/5/20,https://www.indeed.com/rc/clk?jk=0960ba6da02b88f5&fccid=aaf3b433897ea465&vjs=3
Research Analyst- Entry,"The Segal Group, Inc.","Chicago, IL","Assist in the idea generation and production of blogs, white papers, thought leadership pieces and other related projects.",,30+ days ago,12/5/20,https://www.indeed.com/rc/clk?jk=56b5641b0e2391bf&fccid=7bdef1af8470170f&vjs=3
Contract Analyst - Hungarian Language Review,LexisNexis Legal & Professional,,,,,12/5/20,https://www.indeed.com/rc/clk?jk=c99258feed57a7cc&fccid=06206ab329e0eb22&vjs=3
Data Analyst Supporting the FBI,Forfeiture Support Associates,,,,,12/5/20,https://www.indeed.com/rc/clk?jk=5f5d9a6274ae9260&fccid=8ce3cf8e1e3ddd14&vjs=3
