area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,avg_wkly_wage,ownership_desc,size_class,state
01000,1,1021,53,0,2020,1,Alabama -- Statewide,Federal Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,617,11131,11060,11032,180956144,1257,Federal Government,All establishment sizes,AL
01000,1,1021,53,0,2020,2,Alabama -- Statewide,Federal Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,616,11055,11231,11225,190964250,1315,Federal Government,All establishment sizes,AL
01000,1,1022,53,0,2020,1,Alabama -- Statewide,Federal Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,2,12,13,13,87840,533,Federal Government,All establishment sizes,AL
01000,1,1022,53,0,2020,2,Alabama -- Statewide,Federal Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,2,10,10,10,83189,640,Federal Government,All establishment sizes,AL
01000,1,1023,53,0,2020,1,Alabama -- Statewide,Federal Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,18,136,131,131,2925931,1697,Federal Government,All establishment sizes,AL
01000,1,1023,53,0,2020,2,Alabama -- Statewide,Federal Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,18,130,129,133,3210224,1890,Federal Government,All establishment sizes,AL
01000,1,1024,53,0,2020,1,Alabama -- Statewide,Federal Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,44,1904,1919,1923,40461119,1625,Federal Government,All establishment sizes,AL
01000,1,1024,53,0,2020,2,Alabama -- Statewide,Federal Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,44,1922,1933,1936,42235169,1683,Federal Government,All establishment sizes,AL
01000,1,1025,53,0,2020,1,Alabama -- Statewide,Federal Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,38,7052,7025,7014,123546710,1352,Federal Government,All establishment sizes,AL
01000,1,1025,53,0,2020,2,Alabama -- Statewide,Federal Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,39,6931,6966,6984,137668727,1521,Federal Government,All establishment sizes,AL
01000,1,1026,53,0,2020,1,Alabama -- Statewide,Federal Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,27,708,708,710,4323526,469,Federal Government,All establishment sizes,AL
01000,1,1026,53,0,2020,2,Alabama -- Statewide,Federal Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,28,705,701,704,3815777,417,Federal Government,All establishment sizes,AL
