"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2020","1","","Alabama -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",129610,1975835,1986596,1983480,25085570031,10048446052,112271351,974,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1622,1.3,19359,1.0,17474,0.9,5821,0.3,925205041,3.8,198770847,2.0,-6898192,-5.8,30,3.2
"01000","0","10","50","0","2020","2","","Alabama -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",131248,1771539,1820515,1868735,22819741399,2078414240,23376267,964,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1738,1.3,-217181,-10.9,-173620,-8.7,-128664,-6.4,-755848853,-3.2,-509554951,-19.7,-9002009,-27.8,54,5.9
"01000","1","10","51","0","2020","1","","Alabama -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1247,54521,54643,55021,1100867539,0,0,1547,"",1.64,1.43,1.43,1.43,1.81,0.00,0.00,1.27,"",31,2.5,1184,2.2,1055,2.0,1524,2.8,-6087967,-0.5,0,0.0,0,0.0,-45,-2.8
"01000","1","10","51","0","2020","2","","Alabama -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1251,54909,55070,55030,1185461438,0,0,1658,"",1.63,1.38,1.38,1.38,1.63,0.00,0.00,1.18,"",34,2.8,1309,2.4,1380,2.6,1102,2.0,64320513,5.7,0,0.0,0,0.0,53,3.3
"01000","1","102","52","0","2020","1","","Alabama -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1247,54521,54643,55021,1100867539,0,0,1547,"",1.65,1.46,1.46,1.46,1.85,0.00,0.00,1.27,"",31,2.5,1184,2.2,1055,2.0,1524,2.8,-6087967,-0.5,0,0.0,0,0.0,-45,-2.8
"01000","1","102","52","0","2020","2","","Alabama -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1251,54909,55070,55030,1185461438,0,0,1658,"",1.64,1.40,1.41,1.41,1.66,0.00,0.00,1.18,"",34,2.8,1309,2.4,1380,2.6,1102,2.0,64320513,5.7,0,0.0,0,0.0,53,3.3
"01000","1","1021","53","0","2020","1","","Alabama -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",617,11131,11060,11032,180956144,0,0,1257,"",1.64,1.24,1.24,1.23,1.71,0.00,0.00,1.38,"",6,1.0,119,1.1,-55,-0.5,-32,-0.3,16973994,10.4,0,0.0,0,0.0,117,10.3
"01000","1","1021","53","0","2020","2","","Alabama -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",616,11055,11231,11225,190964250,0,0,1315,"",1.62,1.20,1.21,1.21,1.49,0.00,0.00,1.24,"",1,0.2,-22,-0.2,109,1.0,135,1.2,-2953818,-1.5,0,0.0,0,0.0,-29,-2.2
"01000","1","1022","53","0","2020","1","","Alabama -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,12,13,13,87840,0,0,533,"",1.28,0.14,0.15,0.15,0.06,0.00,0.00,0.45,"",0,0.0,0,0.0,2,18.2,2,18.2,8516,10.7,0,0.0,0,0.0,-5,-0.9
"01000","1","1022","53","0","2020","2","","Alabama -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,10,10,10,83189,0,0,640,"",1.25,0.11,0.11,0.11,0.05,0.00,0.00,0.46,"",0,0.0,0,0.0,0,0.0,-1,-9.1,6765,8.9,0,0.0,0,0.0,71,12.5
"01000","1","1023","53","0","2020","1","","Alabama -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",18,136,131,131,2925931,0,0,1697,"",1.87,0.85,0.82,0.82,0.76,0.00,0.00,0.92,"",-1,-5.3,-8,-5.6,-10,-7.1,-10,-7.1,111590,4.0,0,0.0,0,0.0,172,11.3
"01000","1","1023","53","0","2020","2","","Alabama -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",18,130,129,133,3210224,0,0,1890,"",1.86,0.79,0.78,0.80,0.73,0.00,0.00,0.93,"",0,0.0,-8,-5.8,-10,-7.2,-8,-5.7,409907,14.6,0,0.0,0,0.0,344,22.3
"01000","1","1024","53","0","2020","1","","Alabama -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",44,1904,1919,1923,40461119,0,0,1625,"",2.41,2.09,2.11,2.10,2.65,0.00,0.00,1.26,"",0,0.0,12,0.6,23,1.2,16,0.8,-4851567,-10.7,0,0.0,0,0.0,-211,-11.5
"01000","1","1024","53","0","2020","2","","Alabama -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",44,1922,1933,1936,42235169,0,0,1683,"",2.39,2.03,2.02,2.02,2.42,0.00,0.00,1.20,"",0,0.0,35,1.9,24,1.3,24,1.3,1147721,2.8,0,0.0,0,0.0,22,1.3
"01000","1","1025","53","0","2020","1","","Alabama -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",38,7052,7025,7014,123546710,0,0,1352,"",2.22,1.24,1.23,1.23,1.36,0.00,0.00,1.10,"",0,0.0,147,2.1,74,1.1,61,0.9,2929129,2.4,0,0.0,0,0.0,14,1.0
"01000","1","1025","53","0","2020","2","","Alabama -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",39,6931,6966,6984,137668727,0,0,1521,"",2.25,1.19,1.19,1.19,1.27,0.00,0.00,1.07,"",1,2.6,4,0.1,98,1.4,130,1.9,5222295,3.9,0,0.0,0,0.0,41,2.8
