"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02000","0","10","50","0","2020","1","","Alaska -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",22442,306480,312758,312269,4568829701,2917940199,44256198,1132,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",757,3.5,1738,0.6,1204,0.4,-874,-0.3,110702572,2.5,109354296,3.9,1029155,2.4,25,2.3
"02000","0","10","50","0","2020","2","","Alaska -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",22656,274179,285286,296220,4429865532,2027699867,30775596,1195,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",620,2.8,-43537,-13.7,-45635,-13.8,-43068,-12.7,-172936277,-3.8,-247168317,-10.9,-4615935,-13.0,120,11.2
"02000","1","10","51","0","2020","1","","Alaska -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",550,14719,14712,15207,284843267,0,0,1473,"",4.18,2.49,2.45,2.51,2.58,0.00,0.00,1.04,"",17,3.2,438,3.1,396,2.8,755,5.2,-5284655,-1.8,0,0.0,0,0.0,-82,-5.3
"02000","1","10","51","0","2020","2","","Alaska -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",551,15569,15352,15592,332854885,0,0,1651,"",4.17,2.52,2.45,2.47,2.35,0.00,0.00,0.95,"",18,3.4,1107,7.7,165,1.1,233,1.5,29735902,9.8,0,0.0,0,0.0,97,6.2
"02000","1","102","52","0","2020","1","","Alaska -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",550,14719,14712,15207,284843267,0,0,1473,"",4.19,2.54,2.50,2.56,2.62,0.00,0.00,1.04,"",17,3.2,438,3.1,396,2.8,755,5.2,-5284655,-1.8,0,0.0,0,0.0,-82,-5.3
"02000","1","102","52","0","2020","2","","Alaska -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",551,15569,15352,15592,332854885,0,0,1651,"",4.17,2.57,2.50,2.52,2.40,0.00,0.00,0.95,"",18,3.4,1107,7.7,165,1.1,233,1.5,29735902,9.8,0,0.0,0,0.0,97,6.2
"02000","1","1021","53","0","2020","1","","Alaska -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",221,2324,2303,2311,34664327,0,0,1153,"",3.39,1.67,1.64,1.64,1.80,0.00,0.00,1.09,"",3,1.4,38,1.7,14,0.6,6,0.3,213382,0.6,0,0.0,0,0.0,-3,-0.3
"02000","1","1021","53","0","2020","2","","Alaska -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",222,2317,2336,2322,39474940,0,0,1306,"",3.38,1.62,1.60,1.58,1.59,0.00,0.00,0.99,"",2,0.9,19,0.8,25,1.1,34,1.5,2088114,5.6,0,0.0,0,0.0,55,4.4
"02000","1","1022","53","0","2020","1","","Alaska -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,56968,0,0,876,"",3.68,0.36,0.36,0.36,0.23,0.00,0.00,0.64,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-68,-0.1,0,0.0,0,0.0,145,19.8
"02000","1","1022","53","0","2020","2","","Alaska -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,6,48565,0,0,700,"",3.63,0.35,0.34,0.41,0.15,0.00,0.00,0.41,"",0,0.0,-1,-16.7,-1,-16.7,0,0.0,-1722,-3.4,0,0.0,0,0.0,55,8.5
"02000","1","1023","53","0","2020","1","","Alaska -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",5,23,22,22,512486,0,0,1765,"",2.99,0.93,0.88,0.87,0.73,0.00,0.00,0.82,"",0,0.0,-5,-17.9,-6,-21.4,-6,-21.4,-99274,-16.2,0,0.0,0,0.0,84,5.0
"02000","1","1023","53","0","2020","2","","Alaska -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",5,22,22,23,597820,0,0,2059,"",2.99,0.87,0.84,0.87,0.70,0.00,0.00,0.81,"",0,0.0,-7,-24.1,-7,-24.1,-6,-20.7,-44420,-6.9,0,0.0,0,0.0,355,20.8
"02000","1","1024","53","0","2020","1","","Alaska -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",30,705,703,702,17357449,0,0,1898,"",9.49,4.99,4.90,4.86,6.25,0.00,0.00,1.27,"",-1,-3.2,17,2.5,9,1.3,10,1.4,-854207,-4.7,0,0.0,0,0.0,-128,-6.3
"02000","1","1024","53","0","2020","2","","Alaska -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",30,709,708,716,19087860,0,0,2065,"",9.45,4.84,4.71,4.71,5.63,0.00,0.00,1.18,"",0,0.0,16,2.3,4,0.6,12,1.7,1350559,7.6,0,0.0,0,0.0,117,6.0
"02000","1","1025","53","0","2020","1","","Alaska -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",14,869,867,874,12938253,0,0,1144,"",4.73,0.99,0.97,0.97,0.78,0.00,0.00,0.80,"",0,0.0,1,0.1,-14,-1.6,10,1.2,-1058636,-7.6,0,0.0,0,0.0,-92,-7.4
"02000","1","1025","53","0","2020","2","","Alaska -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",14,846,847,839,13103346,0,0,1194,"",4.68,0.94,0.92,0.90,0.62,0.00,0.00,0.68,"",0,0.0,-13,-1.5,-26,-3.0,-30,-3.5,118223,0.9,0,0.0,0,0.0,42,3.6
"02000","1","1026","53","0","2020","1","","Alaska -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",51,964,990,991,14236472,0,0,1116,"",15.51,10.53,10.53,10.50,13.44,0.00,0.00,1.28,"",0,0.0,-27,-2.7,5,0.5,-21,-2.1,-718493,-4.8,0,0.0,0,0.0,-39,-3.4
"02000","1","1026","53","0","2020","2","","Alaska -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",51,1004,1116,1373,18556784,0,0,1226,"",15.47,10.69,11.58,13.06,14.08,0.00,0.00,1.19,"",0,0.0,-51,-4.8,-321,-22.3,-189,-12.1,1591670,9.4,0,0.0,0,0.0,260,26.9
"02000","1","1027","53","0","2020","1","","Alaska -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",4,91,90,91,1925759,0,0,1634,"",11.18,9.53,9.21,9.32,15.46,0.00,0.00,1.65,"",0,0.0,-2,-2.2,-3,-3.2,-3,-3.2,-147350,-7.1,0,0.0,0,0.0,-75,-4.4
"02000","1","1027","53","0","2020","2","","Alaska -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",4,91,90,98,2366593,0,0,1957,"",11.12,9.34,9.17,10.10,16.50,0.00,0.00,1.73,"",0,0.0,-3,-3.2,-8,-8.2,2,2.1,440067,22.8,0,0.0,0,0.0,413,26.7
"02000","1","1028","53","0","2020","1","","Alaska -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",224,9738,9732,10211,203151553,0,0,1579,"",4.12,3.01,2.94,3.04,2.99,0.00,0.00,1.00,"",15,7.2,417,4.5,392,4.2,760,8.0,-2620009,-1.3,0,0.0,0,0.0,-110,-6.5
"02000","1","1028","53","0","2020","2","","Alaska -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",224,10575,10228,10215,239618977,0,0,1783,"",4.10,3.09,2.95,2.93,2.76,0.00,0.00,0.92,"",16,7.7,1147,12.2,499,5.1,410,4.2,24193411,11.2,0,0.0,0,0.0,66,3.8
"02000","1","44-45","54","0","2020","1","","Alaska -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",15,630,626,629,3797159,0,0,465,"",10.37,6.90,6.77,6.75,5.53,0.00,0.00,0.81,"",0,0.0,12,1.9,22,3.6,24,4.0,74450,2.0,0,0.0,0,0.0,-5,-1.1
"02000","1","44-45","54","0","2020","2","","Alaska -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",15,654,645,632,4470387,0,0,534,"",10.34,6.94,6.71,6.57,5.32,0.00,0.00,0.79,"",0,0.0,39,6.3,35,5.7,33,5.5,357705,8.7,0,0.0,0,0.0,14,2.7
"02000","1","441","55","0","2020","1","","Alaska -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,15,13,145999,0,0,802,"",23.20,49.46,52.52,45.36,76.28,0.00,0.00,1.55,"",0,0.0,-2,-12.5,1,7.1,-3,-18.8,14340,10.9,0,0.0,0,0.0,142,21.5
"02000","1","441","55","0","2020","2","","Alaska -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,16,14,12,122797,0,0,675,"",23.06,55.84,48.99,40.85,67.10,0.00,0.00,1.38,"",0,0.0,1,6.7,2,16.7,-1,-7.7,5628,4.8,0,0.0,0,0.0,-1,-0.1
"02000","1","4413","56","0","2020","1","","Alaska -- Statewide","Federal Government","NAICS 4413 Auto parts, accessories, and tire stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,15,13,145999,0,0,802,"",23.20,49.46,52.52,45.36,76.28,0.00,0.00,1.55,"",0,0.0,-2,-12.5,1,7.1,-3,-18.8,14340,10.9,0,0.0,0,0.0,142,21.5
"02000","1","4413","56","0","2020","2","","Alaska -- Statewide","Federal Government","NAICS 4413 Auto parts, accessories, and tire stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,16,14,12,122797,0,0,675,"",23.06,55.84,48.99,40.85,67.10,0.00,0.00,1.38,"",0,0.0,1,6.7,2,16.7,-1,-7.7,5628,4.8,0,0.0,0,0.0,-1,-0.1
"02000","1","44131","57","0","2020","1","","Alaska -- Statewide","Federal Government","NAICS 44131 Automotive parts and accessories stores","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,15,13,145999,0,0,802,"",23.20,49.46,52.52,45.36,76.28,0.00,0.00,1.55,"",0,0.0,-2,-12.5,1,7.1,-3,-18.8,14340,10.9,0,0.0,0,0.0,142,21.5
"02000","1","44131","57","0","2020","2","","Alaska -- Statewide","Federal Government","NAICS 44131 Automotive parts and accessories stores","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,16,14,12,122797,0,0,675,"",23.06,55.84,48.99,40.85,67.10,0.00,0.00,1.38,"",0,0.0,1,6.7,2,16.7,-1,-7.7,5628,4.8,0,0.0,0,0.0,-1,-0.1
"02000","1","441310","58","0","2020","1","","Alaska -- Statewide","Federal Government","NAICS 441310 Automotive parts and accessories stores","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,15,13,145999,0,0,802,"",23.20,49.46,52.52,45.36,76.28,0.00,0.00,1.55,"",0,0.0,-2,-12.5,1,7.1,-3,-18.8,14340,10.9,0,0.0,0,0.0,142,21.5
"02000","1","441310","58","0","2020","2","","Alaska -- Statewide","Federal Government","NAICS 441310 Automotive parts and accessories stores","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,16,14,12,122797,0,0,675,"",23.06,55.84,48.99,40.85,67.10,0.00,0.00,1.38,"",0,0.0,1,6.7,2,16.7,-1,-7.7,5628,4.8,0,0.0,0,0.0,-1,-0.1
"02000","1","442","55","0","2020","1","","Alaska -- Statewide","Federal Government","NAICS 442 Furniture and home furnishings stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,12,12,91641,0,0,572,"",25.31,26.81,24.99,23.75,30.41,0.00,0.00,1.21,"",0,0.0,3,30.0,2,20.0,2,20.0,13904,17.9,0,0.0,0,0.0,-26,-4.3
"02000","1","442","55","0","2020","2","","Alaska -- Statewide","Federal Government","NAICS 442 Furniture and home furnishings stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,12,13,79282,0,0,494,"",25.16,25.09,25.35,27.08,27.40,0.00,0.00,1.06,"",0,0.0,1,9.1,0,0.0,0,0.0,16361,26.0,0,0.0,0,0.0,91,22.6
