"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04000","0","10","50","0","2020","1","","Arizona -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",169591,2963554,2977620,2958262,42317898868,14988923505,224104143,1097,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7805,4.8,85680,3.0,80865,2.8,55976,1.9,2745864309,6.9,712320356,5.0,-7978899,-3.4,45,4.3
"04000","0","10","50","0","2020","2","","Arizona -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",170693,2642359,2709820,2708381,38060737703,2689146821,40904936,1090,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7172,4.4,-260203,-9.0,-184139,-6.4,-144104,-5.1,213946442,0.6,-557595772,-17.2,-13350866,-24.6,80,7.9
"04000","1","10","51","0","2020","1","","Arizona -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",800,56782,57026,57802,1058152485,0,0,1423,"",0.81,0.99,1.00,1.01,1.03,0.00,0.00,1.03,"",-2,-0.2,1883,3.4,1896,3.4,2592,4.7,45142489,4.5,0,0.0,0,0.0,8,0.6
"04000","1","10","51","0","2020","2","","Arizona -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",798,58334,58445,58739,1246972421,0,0,1640,"",0.80,0.98,0.98,1.02,1.03,0.00,0.00,1.03,"",-2,-0.2,2863,5.2,1935,3.4,2165,3.8,147721503,13.4,0,0.0,0,0.0,135,9.0
"04000","1","102","52","0","2020","1","","Arizona -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",800,56782,57026,57802,1058152485,0,0,1423,"",0.81,1.01,1.02,1.03,1.05,0.00,0.00,1.03,"",-2,-0.2,1883,3.4,1896,3.4,2592,4.7,45142489,4.5,0,0.0,0,0.0,8,0.6
"04000","1","102","52","0","2020","2","","Arizona -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",798,58334,58445,58739,1246972421,0,0,1640,"",0.80,1.00,1.00,1.04,1.04,0.00,0.00,1.03,"",-2,-0.2,2863,5.2,1935,3.4,2165,3.8,147721503,13.4,0,0.0,0,0.0,135,9.0
"04000","1","1021","53","0","2020","1","","Arizona -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",276,11021,10904,10860,151332543,0,0,1065,"",0.56,0.82,0.82,0.81,0.85,0.00,0.00,1.04,"",-2,-0.7,1,0.0,-141,-1.3,-216,-2.0,913422,0.6,0,0.0,0,0.0,18,1.7
"04000","1","1021","53","0","2020","2","","Arizona -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",277,10856,10933,10873,173838227,0,0,1228,"",0.56,0.79,0.79,0.81,0.81,0.00,0.00,1.02,"",0,0.0,-220,-2.0,-201,-1.8,-230,-2.1,5533941,3.3,0,0.0,0,0.0,62,5.3
"04000","1","1022","53","0","2020","1","","Arizona -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,71239,0,0,685,"",0.49,0.06,0.06,0.06,0.03,0.00,0.00,0.52,"",-1,-50.0,0,0.0,0,0.0,-1,-11.1,-25603,-26.4,0,0.0,0,0.0,-209,-23.4
"04000","1","1022","53","0","2020","2","","Arizona -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,63370,0,0,609,"",0.48,0.06,0.06,0.06,0.02,0.00,0.00,0.39,"",-1,-50.0,0,0.0,-1,-11.1,-1,-11.1,-28248,-30.8,0,0.0,0,0.0,-204,-25.1
