"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05000","0","10","50","0","2020","1","","Arkansas -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",92955,1214710,1219244,1219110,14604505333,5578897368,64268713,923,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1702,1.9,7747,0.6,4574,0.4,807,0.1,487052524,3.5,-1150158419,-17.1,-35931748,-35.9,28,3.1
"05000","0","10","50","0","2020","2","","Arkansas -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",93013,1108219,1139674,1156480,13636291888,1170661623,14610120,924,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1573,1.7,-116586,-9.5,-87502,-7.1,-66667,-5.5,-83420683,-0.6,-1108537996,-48.6,-18961675,-56.5,63,7.3
"05000","1","10","51","0","2020","1","","Arkansas -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1199,20584,20468,20733,341536311,0,0,1276,"",2.20,0.88,0.87,0.88,0.97,0.00,0.00,1.10,"",44,3.8,589,2.9,317,1.6,674,3.4,5947616,1.8,0,0.0,0,0.0,-10,-0.8
"05000","1","10","51","0","2020","2","","Arkansas -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1193,20583,20726,20509,395077730,0,0,1475,"",2.20,0.83,0.83,0.83,0.91,0.00,0.00,1.09,"",33,2.8,483,2.4,564,2.8,187,0.9,28814518,7.9,0,0.0,0,0.0,80,5.7
"05000","1","102","52","0","2020","1","","Arkansas -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1199,20584,20468,20733,341536311,0,0,1276,"",2.21,0.90,0.89,0.89,0.98,0.00,0.00,1.10,"",44,3.8,589,2.9,317,1.6,674,3.4,5947616,1.8,0,0.0,0,0.0,-10,-0.8
"05000","1","102","52","0","2020","2","","Arkansas -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1193,20583,20726,20509,395077730,0,0,1475,"",2.20,0.84,0.84,0.85,0.92,0.00,0.00,1.09,"",33,2.8,483,2.4,564,2.8,187,0.9,28814518,7.9,0,0.0,0,0.0,80,5.7
"05000","1","1021","53","0","2020","1","","Arkansas -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",589,5587,5491,5520,68711995,0,0,955,"",2.18,1.01,1.00,1.00,1.12,0.00,0.00,1.11,"",-3,-0.5,13,0.2,-132,-2.3,-111,-2.0,316885,0.5,0,0.0,0,0.0,17,1.8
"05000","1","1021","53","0","2020","2","","Arkansas -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",586,5491,5589,5545,80618355,0,0,1119,"",2.18,0.95,0.96,0.96,1.05,0.00,0.00,1.10,"",-4,-0.7,-126,-2.2,-64,-1.1,-111,-2.0,2404654,3.1,0,0.0,0,0.0,53,5.0
"05000","1","1022","53","0","2020","1","","Arkansas -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,39,37,36,606421,0,0,1249,"",1.78,0.71,0.68,0.66,0.76,0.00,0.00,1.12,"",0,0.0,1,2.6,0,0.0,-2,-5.3,-125480,-17.1,0,0.0,0,0.0,-246,-16.5
"05000","1","1022","53","0","2020","2","","Arkansas -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,37,36,36,672639,0,0,1424,"",1.77,0.64,0.62,0.63,0.67,0.00,0.00,1.07,"",0,0.0,-2,-5.1,-4,-10.0,-4,-10.0,15485,2.4,0,0.0,0,0.0,150,11.8
