"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06000","0","10","50","0","2020","1","","California -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",1621428,17627998,17771172,17559610,334532286012,88759890537,3630463739,1458,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58669,3.8,366531,2.1,381466,2.2,134052,0.8,18674691116,5.9,3002654713,3.5,92090437,2.6,58,4.1
"06000","0","10","50","0","2020","2","","California -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",1633079,15091549,15426376,15911161,295257760131,15279098806,578050957,1468,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57359,3.6,-2431849,-13.9,-2244966,-12.7,-1807080,-10.2,-8379127029,-2.8,-4957661672,-24.5,-228860085,-28.4,144,10.9
"06000","1","10","51","0","2020","1","","California -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",3337,249383,250218,251572,5093236529,0,0,1565,"",0.35,0.73,0.73,0.74,0.63,0.00,0.00,0.86,"",-10,-0.3,5204,2.1,4910,2.0,6345,2.6,184545070,3.8,0,0.0,0,0.0,23,1.5
"06000","1","10","51","0","2020","2","","California -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",3336,252316,254112,256600,5916603733,0,0,1789,"",0.35,0.74,0.75,0.76,0.63,0.00,0.00,0.84,"",10,0.3,6586,2.7,6411,2.6,7842,3.2,513450421,9.5,0,0.0,0,0.0,109,6.5
"06000","1","101","52","0","2020","1","","California -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.04,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","101","52","0","2020","2","","California -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.15,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","1013","53","0","2020","1","","California -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.03,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","1013","53","0","2020","2","","California -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.13,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","102","52","0","2020","1","","California -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",3336,249380,250215,251569,5093162798,0,0,1565,"",0.35,0.75,0.75,0.75,0.64,0.00,0.00,0.86,"",-10,-0.3,5202,2.1,4908,2.0,6343,2.6,184501219,3.8,0,0.0,0,0.0,23,1.5
"06000","1","102","52","0","2020","2","","California -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",3335,252313,254107,256596,5916478640,0,0,1789,"",0.35,0.76,0.77,0.77,0.64,0.00,0.00,0.84,"",10,0.3,6584,2.7,6407,2.6,7839,3.2,513356396,9.5,0,0.0,0,0.0,109,6.5
"06000","1","1021","53","0","2020","1","","California -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",1492,66614,65761,65807,1010762189,0,0,1177,"",0.32,0.83,0.82,0.83,0.72,0.00,0.00,0.86,"",8,0.5,-1381,-2.0,-2044,-3.0,-1942,-2.9,3046632,0.3,0,0.0,0,0.0,35,3.1
"06000","1","1021","53","0","2020","2","","California -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",1492,65496,67316,68142,1185315785,0,0,1361,"",0.32,0.83,0.85,0.86,0.72,0.00,0.00,0.84,"",3,0.2,-2189,-3.2,-302,-0.4,780,1.2,59639973,5.3,0,0.0,0,0.0,79,6.2
"06000","1","1022","53","0","2020","1","","California -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",8,38,35,35,386506,0,0,826,"",0.41,0.05,0.04,0.04,0.02,0.00,0.00,0.47,"",0,0.0,-1,-2.6,-6,-14.6,-4,-10.3,-52568,-12.0,0,0.0,0,0.0,-25,-2.9
"06000","1","1022","53","0","2020","2","","California -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,34,33,38,399440,0,0,878,"",0.45,0.04,0.04,0.05,0.02,0.00,0.00,0.41,"",1,12.5,-5,-12.8,-6,-15.4,0,0.0,40997,11.4,0,0.0,0,0.0,165,23.1
"06000","1","1023","53","0","2020","1","","California -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",41,658,660,674,19116094,0,0,2215,"",0.34,0.46,0.46,0.48,0.37,0.00,0.00,0.80,"",-2,-4.7,-4,-0.6,-1,-0.2,-38,-5.3,859768,4.7,0,0.0,0,0.0,145,7.0
"06000","1","1023","53","0","2020","2","","California -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",41,588,588,593,21284589,0,0,2777,"",0.34,0.42,0.42,0.42,0.37,0.00,0.00,0.89,"",-1,-2.4,-111,-15.9,-73,-11.0,-59,-9.0,2806228,15.2,0,0.0,0,0.0,658,31.1
"06000","1","1024","53","0","2020","1","","California -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",104,7205,7196,7220,154655915,0,0,1651,"",0.46,0.89,0.88,0.89,0.76,0.00,0.00,0.86,"",-4,-3.7,284,4.1,262,3.8,272,3.9,2610171,1.7,0,0.0,0,0.0,-36,-2.1
"06000","1","1024","53","0","2020","2","","California -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",104,7253,7304,7367,175106417,0,0,1843,"",0.45,0.90,0.90,0.90,0.77,0.00,0.00,0.86,"",-1,-1.0,340,4.9,328,4.7,334,4.7,5175321,3.0,0,0.0,0,0.0,-31,-1.7
"06000","1","1025","53","0","2020","1","","California -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",84,32925,33029,32965,784925395,0,0,1831,"",0.39,0.65,0.65,0.65,0.65,0.00,0.00,1.00,"",0,0.0,142,0.4,130,0.4,-41,-0.1,37670095,5.0,0,0.0,0,0.0,84,4.8
"06000","1","1025","53","0","2020","2","","California -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",84,32803,32986,33188,932057326,0,0,2173,"",0.39,0.66,0.66,0.67,0.66,0.00,0.00,1.00,"",-1,-1.2,-206,-0.6,598,1.8,893,2.8,70931451,8.2,0,0.0,0,0.0,139,6.8
"06000","1","1026","53","0","2020","1","","California -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",109,2946,2978,2959,39674051,0,0,1031,"",0.46,0.56,0.56,0.56,0.51,0.00,0.00,0.92,"",-1,-0.9,2,0.1,19,0.6,-13,-0.4,-1957245,-4.7,0,0.0,0,0.0,-52,-4.8
"06000","1","1026","53","0","2020","2","","California -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",109,2934,2994,3452,46709285,0,0,1149,"",0.46,0.57,0.57,0.61,0.53,0.00,0.00,0.91,"",-1,-0.9,-81,-2.7,-404,-11.9,-146,-4.1,6201868,15.3,0,0.0,0,0.0,215,23.0
"06000","1","1027","53","0","2020","1","","California -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",17,246,249,243,2730294,0,0,854,"",0.66,0.45,0.45,0.44,0.30,0.00,0.00,0.67,"",-1,-5.6,10,4.2,10,4.2,1,0.4,269030,10.9,0,0.0,0,0.0,62,7.8
"06000","1","1027","53","0","2020","2","","California -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",17,203,229,213,2841202,0,0,1017,"",0.66,0.38,0.43,0.41,0.30,0.00,0.00,0.73,"",1,6.2,-39,-16.1,-15,-6.1,-34,-13.8,-137120,-4.6,0,0.0,0,0.0,79,8.4
"06000","1","1028","53","0","2020","1","","California -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",1481,138748,140307,141666,3080912354,0,0,1690,"",0.38,0.74,0.75,0.75,0.62,0.00,0.00,0.83,"",-10,-0.7,6150,4.6,6538,4.9,8108,6.1,142055336,4.8,0,0.0,0,0.0,-6,-0.4
"06000","1","1028","53","0","2020","2","","California -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",1479,143002,142657,143603,3552764596,0,0,1910,"",0.38,0.76,0.76,0.77,0.61,0.00,0.00,0.80,"",9,0.6,8875,6.6,6281,4.6,6071,4.4,368697678,11.6,0,0.0,0,0.0,109,6.1
"06000","1","31-33","54","0","2020","1","","California -- Statewide","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.03,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","31-33","54","0","2020","2","","California -- Statewide","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.13,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","339","55","0","2020","1","","California -- Statewide","Federal Government","NAICS 339 Miscellaneous manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.80,0.03,0.03,0.03,0.03,0.00,0.00,1.08,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","339","55","0","2020","2","","California -- Statewide","Federal Government","NAICS 339 Miscellaneous manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.80,0.03,0.05,0.04,0.05,0.00,0.00,1.09,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","3399","56","0","2020","1","","California -- Statewide","Federal Government","NAICS 3399 Other miscellaneous manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.80,0.03,0.03,0.03,0.03,0.00,0.00,1.08,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","3399","56","0","2020","2","","California -- Statewide","Federal Government","NAICS 3399 Other miscellaneous manufacturing","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.80,0.03,0.05,0.04,0.05,0.00,0.00,1.09,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","33991","57","0","2020","1","","California -- Statewide","Federal Government","NAICS 33991 Jewelry and silverware manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.80,0.03,0.03,0.03,0.03,0.00,0.00,1.08,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","33991","57","0","2020","2","","California -- Statewide","Federal Government","NAICS 33991 Jewelry and silverware manufacturing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.80,0.03,0.05,0.04,0.05,0.00,0.00,1.09,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","339910","58","0","2020","1","","California -- Statewide","Federal Government","NAICS 339910 Jewelry and silverware manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,73731,0,0,1891,"",0.80,0.03,0.03,0.03,0.03,0.00,0.00,1.08,"",0,0.0,2,200.0,2,200.0,2,200.0,43851,146.8,0,0.0,0,0.0,-407,-17.7
"06000","1","339910","58","0","2020","2","","California -- Statewide","Federal Government","NAICS 339910 Jewelry and silverware manufacturing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,5,4,125093,0,0,2406,"",0.80,0.03,0.05,0.04,0.05,0.00,0.00,1.09,"",0,0.0,2,200.0,4,400.0,3,300.0,94025,302.6,0,0.0,0,0.0,16,0.7
"06000","1","44-45","54","0","2020","1","","California -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",86,5882,5825,5896,51207328,0,0,671,"",0.82,1.12,1.11,1.12,1.02,0.00,0.00,0.91,"",1,1.2,-34,-0.6,-96,-1.6,30,0.5,740813,1.5,0,0.0,0,0.0,13,2.0
"06000","1","44-45","54","0","2020","2","","California -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",86,5544,5945,5893,55503006,0,0,737,"",0.82,1.07,1.14,1.14,0.99,0.00,0.00,0.89,"",0,0.0,-310,-5.3,64,1.1,23,0.4,2744991,5.2,0,0.0,0,0.0,45,6.5
"06000","1","441","55","0","2020","1","","California -- Statewide","Federal Government","NAICS 441 Motor vehicle and parts dealers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,15,14,15,106739,0,0,560,"",0.48,0.92,0.86,0.93,0.76,0.00,0.00,0.84,"",0,0.0,4,36.4,1,7.7,1,7.1,14838,16.1,0,0.0,0,0.0,2,0.4
