"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08000","0","10","50","0","2020","1","","Colorado -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",215048,2733877,2736534,2727289,45577774295,21443282193,302137963,1283,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6650,3.2,59243,2.2,49748,1.9,33992,1.3,2613150458,6.1,1387163370,6.9,-13431405,-4.3,52,4.2
"08000","0","10","50","0","2020","2","","Colorado -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",216383,2386740,2461030,2545862,39291874572,6431235917,84346946,1226,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5903,2.8,-323814,-11.9,-260620,-9.6,-220372,-8.0,-783910087,-2.0,-933656014,-12.7,-24118757,-22.2,98,8.7
"08000","1","10","51","0","2020","1","","Colorado -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1180,52440,52363,53039,1071648333,0,0,1567,"",0.94,1.00,1.00,1.00,0.97,0.00,0.00,0.97,"",39,3.4,565,1.1,393,0.8,1054,2.0,16493813,1.6,0,0.0,0,0.0,4,0.3
"08000","1","10","51","0","2020","2","","Colorado -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1186,53350,54063,54913,1243189463,0,0,1767,"",0.94,0.99,1.00,1.01,0.99,0.00,0.00,0.99,"",44,3.9,1075,2.1,715,1.3,1054,2.0,127774235,11.5,0,0.0,0,0.0,153,9.5
"08000","1","101","52","0","2020","1","","Colorado -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,349,348,349,6349028,0,0,1401,"",1.17,0.35,0.35,0.35,0.31,0.00,0.00,0.88,"",0,0.0,-9,-2.5,-6,-1.7,-9,-2.5,157273,2.5,0,0.0,0,0.0,66,4.9
"08000","1","101","52","0","2020","2","","Colorado -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,354,354,354,8051224,0,0,1750,"",1.20,0.35,0.34,0.34,0.34,0.00,0.00,1.00,"",0,0.0,-10,-2.7,-3,-0.8,4,1.1,1659489,26.0,0,0.0,0,0.0,373,27.1
"08000","1","1013","53","0","2020","1","","Colorado -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,349,348,349,6349028,0,0,1401,"",3.16,0.37,0.37,0.37,0.32,0.00,0.00,0.87,"",0,0.0,-9,-2.5,-6,-1.7,-9,-2.5,157273,2.5,0,0.0,0,0.0,66,4.9
"08000","1","1013","53","0","2020","2","","Colorado -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,354,354,354,8051224,0,0,1750,"",3.15,0.37,0.37,0.37,0.36,0.00,0.00,0.98,"",0,0.0,-10,-2.7,-3,-0.8,4,1.1,1659489,26.0,0,0.0,0,0.0,373,27.1
"08000","1","102","52","0","2020","1","","Colorado -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1177,52091,52015,52690,1065299305,0,0,1568,"",0.94,1.01,1.01,1.01,0.98,0.00,0.00,0.97,"",39,3.4,574,1.1,399,0.8,1063,2.1,16336540,1.6,0,0.0,0,0.0,4,0.3
"08000","1","102","52","0","2020","2","","Colorado -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1183,52996,53709,54559,1235138239,0,0,1767,"",0.94,1.01,1.01,1.02,1.00,0.00,0.00,0.99,"",44,3.9,1085,2.1,718,1.4,1050,2.0,126114746,11.4,0,0.0,0,0.0,151,9.3
"08000","1","1021","53","0","2020","1","","Colorado -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",432,10286,10062,10114,162018640,0,0,1227,"",0.69,0.83,0.82,0.82,0.84,0.00,0.00,1.02,"",-9,-2.0,-209,-2.0,-340,-3.3,-284,-2.7,1716886,1.1,0,0.0,0,0.0,45,3.8
"08000","1","1021","53","0","2020","2","","Colorado -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",437,10107,10403,10516,185440546,0,0,1379,"",0.70,0.81,0.83,0.83,0.84,0.00,0.00,1.02,"",-5,-1.1,-288,-2.8,-31,-0.3,67,0.6,5947302,3.3,0,0.0,0,0.0,55,4.2
"08000","1","1022","53","0","2020","1","","Colorado -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",5,53,54,53,651064,0,0,939,"",1.92,0.43,0.44,0.43,0.26,0.00,0.00,0.60,"",0,0.0,-8,-13.1,-9,-14.3,-7,-11.7,-154550,-19.2,0,0.0,0,0.0,-71,-7.0
"08000","1","1022","53","0","2020","2","","Colorado -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",5,52,54,55,754306,0,0,1081,"",1.90,0.42,0.43,0.44,0.26,0.00,0.00,0.61,"",0,0.0,-9,-14.8,-6,-10.0,-7,-11.3,416,0.1,0,0.0,0,0.0,130,13.7
"08000","1","1023","53","0","2020","1","","Colorado -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",14,98,98,97,2866091,0,0,2257,"",0.87,0.44,0.45,0.44,0.41,0.00,0.00,0.93,"",0,0.0,-9,-8.4,-9,-8.4,-9,-8.5,7758,0.3,0,0.0,0,0.0,196,9.5
"08000","1","1023","53","0","2020","2","","Colorado -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",14,100,102,104,3225974,0,0,2433,"",0.88,0.45,0.45,0.46,0.43,0.00,0.00,0.94,"",0,0.0,-6,-5.7,-4,-3.8,-1,-1.0,263661,8.9,0,0.0,0,0.0,276,12.8
"08000","1","1024","53","0","2020","1","","Colorado -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",30,602,597,602,15422323,0,0,1976,"",0.99,0.48,0.48,0.48,0.56,0.00,0.00,1.17,"",2,7.1,31,5.4,32,5.7,30,5.2,406307,2.7,0,0.0,0,0.0,-53,-2.6
"08000","1","1024","53","0","2020","2","","Colorado -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",30,607,615,615,17392708,0,0,2185,"",0.99,0.48,0.47,0.47,0.58,0.00,0.00,1.22,"",2,7.1,39,6.9,42,7.3,35,6.0,2355063,15.7,0,0.0,0,0.0,169,8.4
"08000","1","1025","53","0","2020","1","","Colorado -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",36,9654,9703,9725,192722354,0,0,1529,"",1.27,1.23,1.24,1.24,1.17,0.00,0.00,0.95,"",0,0.0,278,3.0,308,3.3,294,3.1,8187094,4.4,0,0.0,0,0.0,19,1.3
"08000","1","1025","53","0","2020","2","","Colorado -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",36,9749,9817,9863,223553046,0,0,1753,"",1.26,1.24,1.24,1.24,1.20,0.00,0.00,0.97,"",0,0.0,68,0.7,86,0.9,52,0.5,19581160,9.6,0,0.0,0,0.0,142,8.8
