"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"10000","0","10","50","0","2020","1","","Delaware -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",35076,444387,444850,443743,7217605053,3366347903,44827741,1250,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1301,3.9,3138,0.7,2860,0.6,-1302,-0.3,139316559,2.0,77132044,2.3,4835969,12.1,20,1.6
"10000","0","10","50","0","2020","2","","Delaware -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",34497,381958,391693,415983,5957308243,1128956827,17135960,1156,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",190,0.6,-68561,-15.2,-61978,-13.7,-42721,-9.3,-307713843,-4.9,-232908132,-17.1,-1749725,-9.3,95,9.0
"10000","1","10","51","0","2020","1","","Delaware -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",192,5791,5788,5787,103324526,0,0,1373,"",0.93,0.68,0.68,0.67,0.59,0.00,0.00,0.88,"",4,2.1,178,3.2,137,2.4,116,2.0,5863285,6.0,0,0.0,0,0.0,45,3.4
"10000","1","10","51","0","2020","2","","Delaware -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",192,5770,5755,5829,117860811,0,0,1567,"",0.95,0.67,0.67,0.66,0.62,0.00,0.00,0.93,"",5,2.7,108,1.9,73,1.3,104,1.8,7134094,6.4,0,0.0,0,0.0,70,4.7
"10000","1","102","52","0","2020","1","","Delaware -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",192,5791,5788,5787,103324526,0,0,1373,"",0.94,0.69,0.69,0.68,0.60,0.00,0.00,0.88,"",4,2.1,178,3.2,137,2.4,116,2.0,5863285,6.0,0,0.0,0,0.0,45,3.4
"10000","1","102","52","0","2020","2","","Delaware -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",192,5770,5755,5829,117860811,0,0,1567,"",0.96,0.68,0.68,0.67,0.63,0.00,0.00,0.93,"",5,2.7,108,1.9,73,1.3,104,1.8,7134094,6.4,0,0.0,0,0.0,70,4.7
"10000","1","1021","53","0","2020","1","","Delaware -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",68,2013,1989,1997,28418907,0,0,1093,"",0.67,1.00,1.00,1.00,0.93,0.00,0.00,0.94,"",-1,-1.4,-7,-0.3,-40,-2.0,-54,-2.6,-371206,-1.3,0,0.0,0,0.0,4,0.4
"10000","1","1021","53","0","2020","2","","Delaware -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",68,1966,1992,2024,33129326,0,0,1278,"",0.68,0.99,0.99,0.98,0.99,0.00,0.00,1.00,"",0,0.0,-57,-2.8,-50,-2.4,-14,-0.7,972135,3.0,0,0.0,0,0.0,62,5.1
"10000","1","1023","53","0","2020","1","","Delaware -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",6,56,58,60,1589052,0,0,2107,"",2.30,1.55,1.62,1.68,1.44,0.00,0.00,0.89,"",0,0.0,-5,-8.2,-3,-4.9,-2,-3.2,119557,8.1,0,0.0,0,0.0,264,14.3
"10000","1","1023","53","0","2020","2","","Delaware -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",6,58,60,60,1807310,0,0,2343,"",2.35,1.64,1.68,1.62,1.58,0.00,0.00,0.96,"",0,0.0,-3,-4.9,0,0.0,-1,-1.6,350293,24.0,0,0.0,0,0.0,496,26.9
