"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"11000","0","10","50","0","2020","1","","District of Columbia","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",42244,775766,780652,778040,20167531271,3807900188,87878548,1994,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2193,5.5,13787,1.8,10133,1.3,4372,0.6,969965266,5.1,151159204,4.1,2398453,2.8,73,3.8
"11000","0","10","50","0","2020","2","","District of Columbia","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",41657,702263,696948,701771,18089951465,491424237,12279051,1987,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1776,4.5,-72405,-9.3,-76992,-9.9,-77610,-10.0,145433567,0.8,-277663985,-36.1,-7421863,-37.7,208,11.7
"11000","1","10","51","0","2020","1","","District of Columbia","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",355,194709,195238,195427,5637350485,0,0,2222,"",1.43,13.03,13.02,12.93,11.55,0.00,0.00,0.89,"",20,6.0,162,0.1,-105,-0.1,244,0.1,136928201,2.5,0,0.0,0,0.0,52,2.4
"11000","1","10","51","0","2020","2","","District of Columbia","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",356,194627,194319,196264,6156731973,0,0,2428,"",1.46,12.32,12.71,13.11,10.65,0.00,0.00,0.84,"",25,7.6,-247,-0.1,-107,-0.1,231,0.1,542023399,9.7,0,0.0,0,0.0,214,9.7
"11000","1","101","52","0","2020","1","","District of Columbia","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2904,2915,2911,73550755,0,0,1944,"",5.96,10.35,10.32,10.24,8.08,0.00,0.00,0.78,"",0,0.0,-70,-2.4,-23,-0.8,-32,-1.1,2161235,3.0,0,0.0,0,0.0,84,4.5
"11000","1","101","52","0","2020","2","","District of Columbia","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2910,2925,2910,86296037,0,0,2277,"",6.22,9.75,10.05,10.10,7.99,0.00,0.00,0.80,"",0,0.0,-45,-1.5,-5,-0.2,-40,-1.4,12694426,17.2,0,0.0,0,0.0,355,18.5
"11000","1","1013","53","0","2020","1","","District of Columbia","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2904,2915,2911,73550755,0,0,1944,"",16.08,10.93,10.90,10.83,8.47,0.00,0.00,0.78,"",0,0.0,-70,-2.4,-23,-0.8,-32,-1.1,2161235,3.0,0,0.0,0,0.0,84,4.5
"11000","1","1013","53","0","2020","2","","District of Columbia","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2910,2925,2910,86296037,0,0,2277,"",16.36,10.39,10.78,10.96,8.44,0.00,0.00,0.79,"",0,0.0,-45,-1.5,-5,-0.2,-40,-1.4,12694426,17.2,0,0.0,0,0.0,355,18.5
"11000","1","102","52","0","2020","1","","District of Columbia","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",352,191805,192323,192516,5563799730,0,0,2227,"",1.43,13.08,13.08,12.98,11.62,0.00,0.00,0.89,"",20,6.0,232,0.1,-82,0.0,276,0.1,134766966,2.5,0,0.0,0,0.0,53,2.4
"11000","1","102","52","0","2020","2","","District of Columbia","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",353,191717,191394,193354,6070435936,0,0,2430,"",1.45,12.37,12.76,13.17,10.70,0.00,0.00,0.84,"",25,7.6,-202,-0.1,-102,-0.1,271,0.1,529328973,9.6,0,0.0,0,0.0,212,9.6
"11000","1","1021","53","0","2020","1","","District of Columbia","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",56,4497,4495,4491,92254694,0,0,1579,"",0.46,1.27,1.28,1.28,1.09,0.00,0.00,0.85,"",22,64.7,-38,-0.8,-19,-0.4,-21,-0.5,2921937,3.3,0,0.0,0,0.0,59,3.9
"11000","1","1021","53","0","2020","2","","District of Columbia","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",56,4405,4359,4414,102677514,0,0,1798,"",0.46,1.20,1.22,1.26,1.01,0.00,0.00,0.82,"",22,64.7,-21,-0.5,-23,-0.5,-25,-0.6,1421447,1.4,0,0.0,0,0.0,34,1.9
"11000","1","1022","53","0","2020","1","","District of Columbia","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,3387,3381,3363,82930052,0,0,1889,"",3.91,97.09,96.58,96.08,75.59,0.00,0.00,0.78,"",0,0.0,55,1.7,78,2.4,67,2.0,4910075,6.3,0,0.0,0,0.0,76,4.2
"11000","1","1022","53","0","2020","2","","District of Columbia","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,3353,3331,3365,96544576,0,0,2217,"",3.95,91.74,94.08,97.02,72.78,0.00,0.00,0.77,"",0,0.0,9,0.3,46,1.4,-28,-0.8,16203603,20.2,0,0.0,0,0.0,367,19.8
"11000","1","1023","53","0","2020","1","","District of Columbia","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",5,2788,2752,2755,112695896,0,0,3135,"",1.59,44.30,43.94,43.92,36.56,0.00,0.00,0.83,"",-1,-16.7,40,1.5,7,0.3,2,0.1,9825992,9.6,0,0.0,0,0.0,256,8.9
"11000","1","1023","53","0","2020","2","","District of Columbia","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",5,2743,2762,2783,115745969,0,0,3223,"",1.62,42.18,43.42,44.53,33.23,0.00,0.00,0.77,"",-1,-16.7,-17,-0.6,22,0.8,18,0.7,12259668,11.8,0,0.0,0,0.0,334,11.6
"11000","1","1024","53","0","2020","1","","District of Columbia","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",5,4277,4256,4297,97214281,0,0,1749,"",0.84,11.95,11.89,11.93,7.92,0.00,0.00,0.66,"",0,0.0,-32,-0.7,-30,-0.7,13,0.3,373383,0.4,0,0.0,0,0.0,14,0.8
"11000","1","1024","53","0","2020","2","","District of Columbia","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",5,4174,4184,4216,109618379,0,0,2012,"",0.86,11.12,11.40,11.70,7.92,0.00,0.00,0.69,"",0,0.0,-181,-4.2,-83,-1.9,-159,-3.6,8486805,8.4,0,0.0,0,0.0,216,12.0
"11000","1","1025","53","0","2020","1","","District of Columbia","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",11,3304,3302,3293,79706216,0,0,1858,"",1.97,1.48,1.48,1.47,1.09,0.00,0.00,0.74,"",0,0.0,131,4.1,79,2.5,66,2.0,4120180,5.5,0,0.0,0,0.0,45,2.5
"11000","1","1025","53","0","2020","2","","District of Columbia","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",11,3255,3296,3295,93998904,0,0,2203,"",2.00,1.40,1.47,1.50,1.09,0.00,0.00,0.75,"",0,0.0,15,0.5,65,2.0,33,1.0,3396982,3.7,0,0.0,0,0.0,55,2.6
"11000","1","1026","53","0","2020","1","","District of Columbia","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",8,6613,6809,6721,126949800,0,0,1454,"",1.29,28.53,29.00,28.59,27.16,0.00,0.00,0.95,"",0,0.0,94,1.4,-78,-1.1,-137,-2.0,6762924,5.6,0,0.0,0,0.0,85,6.2
"11000","1","1026","53","0","2020","2","","District of Columbia","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",8,5926,5813,5810,129210278,0,0,1699,"",1.32,24.63,24.69,23.32,24.01,0.00,0.00,0.99,"",0,0.0,-918,-13.4,-842,-12.7,-858,-12.9,5059385,4.1,0,0.0,0,0.0,278,19.6
"11000","1","1027","53","0","2020","1","","District of Columbia","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",4,53,54,51,1281744,0,0,1872,"",5.94,2.19,2.21,2.10,2.33,0.00,0.00,1.07,"",-1,-20.0,11,26.2,10,22.7,4,8.5,279833,27.9,0,0.0,0,0.0,134,7.7
"11000","1","1027","53","0","2020","2","","District of Columbia","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",4,50,50,48,1289456,0,0,2011,"",6.05,2.00,2.09,2.09,2.20,0.00,0.00,1.07,"",0,0.0,1,2.0,-2,-3.8,-5,-9.4,18320,1.4,0,0.0,0,0.0,106,5.6
"11000","1","1028","53","0","2020","1","","District of Columbia","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",261,166886,167274,167545,4970767047,0,0,2286,"",2.55,20.36,20.27,20.03,16.60,0.00,0.00,0.82,"",0,0.0,-29,0.0,-129,-0.1,282,0.2,105572642,2.2,0,0.0,0,0.0,48,2.1
"11000","1","1028","53","0","2020","2","","District of Columbia","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",262,167811,167599,169423,5421350860,0,0,2478,"",2.61,19.11,19.81,20.49,15.27,0.00,0.00,0.77,"",4,1.6,910,0.5,715,0.4,1295,0.8,482482763,9.8,0,0.0,0,0.0,207,9.1
"11000","1","31-33","54","0","2020","1","","District of Columbia","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",3,2904,2915,2911,73550755,0,0,1944,"",16.08,10.93,10.90,10.83,8.47,0.00,0.00,0.78,"",0,0.0,-70,-2.4,-23,-0.8,-32,-1.1,2161235,3.0,0,0.0,0,0.0,84,4.5
"11000","1","31-33","54","0","2020","2","","District of Columbia","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",3,2910,2925,2910,86296037,0,0,2277,"",16.36,10.39,10.78,10.96,8.44,0.00,0.00,0.79,"",0,0.0,-45,-1.5,-5,-0.2,-40,-1.4,12694426,17.2,0,0.0,0,0.0,355,18.5
"11000","1","323","55","0","2020","1","","District of Columbia","Federal Government","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2580,2594,2589,64149511,0,0,1907,"",27.39,181.12,180.75,180.53,111.57,0.00,0.00,0.62,"",0,0.0,-69,-2.6,-28,-1.1,-39,-1.5,1753759,2.8,0,0.0,0,0.0,84,4.6
"11000","1","323","55","0","2020","2","","District of Columbia","Federal Government","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2587,2604,2589,75368757,0,0,2236,"",27.88,173.00,179.23,183.94,107.30,0.00,0.00,0.60,"",0,0.0,-51,-1.9,-14,-0.5,-45,-1.7,10850017,16.8,0,0.0,0,0.0,349,18.5
"11000","1","3231","56","0","2020","1","","District of Columbia","Federal Government","NAICS 3231 Printing and related support activities","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,2580,2594,2589,64149511,0,0,1907,"",27.39,181.12,180.75,180.53,111.57,0.00,0.00,0.62,"",0,0.0,-69,-2.6,-28,-1.1,-39,-1.5,1753759,2.8,0,0.0,0,0.0,84,4.6
"11000","1","3231","56","0","2020","2","","District of Columbia","Federal Government","NAICS 3231 Printing and related support activities","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,2587,2604,2589,75368757,0,0,2236,"",27.88,173.00,179.23,183.94,107.30,0.00,0.00,0.60,"",0,0.0,-51,-1.9,-14,-0.5,-45,-1.7,10850017,16.8,0,0.0,0,0.0,349,18.5
"11000","1","32311","57","0","2020","1","","District of Columbia","Federal Government","NAICS 32311 Printing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2580,2594,2589,64149511,0,0,1907,"",27.39,181.12,180.75,180.53,111.57,0.00,0.00,0.62,"",0,0.0,-69,-2.6,-28,-1.1,-39,-1.5,1753759,2.8,0,0.0,0,0.0,84,4.6
"11000","1","32311","57","0","2020","2","","District of Columbia","Federal Government","NAICS 32311 Printing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2587,2604,2589,75368757,0,0,2236,"",27.88,173.00,179.23,183.94,107.30,0.00,0.00,0.60,"",0,0.0,-51,-1.9,-14,-0.5,-45,-1.7,10850017,16.8,0,0.0,0,0.0,349,18.5
"11000","1","323111","58","0","2020","1","","District of Columbia","Federal Government","NAICS 323111 Commercial printing, except screen and books","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1121,1139,1128,30155226,0,0,2054,"",41.08,189.49,189.06,188.71,115.87,0.00,0.00,0.61,"",0,0.0,-14,-1.2,14,1.2,-5,-0.4,783737,2.7,0,0.0,0,0.0,56,2.8
