"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"11999","0","10","70","0","2020","1","","Unknown Or Undef., District of Columbia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16,64,62,63,2626502,570887,11987,3207,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,23.1,10,18.5,13,26.5,14,28.6,1189037,82.7,186042,48.3,2669,28.6,1025,47.0
"11999","0","10","70","0","2020","2","","Unknown Or Undef., District of Columbia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15,51,50,46,2334513,96078,1847,3665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-6.2,-21,-29.2,-19,-27.5,-19,-29.2,305938,15.1,-1541,-1.6,-752,-28.9,1393,61.3
"11999","5","10","71","0","2020","1","","Unknown Or Undef., District of Columbia","Private","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,64,62,63,2626502,570887,11987,3207,"",1.03,1.18,1.18,1.18,1.16,1.01,1.01,0.99,"",3,23.1,10,18.5,13,26.5,14,28.6,1189037,82.7,186042,48.3,2669,28.6,1025,47.0
"11999","5","10","71","0","2020","2","","Unknown Or Undef., District of Columbia","Private","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,51,50,46,2334513,96078,1847,3665,"",1.03,1.20,1.19,1.18,1.20,1.03,1.01,1.01,"",-1,-6.2,-21,-29.2,-19,-27.5,-19,-29.2,305938,15.1,-1541,-1.6,-752,-28.9,1393,61.3
"11999","5","101","72","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","101","72","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1013","73","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1013","73","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","102","72","0","2020","1","","Unknown Or Undef., District of Columbia","Private","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,58,56,57,2362928,513530,11069,3189,"",1.11,1.29,1.28,1.29,1.29,1.17,1.29,1.00,"",2,15.4,4,7.4,7,14.3,8,16.3,925463,64.4,128685,33.4,1751,18.8,1007,46.2
"11999","5","102","72","0","2020","2","","Unknown Or Undef., District of Columbia","Private","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,45,44,40,2076380,96078,1847,3714,"",1.11,1.30,1.29,1.26,1.33,1.31,1.43,1.04,"",-1,-6.7,-20,-30.8,-18,-29.0,-18,-31.0,362166,21.1,-1541,-1.6,-752,-28.9,1576,73.7
"11999","5","1021","73","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1021","73","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1023","73","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1023","73","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1024","73","0","2020","1","","Unknown Or Undef., District of Columbia","Private","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",7,22,21,21,607756,248108,4348,2191,"",2.34,2.41,2.37,2.33,1.20,2.13,1.63,0.51,"",0,0.0,6,37.5,7,50.0,7,50.0,386162,174.3,114234,85.3,769,21.5,1029,88.6
"11999","5","1024","73","0","2020","2","","Unknown Or Undef., District of Columbia","Private","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",7,19,19,18,534287,79459,1388,2202,"",2.48,2.48,2.56,2.68,1.21,4.46,3.52,0.47,"",-1,-12.5,-11,-36.7,-6,-24.0,-5,-21.7,-31441,-5.6,21074,36.1,2,0.1,528,31.5
"11999","5","1025","73","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1025","73","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1026","73","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","1026","73","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","31-33","74","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","31-33","74","0","2020","2","N","Unknown Or Undef., District of Columbia","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11999","5","334","75","0","2020","1","N","Unknown Or Undef., District of Columbia","Private","NAICS 334 Computer and electronic product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",30.78,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
