"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13000","0","10","50","0","2020","1","","Georgia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",302830,4519593,4537303,4519507,67995234671,26900130422,315625664,1156,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20661,7.3,77733,1.8,70511,1.6,35938,0.8,2952636521,4.5,762665455,2.9,-21616864,-6.4,35,3.1
"13000","0","10","50","0","2020","2","","Georgia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",307222,3968005,4099261,4196040,57123947190,6347547963,75364368,1075,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22168,7.8,-523538,-11.7,-409558,-9.1,-314217,-7.0,-2396075895,-4.0,-1386910190,-17.9,-27384841,-26.7,58,5.7
"13000","1","10","51","0","2020","1","","Georgia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1704,104314,104101,104668,1939341914,0,0,1429,"",0.96,1.20,1.19,1.19,1.18,0.00,0.00,0.99,"",118,7.4,2625,2.6,1541,1.5,2338,2.3,38375444,2.0,0,0.0,0,0.0,-2,-0.1
"13000","1","10","51","0","2020","2","","Georgia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1708,104922,105265,105252,2247031178,0,0,1644,"",0.95,1.18,1.17,1.18,1.23,0.00,0.00,1.05,"",123,7.8,2280,2.2,2708,2.6,2543,2.5,164557424,7.9,0,0.0,0,0.0,83,5.3
"13000","1","101","52","0","2020","1","","Georgia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,2,2,2,54198,0,0,2085,"",0.55,0.00,0.00,0.00,0.00,0.00,0.00,1.45,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17477,-24.4,0,0.0,0,0.0,247,13.4
"13000","1","101","52","0","2020","2","","Georgia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,2,2,2,63834,0,0,2455,"",0.56,0.00,0.00,0.00,0.00,0.00,0.00,1.60,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-9011,-12.4,0,0.0,0,0.0,587,31.4
"13000","1","1013","53","0","2020","1","","Georgia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,2,2,2,54198,0,0,2085,"",1.49,0.00,0.00,0.00,0.00,0.00,0.00,1.44,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17477,-24.4,0,0.0,0,0.0,247,13.4
"13000","1","1013","53","0","2020","2","","Georgia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,2,2,2,63834,0,0,2455,"",1.48,0.00,0.00,0.00,0.00,0.00,0.00,1.57,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-9011,-12.4,0,0.0,0,0.0,587,31.4
"13000","1","102","52","0","2020","1","","Georgia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1702,104312,104099,104666,1939287716,0,0,1429,"",0.96,1.22,1.22,1.22,1.20,0.00,0.00,0.99,"",118,7.4,2626,2.6,1542,1.5,2339,2.3,38392921,2.0,0,0.0,0,0.0,-2,-0.1
"13000","1","102","52","0","2020","2","","Georgia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1706,104920,105263,105250,2246967344,0,0,1644,"",0.95,1.20,1.19,1.20,1.25,0.00,0.00,1.05,"",123,7.8,2281,2.2,2709,2.6,2544,2.5,164566435,7.9,0,0.0,0,0.0,83,5.3
"13000","1","1021","53","0","2020","1","","Georgia -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",705,20377,20079,20142,265227687,0,0,1010,"",0.80,0.99,0.99,0.99,0.93,0.00,0.00,0.94,"",1,0.1,-71,-0.3,-369,-1.8,-304,-1.5,-3305146,-1.2,0,0.0,0,0.0,0,0.0
"13000","1","1021","53","0","2020","2","","Georgia -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",708,20119,20365,20357,309964669,0,0,1176,"",0.80,0.97,0.97,0.98,0.97,0.00,0.00,0.99,"",1,0.1,-298,-1.5,-138,-0.7,-82,-0.4,10754933,3.6,0,0.0,0,0.0,51,4.5
"13000","1","1022","53","0","2020","1","","Georgia -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,115,116,117,1686856,0,0,1119,"",2.46,0.57,0.57,0.58,0.46,0.00,0.00,0.80,"",0,0.0,1,0.9,-3,-2.5,0,0.0,-74037,-4.2,0,0.0,0,0.0,-42,-3.6
"13000","1","1022","53","0","2020","2","","Georgia -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,117,118,120,1893084,0,0,1231,"",2.41,0.57,0.57,0.58,0.45,0.00,0.00,0.79,"",0,0.0,0,0.0,2,1.7,2,1.7,227024,13.6,0,0.0,0,0.0,136,12.4
"13000","1","1023","53","0","2020","1","","Georgia -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",32,371,365,363,11530218,0,0,2421,"",1.42,1.01,1.00,1.00,1.11,0.00,0.00,1.10,"",0,0.0,-6,-1.6,-8,-2.1,-5,-1.4,510308,4.6,0,0.0,0,0.0,146,6.4
