"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"15000","0","10","50","0","2020","1","","Hawaii -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",45481,659681,663149,656659,8858179754,5668080143,70566370,1033,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2214,5.1,3344,0.5,2168,0.3,-5149,-0.8,256041339,3.0,160222887,2.9,9921015,16.4,30,3.0
"15000","0","10","50","0","2020","2","","Hawaii -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",45913,508165,511155,524919,7414024974,3645647664,46279094,1108,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2170,5.0,-148396,-22.6,-148292,-22.5,-131804,-20.1,-1038726669,-12.3,-966801679,-21.0,-5361921,-10.4,119,12.0
"15000","1","10","51","0","2020","1","","Hawaii -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",354,34832,34864,35084,662145535,0,0,1458,"",1.33,2.74,2.74,2.75,3.09,0.00,0.00,1.12,"",-2,-0.6,831,2.4,864,2.5,1127,3.3,11750379,1.8,0,0.0,0,0.0,-14,-1.0
"15000","1","10","51","0","2020","2","","Hawaii -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",352,34716,34560,34834,739374736,0,0,1639,"",1.31,3.04,3.08,3.11,3.12,0.00,0.00,1.01,"",-6,-1.7,973,2.9,553,1.6,771,2.3,30968530,4.4,0,0.0,0,0.0,33,2.1
"15000","1","101","52","0","2020","1","","Hawaii -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,6199,6211,6209,136980553,0,0,1698,"",1.85,25.97,25.89,25.89,34.26,0.00,0.00,1.32,"",0,0.0,408,7.0,250,4.2,252,4.2,8642372,6.7,0,0.0,0,0.0,26,1.6
"15000","1","101","52","0","2020","2","","Hawaii -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,6174,6173,6323,159712925,0,0,1974,"",1.88,28.60,28.91,29.34,36.07,0.00,0.00,1.25,"",0,0.0,244,4.1,135,2.2,246,4.0,3630419,2.3,0,0.0,0,0.0,-22,-1.1
"15000","1","1013","53","0","2020","1","","Hawaii -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,6199,6211,6209,136980553,0,0,1698,"",4.98,27.44,27.34,27.38,35.91,0.00,0.00,1.31,"",0,0.0,408,7.0,250,4.2,252,4.2,8642372,6.7,0,0.0,0,0.0,26,1.6
"15000","1","1013","53","0","2020","2","","Hawaii -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,6174,6173,6323,159712925,0,0,1974,"",4.95,30.46,31.03,31.84,38.10,0.00,0.00,1.22,"",0,0.0,244,4.1,135,2.2,246,4.0,3630419,2.3,0,0.0,0,0.0,-22,-1.1
"15000","1","102","52","0","2020","1","","Hawaii -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",353,28633,28653,28875,525164982,0,0,1407,"",1.33,2.30,2.29,2.31,2.50,0.00,0.00,1.09,"",-2,-0.6,423,1.5,614,2.2,875,3.1,3108007,0.6,0,0.0,0,0.0,-23,-1.6
"15000","1","102","52","0","2020","2","","Hawaii -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",351,28542,28387,28511,579661811,0,0,1566,"",1.31,2.54,2.58,2.60,2.49,0.00,0.00,0.97,"",-6,-1.7,729,2.6,418,1.5,525,1.9,27338111,4.9,0,0.0,0,0.0,44,2.9
