"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16000","0","10","50","0","2020","1","","Idaho -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",66657,745069,750121,754830,8425759085,5988324535,41350271,864,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5501,9.0,23096,3.2,22698,3.1,22032,3.0,589791216,7.5,454963680,8.2,3643603,9.7,35,4.2
"16000","0","10","50","0","2020","2","","Idaho -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",67923,686029,718037,748267,8228663104,4886968289,35585476,882,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5500,8.8,-57287,-7.7,-37153,-4.9,-17723,-2.3,185322138,2.3,80033768,1.7,677534,1.9,62,7.6
"16000","1","10","51","0","2020","1","","Idaho -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",635,12459,12445,12734,208591151,0,0,1279,"",1.63,0.87,0.86,0.87,1.02,0.00,0.00,1.18,"",36,6.0,172,1.4,129,1.0,315,2.5,-14228838,-6.4,0,0.0,0,0.0,-110,-7.9
"16000","1","10","51","0","2020","2","","Idaho -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",630,13003,13965,14138,235432573,0,0,1322,"",1.59,0.84,0.89,0.89,0.90,0.00,0.00,1.03,"",31,5.2,324,2.6,352,2.6,130,0.9,17715724,8.1,0,0.0,0,0.0,75,6.0
"16000","1","102","52","0","2020","1","","Idaho -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",635,12459,12445,12734,208591151,0,0,1279,"",1.63,0.88,0.88,0.89,1.04,0.00,0.00,1.18,"",36,6.0,172,1.4,129,1.0,315,2.5,-14228838,-6.4,0,0.0,0,0.0,-110,-7.9
"16000","1","102","52","0","2020","2","","Idaho -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",630,13003,13965,14138,235432573,0,0,1322,"",1.59,0.86,0.90,0.90,0.91,0.00,0.00,1.03,"",31,5.2,324,2.6,352,2.6,130,0.9,17715724,8.1,0,0.0,0,0.0,75,6.0
"16000","1","1021","53","0","2020","1","","Idaho -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",241,2780,2743,2769,33609940,0,0,935,"",1.24,0.82,0.82,0.81,0.95,0.00,0.00,1.16,"",0,0.0,18,0.7,-51,-1.8,-22,-0.8,-65128,-0.2,0,0.0,0,0.0,4,0.4
"16000","1","1021","53","0","2020","2","","Idaho -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",240,2758,2799,2772,39008975,0,0,1081,"",1.22,0.77,0.76,0.74,0.84,0.00,0.00,1.11,"",0,0.0,-26,-0.9,-34,-1.2,-45,-1.6,36588,0.1,0,0.0,0,0.0,15,1.4
"16000","1","1022","53","0","2020","1","","Idaho -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,34858,0,0,536,"",1.24,0.15,0.15,0.15,0.08,0.00,0.00,0.51,"",0,0.0,0,0.0,0,0.0,0,0.0,1308,3.9,0,0.0,0,0.0,20,3.9
"16000","1","1022","53","0","2020","2","","Idaho -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,28832,0,0,444,"",1.21,0.14,0.14,0.14,0.05,0.00,0.00,0.35,"",0,0.0,0,0.0,0,0.0,-1,-16.7,-1718,-5.6,0,0.0,0,0.0,3,0.7
"16000","1","1023","53","0","2020","1","","Idaho -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",9,47,49,50,964406,0,0,1524,"",1.81,0.78,0.81,0.82,0.75,0.00,0.00,0.93,"",0,0.0,-1,-2.1,0,0.0,2,4.2,-274684,-22.2,0,0.0,0,0.0,-448,-22.7
"16000","1","1023","53","0","2020","2","","Idaho -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",8,49,50,50,1170280,0,0,1813,"",1.59,0.77,0.76,0.75,0.74,0.00,0.00,0.97,"",-1,-11.1,-3,-5.8,-1,-2.0,-1,-2.0,189611,19.3,0,0.0,0,0.0,343,23.3
"16000","1","1024","53","0","2020","1","","Idaho -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",7,140,140,144,2938095,0,0,1599,"",0.75,0.41,0.41,0.41,0.57,0.00,0.00,1.40,"",0,0.0,14,11.1,14,11.1,15,11.6,190463,6.9,0,0.0,0,0.0,-65,-3.9
"16000","1","1024","53","0","2020","2","","Idaho -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",7,146,146,152,2927564,0,0,1522,"",0.74,0.40,0.39,0.40,0.46,0.00,0.00,1.18,"",0,0.0,17,13.2,8,5.8,8,5.6,374425,14.7,0,0.0,0,0.0,88,6.1
"16000","1","1025","53","0","2020","1","","Idaho -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",10,1774,1779,1775,33483713,0,0,1450,"",1.14,0.83,0.83,0.82,1.10,0.00,0.00,1.33,"",0,0.0,59,3.4,65,3.8,55,3.2,1711576,5.4,0,0.0,0,0.0,26,1.8
"16000","1","1025","53","0","2020","2","","Idaho -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",10,1795,1797,1829,39311573,0,0,1673,"",1.12,0.79,0.78,0.78,1.00,0.00,0.00,1.28,"",0,0.0,75,4.4,71,4.1,101,5.8,3255035,9.0,0,0.0,0,0.0,65,4.0
"16000","1","1026","53","0","2020","1","","Idaho -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",16,148,148,149,1880270,0,0,975,"",1.64,0.66,0.66,0.65,0.96,0.00,0.00,1.46,"",0,0.0,-14,-8.6,-10,-6.3,-11,-6.9,-140064,-6.9,0,0.0,0,0.0,4,0.4
