"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17000","0","10","50","0","2020","1","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",375834,5901490,5908570,5884288,99743950579,41042190363,853968761,1301,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4129,1.1,30403,0.5,34550,0.6,-32194,-0.5,2335407998,2.4,456380532,1.1,-61527829,-6.7,28,2.2
"17000","0","10","50","0","2020","2","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",379615,5171858,5230826,5391815,83392202981,10942813068,222617769,1218,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4879,1.3,-802582,-13.4,-804643,-13.3,-690296,-11.3,-4574430882,-5.2,-2987657645,-21.4,-87090555,-28.1,96,8.6
"17000","1","10","51","0","2020","1","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2134,79038,79033,79230,1496896112,0,0,1456,"",0.97,0.70,0.70,0.69,0.62,0.00,0.00,0.89,"",-17,-0.8,775,1.0,571,0.7,825,1.1,3318741,0.2,0,0.0,0,0.0,-10,-0.7
"17000","1","10","51","0","2020","2","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2131,79383,79430,79993,1712271137,0,0,1655,"",0.96,0.68,0.69,0.70,0.64,0.00,0.00,0.93,"",54,2.6,560,0.7,1155,1.5,1544,2.0,121866613,7.7,0,0.0,0,0.0,97,6.2
"17000","1","101","52","0","2020","1","","Illinois -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2077,2062,2057,40357279,0,0,1503,"",0.67,0.97,0.96,0.96,0.90,0.00,0.00,0.93,"",0,0.0,7,0.3,-6,-0.3,-14,-0.7,-7652185,-15.9,0,0.0,0,0.0,-281,-15.8
"17000","1","101","52","0","2020","2","","Illinois -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2056,2089,2112,39502516,0,0,1457,"",0.68,0.94,0.96,0.95,0.79,0.00,0.00,0.84,"",0,0.0,10,0.5,46,2.3,60,2.9,-1718388,-4.2,0,0.0,0,0.0,-92,-5.9
"17000","1","1013","53","0","2020","1","","Illinois -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2077,2062,2057,40357279,0,0,1503,"",1.81,1.03,1.02,1.01,0.94,0.00,0.00,0.92,"",0,0.0,7,0.3,-6,-0.3,-14,-0.7,-7652185,-15.9,0,0.0,0,0.0,-281,-15.8
"17000","1","1013","53","0","2020","2","","Illinois -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2056,2089,2112,39502516,0,0,1457,"",1.80,1.00,1.03,1.04,0.84,0.00,0.00,0.82,"",0,0.0,10,0.5,46,2.3,60,2.9,-1718388,-4.2,0,0.0,0,0.0,-92,-5.9
"17000","1","102","52","0","2020","1","","Illinois -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",2131,76961,76971,77173,1456538833,0,0,1454,"",0.97,0.69,0.69,0.69,0.61,0.00,0.00,0.89,"",-17,-0.8,768,1.0,577,0.8,839,1.1,10970926,0.8,0,0.0,0,0.0,-3,-0.2
"17000","1","102","52","0","2020","2","","Illinois -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",2128,77327,77341,77881,1672768621,0,0,1660,"",0.96,0.68,0.69,0.69,0.64,0.00,0.00,0.93,"",54,2.6,550,0.7,1109,1.5,1484,1.9,123585001,8.0,0,0.0,0,0.0,102,6.5
