"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18000","0","10","50","0","2020","1","","Indiana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",172353,3036758,3043901,3034160,39205685734,17526641095,283081293,993,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3791,2.2,2872,0.1,-1756,-0.1,-24851,-0.8,1054574657,2.8,329998503,1.9,4351024,1.6,30,3.1
"18000","0","10","50","0","2020","2","","Indiana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",171571,2602615,2749862,2865696,34188584098,3996892220,63296355,960,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2501,1.5,-464535,-15.1,-345430,-11.2,-227010,-7.3,-2278479190,-6.2,-932149074,-18.9,-16144241,-20.3,51,5.6
"18000","1","10","51","0","2020","1","","Indiana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1258,39864,39901,40190,680672610,0,0,1309,"",1.25,0.68,0.68,0.68,0.72,0.00,0.00,1.05,"",62,5.2,1851,4.9,1692,4.4,1778,4.6,25491161,3.9,0,0.0,0,0.0,-10,-0.8
"18000","1","10","51","0","2020","2","","Indiana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1251,40208,40387,40564,795585638,0,0,1515,"",1.25,0.69,0.67,0.66,0.73,0.00,0.00,1.08,"",54,4.5,1692,4.4,1806,4.7,1789,4.6,63259603,8.6,0,0.0,0,0.0,57,3.9
"18000","1","102","52","0","2020","1","","Indiana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1258,39864,39901,40190,680672610,0,0,1309,"",1.25,0.69,0.70,0.69,0.73,0.00,0.00,1.05,"",62,5.2,1851,4.9,1692,4.4,1778,4.6,25491161,3.9,0,0.0,0,0.0,-10,-0.8
"18000","1","102","52","0","2020","2","","Indiana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1251,40208,40387,40564,795585638,0,0,1515,"",1.25,0.70,0.68,0.68,0.74,0.00,0.00,1.08,"",54,4.5,1692,4.4,1806,4.7,1789,4.6,63259603,8.6,0,0.0,0,0.0,57,3.9
"18000","1","1021","53","0","2020","1","","Indiana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",699,12060,11953,11966,165896052,0,0,1064,"",1.40,0.87,0.88,0.87,1.00,0.00,0.00,1.15,"",4,0.6,104,0.9,-33,-0.3,-91,-0.8,-3075502,-1.8,0,0.0,0,0.0,-19,-1.8
"18000","1","1021","53","0","2020","2","","Indiana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",693,11923,12158,12173,195793193,0,0,1246,"",1.39,0.88,0.86,0.85,1.02,0.00,0.00,1.18,"",-1,-0.1,-85,-0.7,114,0.9,131,1.1,3533209,1.8,0,0.0,0,0.0,17,1.4
"18000","1","1023","53","0","2020","1","","Indiana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,141,142,143,3245538,0,0,1758,"",1.17,0.57,0.58,0.58,0.54,0.00,0.00,0.93,"",0,0.0,0,0.0,3,2.2,4,2.9,203007,6.7,0,0.0,0,0.0,82,4.9
"18000","1","1023","53","0","2020","2","","Indiana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",16,140,144,145,3675589,0,0,1977,"",1.26,0.58,0.57,0.57,0.56,0.00,0.00,0.97,"",1,6.7,3,2.2,4,2.9,5,3.6,549529,17.6,0,0.0,0,0.0,247,14.3
