"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19000","0","10","50","0","2020","1","","Iowa -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",104854,1525663,1523775,1523884,19392308030,13109974665,146266413,979,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1270,1.2,787,0.1,4151,0.3,-2623,-0.2,716459932,3.8,473281326,3.7,5370890,3.8,36,3.8
"19000","0","10","50","0","2020","2","","Iowa -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",104733,1382977,1410981,1458774,18016559823,9000767007,118833357,978,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",489,0.5,-168499,-10.9,-156836,-10.0,-126143,-8.0,-378681307,-2.1,-389139305,-4.1,-6455748,-5.2,76,8.4
"19000","1","10","51","0","2020","1","","Iowa -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1391,17707,17569,17693,281424419,0,0,1226,"",2.26,0.60,0.60,0.60,0.60,0.00,0.00,1.00,"",63,4.7,375,2.2,-129,-0.7,106,0.6,5598584,2.0,0,0.0,0,0.0,16,1.3
"19000","1","10","51","0","2020","2","","Iowa -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1392,17588,17567,17665,320238470,0,0,1399,"",2.28,0.57,0.57,0.57,0.56,0.00,0.00,0.98,"",62,4.7,-164,-0.9,63,0.4,93,0.5,20871763,7.0,0,0.0,0,0.0,91,7.0
"19000","1","102","52","0","2020","1","","Iowa -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1391,17707,17569,17693,281424419,0,0,1226,"",2.27,0.61,0.61,0.61,0.61,0.00,0.00,1.00,"",63,4.7,375,2.2,-129,-0.7,106,0.6,5598584,2.0,0,0.0,0,0.0,16,1.3
"19000","1","102","52","0","2020","2","","Iowa -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1392,17588,17567,17665,320238470,0,0,1399,"",2.28,0.58,0.58,0.58,0.57,0.00,0.00,0.98,"",62,4.7,-164,-0.9,63,0.4,93,0.5,20871763,7.0,0,0.0,0,0.0,91,7.0
"19000","1","1021","53","0","2020","1","","Iowa -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",818,7424,7321,7330,98616487,0,0,1031,"",2.69,1.07,1.07,1.07,1.21,0.00,0.00,1.13,"",-6,-0.7,-45,-0.6,-190,-2.5,-150,-2.0,-375697,-0.4,0,0.0,0,0.0,14,1.4
"19000","1","1021","53","0","2020","2","","Iowa -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",818,7316,7389,7372,112548526,0,0,1176,"",2.70,1.02,1.02,1.02,1.11,0.00,0.00,1.09,"",-4,-0.5,-198,-2.6,-103,-1.4,-118,-1.6,3022451,2.8,0,0.0,0,0.0,52,4.6
"19000","1","1022","53","0","2020","1","","Iowa -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,17,17,17,289292,0,0,1309,"",0.79,0.25,0.25,0.25,0.27,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,0,0.0,-31469,-9.8,0,0.0,0,0.0,-142,-9.8
"19000","1","1022","53","0","2020","2","","Iowa -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,17,17,16,315580,0,0,1457,"",0.79,0.24,0.24,0.22,0.24,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,0,0.0,44253,16.3,0,0.0,0,0.0,205,16.4
"19000","1","1023","53","0","2020","1","","Iowa -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",16,162,161,161,3832000,0,0,1827,"",2.05,1.31,1.32,1.31,1.29,0.00,0.00,0.98,"",0,0.0,-6,-3.6,-3,-1.8,-3,-1.8,225203,6.2,0,0.0,0,0.0,149,8.9
"19000","1","1023","53","0","2020","2","","Iowa -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",16,162,164,161,4250856,0,0,2014,"",2.07,1.27,1.27,1.24,1.23,0.00,0.00,0.97,"",0,0.0,-5,-3.0,-3,-1.8,-3,-1.8,545452,14.7,0,0.0,0,0.0,297,17.3
"19000","1","1024","53","0","2020","1","","Iowa -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",15,302,297,301,5301992,0,0,1359,"",1.02,0.43,0.42,0.43,0.45,0.00,0.00,1.05,"",0,0.0,14,4.9,9,3.1,14,4.9,-825127,-13.5,0,0.0,0,0.0,-279,-17.0
"19000","1","1024","53","0","2020","2","","Iowa -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",15,303,316,320,5724889,0,0,1407,"",1.02,0.41,0.43,0.43,0.42,0.00,0.00,0.99,"",0,0.0,19,6.7,11,3.6,12,3.9,406435,7.6,0,0.0,0,0.0,39,2.9
