"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"21000","0","10","50","0","2020","1","","Kentucky -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",124548,1885713,1889036,1883578,23119577999,11283096617,194960976,943,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",907,0.7,15653,0.8,16251,0.9,-130,0.0,678254872,3.0,387160099,3.6,260360,0.1,23,2.5
"21000","0","10","50","0","2020","2","","Kentucky -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",125400,1621767,1661090,1754022,21179663449,2939961443,47315903,970,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3214,2.6,-274909,-14.5,-249724,-13.1,-156759,-8.2,-1410217211,-6.2,-540136031,-15.5,-11528622,-19.6,58,6.4
"21000","1","10","51","0","2020","1","","Kentucky -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1200,34725,34462,34539,566713343,0,0,1261,"",1.64,0.96,0.95,0.94,1.01,0.00,0.00,1.07,"",-19,-1.6,-183,-0.5,-862,-2.4,-793,-2.2,-19985476,-3.4,0,0.0,0,0.0,-22,-1.7
"21000","1","10","51","0","2020","2","","Kentucky -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1197,34395,34559,34609,630394291,0,0,1405,"",1.64,0.94,0.95,0.92,0.93,0.00,0.00,0.99,"",-14,-1.2,-765,-2.2,-324,-0.9,-275,-0.8,35454897,6.0,0,0.0,0,0.0,97,7.4
"21000","1","101","52","0","2020","1","","Kentucky -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,19,19,18,302549,0,0,1247,"",1.35,0.03,0.03,0.03,0.03,0.00,0.00,1.06,"",0,0.0,-1,-5.0,-1,-5.0,-2,-10.0,-15808,-5.0,0,0.0,0,0.0,23,1.9
"21000","1","101","52","0","2020","2","","Kentucky -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,19,17,22,357764,0,0,1423,"",1.38,0.03,0.02,0.03,0.03,0.00,0.00,1.03,"",0,0.0,-1,-5.0,-3,-15.0,-2,-8.3,49146,15.9,0,0.0,0,0.0,310,27.9
"21000","1","1011","53","0","2020","1","","Kentucky -- Statewide","Federal Government","1011 Natural resources and mining","State, by Supersector -- by ownership sector","All establishment sizes",2,19,19,18,302549,0,0,1247,"",2.20,0.52,0.52,0.48,0.63,0.00,0.00,1.24,"",0,0.0,-1,-5.0,-1,-5.0,-2,-10.0,-15808,-5.0,0,0.0,0,0.0,23,1.9
"21000","1","1011","53","0","2020","2","","Kentucky -- Statewide","Federal Government","1011 Natural resources and mining","State, by Supersector -- by ownership sector","All establishment sizes",2,19,17,22,357764,0,0,1423,"",2.25,0.45,0.36,0.39,0.53,0.00,0.00,1.34,"",0,0.0,-1,-5.0,-3,-15.0,-2,-8.3,49146,15.9,0,0.0,0,0.0,310,27.9
"21000","1","102","52","0","2020","1","","Kentucky -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1198,34706,34443,34521,566410794,0,0,1261,"",1.65,0.97,0.97,0.96,1.03,0.00,0.00,1.07,"",-19,-1.6,-182,-0.5,-861,-2.4,-791,-2.2,-19969668,-3.4,0,0.0,0,0.0,-22,-1.7
"21000","1","102","52","0","2020","2","","Kentucky -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1195,34376,34542,34587,630036527,0,0,1405,"",1.64,0.96,0.97,0.94,0.95,0.00,0.00,0.99,"",-14,-1.2,-764,-2.2,-321,-0.9,-273,-0.8,35405751,6.0,0,0.0,0,0.0,96,7.3
