"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"22000","0","10","50","0","2020","1","","Louisiana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",138007,1910972,1917322,1897735,24001228165,9194355628,119005216,967,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4968,3.7,1164,0.1,-2890,-0.2,-24957,-1.3,237373471,1.0,-80172254,-0.9,-11811264,-9.0,14,1.5
"22000","0","10","50","0","2020","2","","Louisiana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",137772,1654612,1679249,1710107,21521574388,1854647176,23685651,985,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3729,2.8,-278010,-14.4,-256967,-13.3,-212400,-11.0,-1635976127,-7.1,-609316998,-24.7,-11906399,-33.5,62,6.7
"22000","1","10","51","0","2020","1","","Louisiana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1065,31705,31624,32001,554951017,0,0,1343,"",1.32,0.86,0.86,0.87,0.96,0.00,0.00,1.11,"",30,2.9,480,1.5,292,0.9,652,2.1,8508015,1.6,0,0.0,0,0.0,0,0.0
"22000","1","10","51","0","2020","2","","Louisiana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1063,31994,31560,31695,641260299,0,0,1554,"",1.32,0.86,0.86,0.87,0.93,0.00,0.00,1.08,"",22,2.1,646,2.1,132,0.4,310,1.0,54871714,9.4,0,0.0,0,0.0,117,8.1
"22000","1","101","52","0","2020","1","","Louisiana -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,15,14,14,338978,0,0,1819,"",0.61,0.02,0.02,0.02,0.03,0.00,0.00,1.51,"",0,0.0,1,7.1,1,7.7,0,0.0,6661,2.0,0,0.0,0,0.0,-51,-2.7
"22000","1","101","52","0","2020","2","","Louisiana -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,14,14,15,408409,0,0,2192,"",0.63,0.02,0.02,0.02,0.03,0.00,0.00,1.56,"",0,0.0,0,0.0,0,0.0,1,7.1,-429,-0.1,0,0.0,0,0.0,-54,-2.4
"22000","1","1013","53","0","2020","1","","Louisiana -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,15,14,14,338978,0,0,1819,"",1.64,0.02,0.02,0.02,0.03,0.00,0.00,1.50,"",0,0.0,1,7.1,1,7.7,0,0.0,6661,2.0,0,0.0,0,0.0,-51,-2.7
"22000","1","1013","53","0","2020","2","","Louisiana -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,14,14,15,408409,0,0,2192,"",1.65,0.02,0.02,0.02,0.03,0.00,0.00,1.53,"",0,0.0,0,0.0,0,0.0,1,7.1,-429,-0.1,0,0.0,0,0.0,-54,-2.4
"22000","1","102","52","0","2020","1","","Louisiana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1064,31690,31610,31987,554612039,0,0,1343,"",1.32,0.88,0.88,0.88,0.97,0.00,0.00,1.11,"",30,2.9,479,1.5,291,0.9,652,2.1,8501354,1.6,0,0.0,0,0.0,0,0.0
"22000","1","102","52","0","2020","2","","Louisiana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1062,31980,31546,31680,640851890,0,0,1553,"",1.32,0.88,0.87,0.89,0.95,0.00,0.00,1.08,"",22,2.1,646,2.1,132,0.4,309,1.0,54872143,9.4,0,0.0,0,0.0,116,8.1
