"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"23000","0","10","50","0","2020","1","","Maine -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",53711,604876,603659,600939,7489868613,3534370647,60749773,955,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",688,1.3,5741,1.0,5080,0.8,514,0.1,333836061,4.7,112732924,3.3,1822188,3.1,37,4.0
"23000","0","10","50","0","2020","2","","Maine -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",53773,516588,546796,572488,6947846150,1077447449,20662955,980,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",266,0.5,-90915,-15.0,-77694,-12.4,-69488,-10.8,-137437443,-1.9,-257009660,-19.3,-5137420,-19.9,107,12.3
"23000","1","10","51","0","2020","1","","Maine -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",675,16186,16330,16761,293237138,0,0,1373,"",2.14,1.39,1.41,1.44,1.62,0.00,0.00,1.15,"",0,0.0,421,2.7,535,3.4,827,5.2,12258475,4.4,0,0.0,0,0.0,8,0.6
"23000","1","10","51","0","2020","2","","Maine -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",677,16795,16718,16795,343510462,0,0,1576,"",2.16,1.45,1.39,1.37,1.55,0.00,0.00,1.10,"",5,0.7,927,5.8,675,4.2,696,4.3,18999169,5.9,0,0.0,0,0.0,16,1.0
"23000","1","101","52","0","2020","1","","Maine -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,6333,6459,6494,122306149,0,0,1463,"",1.56,28.94,29.57,29.59,36.18,0.00,0.00,1.23,"",0,0.0,304,5.0,453,7.5,367,6.0,8516908,7.5,0,0.0,0,0.0,17,1.2
"23000","1","101","52","0","2020","2","","Maine -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,6558,6602,6635,144721580,0,0,1687,"",1.61,29.88,28.90,28.23,34.88,0.00,0.00,1.20,"",0,0.0,445,7.3,454,7.4,451,7.3,4475293,3.2,0,0.0,0,0.0,-68,-3.9
"23000","1","1013","53","0","2020","1","","Maine -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,6333,6459,6494,122306149,0,0,1463,"",4.21,30.58,31.23,31.29,37.92,0.00,0.00,1.22,"",0,0.0,304,5.0,453,7.5,367,6.0,8516908,7.5,0,0.0,0,0.0,17,1.2
"23000","1","1013","53","0","2020","2","","Maine -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,6558,6602,6635,144721580,0,0,1687,"",4.23,31.82,31.02,30.63,36.84,0.00,0.00,1.18,"",0,0.0,445,7.3,454,7.4,451,7.3,4475293,3.2,0,0.0,0,0.0,-68,-3.9
"23000","1","102","52","0","2020","1","","Maine -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",674,9853,9871,10267,170930989,0,0,1315,"",2.15,0.86,0.87,0.90,0.96,0.00,0.00,1.10,"",0,0.0,117,1.2,82,0.8,460,4.7,3741567,2.2,0,0.0,0,0.0,0,0.0
"23000","1","102","52","0","2020","2","","Maine -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",676,10237,10116,10160,198788882,0,0,1503,"",2.16,0.90,0.86,0.85,0.91,0.00,0.00,1.05,"",5,0.7,482,4.9,221,2.2,245,2.5,14523876,7.9,0,0.0,0,0.0,65,4.5
