"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"24000","0","10","50","0","2020","1","","Maryland -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",177662,2665427,2673244,2659109,44311943644,13867109603,244879360,1279,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2394,1.4,19083,0.7,19329,0.7,-11907,-0.4,1926423843,4.5,354474020,2.6,-13918508,-5.4,52,4.2
"24000","0","10","50","0","2020","2","","Maryland -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",175838,2311304,2354178,2430347,40124472448,2657363335,44086453,1305,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-592,-0.3,-380704,-14.1,-359021,-13.2,-305500,-11.2,-1451450197,-3.5,-818174936,-23.5,-20304426,-31.5,126,10.7
"24000","1","10","51","0","2020","1","","Maryland -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1006,146489,146449,146448,3809302375,0,0,2001,"",0.97,2.85,2.85,2.84,3.55,0.00,0.00,1.25,"",7,0.7,1105,0.8,1560,1.1,1744,1.2,127459821,3.5,0,0.0,0,0.0,48,2.5
"24000","1","10","51","0","2020","2","","Maryland -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1005,146638,147330,147843,4388166443,0,0,2292,"",0.98,2.82,2.85,2.85,3.42,0.00,0.00,1.20,"",12,1.2,2113,1.5,2284,1.6,2293,1.6,325149992,8.0,0,0.0,0,0.0,137,6.4
"24000","1","102","52","0","2020","1","","Maryland -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1006,146489,146449,146448,3809302375,0,0,2001,"",0.97,2.91,2.91,2.89,3.62,0.00,0.00,1.25,"",7,0.7,1105,0.8,1560,1.1,1744,1.2,127459821,3.5,0,0.0,0,0.0,48,2.5
"24000","1","102","52","0","2020","2","","Maryland -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1005,146638,147330,147843,4388166443,0,0,2292,"",0.98,2.87,2.91,2.91,3.49,0.00,0.00,1.20,"",12,1.2,2113,1.5,2284,1.6,2293,1.6,325149992,8.0,0,0.0,0,0.0,137,6.4
"24000","1","1021","53","0","2020","1","","Maryland -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",448,13105,13046,13073,189597357,0,0,1115,"",0.87,1.08,1.09,1.09,1.02,0.00,0.00,0.93,"",0,0.0,-159,-1.2,-142,-1.1,-177,-1.3,-4094334,-2.1,0,0.0,0,0.0,-11,-1.0
"24000","1","1021","53","0","2020","2","","Maryland -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",447,13050,13200,13211,225033049,0,0,1316,"",0.88,1.08,1.10,1.09,1.00,0.00,0.00,0.92,"",0,0.0,-168,-1.3,-65,-0.5,-101,-0.8,9771262,4.5,0,0.0,0,0.0,68,5.4
"24000","1","1022","53","0","2020","1","","Maryland -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,8,7,7,67473,0,0,708,"",0.93,0.07,0.06,0.06,0.03,0.00,0.00,0.46,"",0,0.0,0,0.0,-1,-12.5,-1,-12.5,2402,3.7,0,0.0,0,0.0,82,13.1
"24000","1","1022","53","0","2020","2","","Maryland -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,7,7,9,67697,0,0,679,"",0.94,0.06,0.06,0.07,0.02,0.00,0.00,0.36,"",0,0.0,0,0.0,0,0.0,2,28.6,8593,14.5,0,0.0,0,0.0,30,4.6
