"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"26000","0","10","50","0","2020","1","","Michigan -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",266876,4278231,4296752,4278678,61494298184,23894858504,710374366,1104,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17233,6.9,-1334,0.0,12533,0.3,-28957,-0.7,1362168034,2.3,161891475,0.7,-30518146,-4.1,26,2.4
"26000","0","10","50","0","2020","2","","Michigan -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",268465,3306055,3496084,3850906,51441066165,4393306879,127521882,1114,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6589,2.5,-1021610,-23.6,-900699,-20.5,-570169,-12.9,-6494729806,-11.2,-1883162672,-30.0,-61916124,-32.7,97,9.5
"26000","1","10","51","0","2020","1","","Michigan -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1487,52235,51733,51627,983183936,0,0,1458,"",0.95,0.63,0.63,0.62,0.66,0.00,0.00,1.05,"",-11,-0.7,338,0.7,-194,-0.4,-183,-0.4,-5717354,-0.6,0,0.0,0,0.0,-8,-0.5
"26000","1","10","51","0","2020","2","","Michigan -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1485,51753,52007,52456,1107050174,0,0,1635,"",0.95,0.70,0.68,0.64,0.67,0.00,0.00,1.01,"",-11,-0.7,-237,-0.5,2,0.0,227,0.4,74881115,7.3,0,0.0,0,0.0,110,7.2
"26000","1","102","52","0","2020","1","","Michigan -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1487,52235,51733,51627,983183936,0,0,1458,"",0.95,0.65,0.64,0.63,0.67,0.00,0.00,1.05,"",-11,-0.7,338,0.7,-194,-0.4,-183,-0.4,-5717354,-0.6,0,0.0,0,0.0,-8,-0.5
"26000","1","102","52","0","2020","2","","Michigan -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1485,51753,52007,52456,1107050174,0,0,1635,"",0.95,0.71,0.69,0.65,0.69,0.00,0.00,1.01,"",-11,-0.7,-237,-0.5,2,0.0,227,0.4,74881115,7.3,0,0.0,0,0.0,110,7.2
"26000","1","1021","53","0","2020","1","","Michigan -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",877,20876,20468,20399,306534837,0,0,1146,"",1.13,1.07,1.06,1.06,1.18,0.00,0.00,1.11,"",0,0.0,-223,-1.1,-486,-2.3,-491,-2.4,-4680931,-1.5,0,0.0,0,0.0,5,0.4
"26000","1","1021","53","0","2020","2","","Michigan -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",877,20546,20625,20824,361954671,0,0,1347,"",1.13,1.19,1.15,1.09,1.25,0.00,0.00,1.10,"",0,0.0,-465,-2.2,-239,-1.1,-63,-0.3,19308225,5.6,0,0.0,0,0.0,87,6.9
"26000","1","1022","53","0","2020","1","","Michigan -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,21,21,21,375783,0,0,1376,"",0.62,0.11,0.11,0.11,0.11,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,0,0.0,-34425,-8.4,0,0.0,0,0.0,-127,-8.4
"26000","1","1022","53","0","2020","2","","Michigan -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,21,20,20,429620,0,0,1625,"",0.61,0.12,0.11,0.11,0.11,0.00,0.00,1.01,"",0,0.0,0,0.0,-1,-4.8,0,0.0,75300,21.3,0,0.0,0,0.0,306,23.2
