"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"27000","0","10","50","0","2020","1","","Minnesota -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",183281,2864520,2861220,2839607,45776943078,27864403120,262159868,1233,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9048,5.2,15856,0.6,18798,0.7,-2724,-0.1,1305769996,2.9,1112544644,4.2,390914,0.1,30,2.5
"27000","0","10","50","0","2020","2","","Minnesota -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",185424,2481913,2545235,2644597,39898954576,16712458051,194516056,1200,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8037,4.5,-395316,-13.7,-385671,-13.2,-311342,-10.5,-1917583589,-4.6,-1482613384,-8.1,-21905883,-10.1,99,9.0
"27000","1","10","51","0","2020","1","","Minnesota -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1413,32163,32074,32363,575793078,0,0,1376,"",1.32,0.58,0.58,0.59,0.52,0.00,0.00,0.89,"",53,3.9,583,1.8,299,0.9,589,1.9,8553683,1.5,0,0.0,0,0.0,0,0.0
"27000","1","10","51","0","2020","2","","Minnesota -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1409,32608,32403,32742,658585567,0,0,1555,"",1.30,0.58,0.58,0.58,0.52,0.00,0.00,0.89,"",54,4.0,587,1.8,336,1.0,535,1.7,46810116,7.7,0,0.0,0,0.0,89,6.1
"27000","1","102","52","0","2020","1","","Minnesota -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1413,32163,32074,32363,575793078,0,0,1376,"",1.32,0.59,0.60,0.60,0.53,0.00,0.00,0.89,"",53,3.9,583,1.8,299,0.9,589,1.9,8553683,1.5,0,0.0,0,0.0,0,0.0
"27000","1","102","52","0","2020","2","","Minnesota -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1409,32608,32403,32742,658585567,0,0,1555,"",1.30,0.60,0.59,0.59,0.53,0.00,0.00,0.89,"",54,4.0,587,1.8,336,1.0,535,1.7,46810116,7.7,0,0.0,0,0.0,89,6.1
"27000","1","1021","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",793,12937,12779,12754,201001491,0,0,1206,"",1.49,0.99,1.00,1.00,1.04,0.00,0.00,1.05,"",-2,-0.3,25,0.2,-124,-1.0,-166,-1.3,-3936068,-1.9,0,0.0,0,0.0,-15,-1.2
"27000","1","1021","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",791,12798,12856,12909,224921142,0,0,1346,"",1.47,0.99,0.99,0.98,1.00,0.00,0.00,1.02,"",-3,-0.4,-148,-1.1,-139,-1.1,-109,-0.8,3939662,1.8,0,0.0,0,0.0,37,2.8
"27000","1","1023","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",25,224,221,221,5818319,0,0,2016,"",1.83,0.96,0.96,0.97,0.83,0.00,0.00,0.86,"",-1,-3.8,-3,-1.3,-11,-4.7,-10,-4.3,106351,1.9,0,0.0,0,0.0,106,5.5
"27000","1","1023","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",25,225,234,234,6690765,0,0,2228,"",1.83,0.98,1.01,0.99,0.87,0.00,0.00,0.88,"",-1,-3.8,-5,-2.2,3,1.3,0,0.0,860550,14.8,0,0.0,0,0.0,292,15.1
"27000","1","1024","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",17,407,409,438,8189902,0,0,1507,"",0.66,0.31,0.31,0.33,0.29,0.00,0.00,0.93,"",0,0.0,-9,-2.2,-7,-1.7,1,0.2,-1628767,-16.6,0,0.0,0,0.0,-279,-15.6
"27000","1","1024","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",17,445,459,467,9088516,0,0,1530,"",0.65,0.34,0.34,0.34,0.30,0.00,0.00,0.87,"",0,0.0,14,3.2,9,2.0,16,3.5,219618,2.5,0,0.0,0,0.0,-7,-0.5
"27000","1","1025","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",23,6708,6738,6712,135807268,0,0,1555,"",0.95,0.82,0.82,0.82,0.82,0.00,0.00,1.00,"",0,0.0,3,0.0,-65,-1.0,-96,-1.4,5252568,4.0,0,0.0,0,0.0,72,4.9
"27000","1","1025","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",23,6597,6653,6647,153964735,0,0,1786,"",0.94,0.81,0.81,0.80,0.81,0.00,0.00,1.01,"",-1,-4.2,-215,-3.2,-125,-1.8,-104,-1.5,4191609,2.8,0,0.0,0,0.0,87,5.1
"27000","1","1026","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",10,123,122,119,1681023,0,0,1066,"",0.37,0.14,0.14,0.14,0.16,0.00,0.00,1.12,"",0,0.0,11,9.8,12,10.9,5,4.4,-52868,-3.0,0,0.0,0,0.0,-125,-10.5
"27000","1","1026","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",10,118,129,171,2032402,0,0,1122,"",0.37,0.14,0.15,0.18,0.17,0.00,0.00,1.08,"",0,0.0,-1,-0.8,-39,-23.2,-7,-3.9,297195,17.1,0,0.0,0,0.0,261,30.3
"27000","1","1027","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",1,48,51,48,661977,0,0,1039,"",0.34,0.54,0.57,0.54,0.53,0.00,0.00,0.96,"",0,0.0,1,2.1,2,4.1,-4,-7.7,-3175,-0.5,0,0.0,0,0.0,2,0.2
"27000","1","1027","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",1,50,51,47,787977,0,0,1229,"",0.34,0.57,0.58,0.54,0.61,0.00,0.00,1.08,"",0,0.0,-3,-5.7,-1,-1.9,-3,-6.0,-66161,-7.7,0,0.0,0,0.0,-43,-3.4
"27000","1","1028","53","0","2020","1","","Minnesota -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",544,11716,11754,12071,222633098,0,0,1446,"",1.23,0.39,0.39,0.40,0.33,0.00,0.00,0.84,"",56,11.5,555,5.0,492,4.4,859,7.7,8815642,4.1,0,0.0,0,0.0,-21,-1.4
"27000","1","1028","53","0","2020","2","","Minnesota -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",542,12375,12021,12267,261100030,0,0,1643,"",1.21,0.40,0.39,0.39,0.33,0.00,0.00,0.85,"",59,12.2,945,8.3,628,5.5,742,6.4,37367643,16.7,0,0.0,0,0.0,140,9.3
"27000","1","48-49","54","0","2020","1","","Minnesota -- Statewide","Federal Government","NAICS 48-49 Transportation and warehousing","State, NAICS Sector -- by ownership sector","All establishment sizes",793,12937,12779,12754,201001491,0,0,1206,"",1.53,1.08,1.09,1.09,1.12,0.00,0.00,1.04,"",-2,-0.3,25,0.2,-124,-1.0,-166,-1.3,-3936068,-1.9,0,0.0,0,0.0,-15,-1.2
