"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"28000","0","10","50","0","2020","1","","Mississippi -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",74042,1127938,1132048,1127402,11766000277,6795713751,30387344,802,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1095,1.5,3778,0.3,3796,0.3,-2676,-0.2,350379359,3.1,132113365,2.0,-1236512,-3.9,23,3.0
"28000","0","10","50","0","2020","2","","Mississippi -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",73777,999210,1033168,1063102,10888864288,2863581233,13678313,812,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",624,0.9,-135252,-11.9,-105945,-9.3,-73195,-6.4,-442779750,-3.9,-364076826,-11.3,-2635525,-16.2,45,5.9
"28000","1","10","51","0","2020","1","","Mississippi -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1059,25809,25557,25722,432954660,0,0,1296,"",2.44,1.19,1.18,1.17,1.52,0.00,0.00,1.29,"",48,4.7,814,3.3,470,1.9,757,3.0,5046694,1.2,0,0.0,0,0.0,-20,-1.5
"28000","1","10","51","0","2020","2","","Mississippi -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1057,25704,25753,25776,491176840,0,0,1468,"",2.45,1.14,1.14,1.14,1.41,0.00,0.00,1.24,"",46,4.5,523,2.1,445,1.8,157,0.6,31613842,6.9,0,0.0,0,0.0,75,5.4
"28000","1","101","52","0","2020","1","","Mississippi -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,495,496,498,11242334,0,0,1742,"",2.27,1.21,1.21,1.21,2.12,0.00,0.00,1.75,"",0,0.0,34,7.4,36,7.8,41,9.0,1183058,11.8,0,0.0,0,0.0,57,3.4
"28000","1","101","52","0","2020","2","","Mississippi -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,503,511,516,13075193,0,0,1972,"",2.34,1.18,1.18,1.18,2.01,0.00,0.00,1.70,"",0,0.0,50,11.0,48,10.4,47,10.0,1514762,13.1,0,0.0,0,0.0,46,2.4
"28000","1","1013","53","0","2020","1","","Mississippi -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,495,496,498,11242334,0,0,1742,"",6.11,1.28,1.28,1.28,2.22,0.00,0.00,1.73,"",0,0.0,34,7.4,36,7.8,41,9.0,1183058,11.8,0,0.0,0,0.0,57,3.4
"28000","1","1013","53","0","2020","2","","Mississippi -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,503,511,516,13075193,0,0,1972,"",6.16,1.26,1.27,1.28,2.12,0.00,0.00,1.67,"",0,0.0,50,11.0,48,10.4,47,10.0,1514762,13.1,0,0.0,0,0.0,46,2.4
"28000","1","102","52","0","2020","1","","Mississippi -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1057,25314,25061,25224,421712326,0,0,1287,"",2.44,1.19,1.18,1.17,1.51,0.00,0.00,1.28,"",48,4.8,780,3.2,434,1.8,716,2.9,3863636,0.9,0,0.0,0,0.0,-22,-1.7
"28000","1","102","52","0","2020","2","","Mississippi -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1055,25201,25242,25260,478101647,0,0,1457,"",2.45,1.14,1.14,1.14,1.40,0.00,0.00,1.23,"",46,4.6,473,1.9,397,1.6,110,0.4,30099080,6.7,0,0.0,0,0.0,73,5.3
"28000","1","1021","53","0","2020","1","","Mississippi -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",448,5512,5442,5415,73199821,0,0,1032,"",2.08,1.07,1.07,1.06,1.48,0.00,0.00,1.38,"",-2,-0.4,98,1.8,-16,-0.3,-38,-0.7,2244520,3.2,0,0.0,0,0.0,29,2.9
"28000","1","1021","53","0","2020","2","","Mississippi -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",447,5472,5532,5559,82038605,0,0,1143,"",2.09,1.05,1.05,1.05,1.34,0.00,0.00,1.28,"",-1,-0.2,-28,-0.5,5,0.1,40,0.7,530321,0.7,0,0.0,0,0.0,6,0.5
"28000","1","1022","53","0","2020","1","","Mississippi -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,4,4,3,21008,0,0,441,"",1.12,0.08,0.08,0.06,0.03,0.00,0.00,0.45,"",0,0.0,0,0.0,0,0.0,-1,-25.0,6841,48.3,0,0.0,0,0.0,169,62.1
"28000","1","1022","53","0","2020","2","","Mississippi -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,3,3,4,15109,0,0,349,"",1.12,0.06,0.06,0.08,0.02,0.00,0.00,0.30,"",0,0.0,-2,-40.0,-2,-40.0,-1,-20.0,-1836,-10.8,0,0.0,0,0.0,88,33.7
"28000","1","1023","53","0","2020","1","","Mississippi -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",29,185,193,192,3574654,0,0,1447,"",5.26,2.02,2.12,2.11,1.99,0.00,0.00,0.95,"",-3,-9.4,3,1.6,13,7.2,14,7.9,237988,7.1,0,0.0,0,0.0,21,1.5
"28000","1","1023","53","0","2020","2","","Mississippi -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",29,192,204,203,4105920,0,0,1582,"",5.32,2.08,2.16,2.14,1.96,0.00,0.00,0.92,"",-1,-3.3,7,3.8,16,8.5,3,1.5,760291,22.7,0,0.0,0,0.0,235,17.4
"28000","1","1024","53","0","2020","1","","Mississippi -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",28,3081,2965,3001,59090098,0,0,1507,"",2.69,5.92,5.71,5.75,8.26,0.00,0.00,1.42,"",0,0.0,86,2.9,108,3.8,129,4.5,-6526204,-9.9,0,0.0,0,0.0,-229,-13.2
"28000","1","1024","53","0","2020","2","","Mississippi -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",29,2996,3013,3038,59688254,0,0,1523,"",2.81,5.61,5.54,5.57,7.16,0.00,0.00,1.29,"",1,3.6,167,5.9,113,3.9,104,3.5,1060675,1.8,0,0.0,0,0.0,-39,-2.5
"28000","1","1025","53","0","2020","1","","Mississippi -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",15,4110,4124,4067,75746873,0,0,1421,"",1.54,1.27,1.27,1.26,1.78,0.00,0.00,1.41,"",1,7.1,91,2.3,70,1.7,19,0.5,1816794,2.5,0,0.0,0,0.0,13,0.9
