"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"29000","0","10","50","0","2020","1","","Missouri -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",214226,2782202,2791616,2790626,36862137284,16916623877,174015543,1017,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8260,4.0,19836,0.7,19651,0.7,2371,0.1,1291246355,3.6,89475461,0.5,-5573164,-3.1,31,3.1
"29000","0","10","50","0","2020","2","","Missouri -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",215894,2485988,2555397,2622231,33697310957,4837935569,54581182,1015,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8315,4.0,-341609,-12.1,-283911,-10.0,-213936,-7.5,-1232905523,-3.5,-1251987522,-20.6,-17339425,-24.1,67,7.1
"29000","1","10","51","0","2020","1","","Missouri -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1740,55797,55873,56262,940009687,0,0,1292,"",1.39,1.04,1.04,1.04,1.05,0.00,0.00,1.01,"",80,4.8,1796,3.3,567,1.0,783,1.4,19688463,2.1,0,0.0,0,0.0,3,0.2
"29000","1","10","51","0","2020","2","","Missouri -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1742,56811,56754,56837,1085537814,0,0,1470,"",1.38,1.02,1.01,1.02,1.01,0.00,0.00,0.99,"",72,4.3,869,1.6,947,1.7,842,1.5,92614754,9.3,0,0.0,0,0.0,104,7.6
"29000","1","101","52","0","2020","1","","Missouri -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,1,1,1,22566,0,0,1736,"",0.78,0.00,0.00,0.00,0.00,0.00,0.00,1.37,"",0,0.0,0,0.0,0,0.0,0,0.0,985,4.6,0,0.0,0,0.0,76,4.6
"29000","1","101","52","0","2020","2","","Missouri -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,1,0,1,26460,0,0,3053,"",0.80,0.00,0.00,0.00,0.00,0.00,0.00,2.10,"",0,0.0,0,0.0,-1,-100.0,0,0.0,4122,18.5,0,0.0,0,0.0,1335,77.7
"29000","1","1013","53","0","2020","1","","Missouri -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,22566,0,0,1736,"",2.11,0.00,0.00,0.00,0.00,0.00,0.00,1.36,"",0,0.0,0,0.0,0,0.0,0,0.0,985,4.6,0,0.0,0,0.0,76,4.6
"29000","1","1013","53","0","2020","2","","Missouri -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,1,0,1,26460,0,0,3053,"",2.10,0.00,0.00,0.00,0.00,0.00,0.00,2.07,"",0,0.0,0,0.0,-1,-100.0,0,0.0,4122,18.5,0,0.0,0,0.0,1335,77.7
"29000","1","102","52","0","2020","1","","Missouri -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1738,55796,55872,56261,939987121,0,0,1292,"",1.39,1.06,1.06,1.06,1.07,0.00,0.00,1.01,"",80,4.8,1796,3.3,567,1.0,783,1.4,19687478,2.1,0,0.0,0,0.0,3,0.2
"29000","1","102","52","0","2020","2","","Missouri -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1740,56810,56754,56836,1085511354,0,0,1470,"",1.38,1.04,1.03,1.04,1.03,0.00,0.00,0.99,"",72,4.3,869,1.6,948,1.7,842,1.5,92610632,9.3,0,0.0,0,0.0,104,7.6
"29000","1","1021","53","0","2020","1","","Missouri -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",878,14974,14718,14689,206009288,0,0,1071,"",1.41,1.18,1.18,1.17,1.33,0.00,0.00,1.13,"",-4,-0.5,48,0.3,-215,-1.4,-245,-1.6,-18402,0.0,0,0.0,0,0.0,10,0.9
"29000","1","1021","53","0","2020","2","","Missouri -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",878,14771,14737,14763,241444590,0,0,1259,"",1.40,1.14,1.13,1.13,1.28,0.00,0.00,1.13,"",-8,-0.9,-222,-1.5,-285,-1.9,-331,-2.2,7005617,3.0,0,0.0,0,0.0,60,5.0
"29000","1","1022","53","0","2020","1","","Missouri -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",6,754,776,789,8832111,0,0,879,"",2.31,6.03,6.20,6.28,4.40,0.00,0.00,0.71,"",0,0.0,-56,-6.9,-33,-4.1,-32,-3.9,-199054,-2.2,0,0.0,0,0.0,25,2.9
"29000","1","1022","53","0","2020","2","","Missouri -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",6,803,810,805,10291120,0,0,982,"",2.29,6.21,6.24,6.21,4.16,0.00,0.00,0.67,"",0,0.0,-15,-1.8,18,2.3,18,2.3,1279480,14.2,0,0.0,0,0.0,114,13.1
"29000","1","1023","53","0","2020","1","","Missouri -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",33,1208,1199,1183,25529461,0,0,1641,"",2.07,5.35,5.35,5.26,4.53,0.00,0.00,0.85,"",-1,-2.9,-64,-5.0,-57,-4.5,-62,-5.0,475151,1.9,0,0.0,0,0.0,109,7.1
"29000","1","1023","53","0","2020","2","","Missouri -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",32,1185,1207,1196,29547592,0,0,1900,"",2.01,5.15,5.17,5.12,4.55,0.00,0.00,0.88,"",-2,-5.9,-62,-5.0,-40,-3.2,-63,-5.0,4260559,16.8,0,0.0,0,0.0,345,22.2
