"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"30000","0","10","50","0","2020","1","","Montana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",50567,463199,464728,465094,5239188919,3796234373,41675053,868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1952,4.0,6400,1.4,7894,1.7,6653,1.5,224322098,4.5,164060558,4.5,905762,2.2,25,3.0
"30000","0","10","50","0","2020","2","","Montana -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",51519,410477,441999,459545,5227283205,2984305486,34836194,919,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2038,4.1,-55960,-12.0,-33687,-7.1,-23712,-4.9,28166923,0.5,-43221028,-1.4,-1694637,-4.6,77,9.1
"30000","1","10","51","0","2020","1","","Montana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",848,12442,12436,12844,210524226,0,0,1288,"",2.86,1.39,1.39,1.42,1.66,0.00,0.00,1.18,"",44,5.5,292,2.4,112,0.9,435,3.5,3399848,1.6,0,0.0,0,0.0,-8,-0.6
"30000","1","10","51","0","2020","2","","Montana -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",847,13244,14399,14530,259537084,0,0,1420,"",2.82,1.43,1.48,1.48,1.55,0.00,0.00,1.06,"",46,5.7,349,2.7,712,5.2,316,2.2,32707117,14.4,0,0.0,0,0.0,137,10.7
"30000","1","102","52","0","2020","1","","Montana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",848,12442,12436,12844,210524226,0,0,1288,"",2.87,1.42,1.42,1.45,1.69,0.00,0.00,1.18,"",44,5.5,292,2.4,112,0.9,435,3.5,3399848,1.6,0,0.0,0,0.0,-8,-0.6
"30000","1","102","52","0","2020","2","","Montana -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",847,13244,14399,14530,259537084,0,0,1420,"",2.82,1.46,1.51,1.51,1.58,0.00,0.00,1.06,"",46,5.7,349,2.7,712,5.2,316,2.2,32707117,14.4,0,0.0,0,0.0,137,10.7
"30000","1","1021","53","0","2020","1","","Montana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",326,2153,2158,2160,28019627,0,0,999,"",2.22,1.02,1.04,1.03,1.27,0.00,0.00,1.23,"",2,0.6,-34,-1.6,-46,-2.1,-40,-1.8,-469891,-1.6,0,0.0,0,0.0,2,0.2
"30000","1","1021","53","0","2020","2","","Montana -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",326,2159,2164,2160,31603886,0,0,1125,"",2.18,1.01,0.96,0.95,1.08,0.00,0.00,1.11,"",2,0.6,-33,-1.5,-17,-0.8,-18,-0.8,316050,1.0,0,0.0,0,0.0,23,2.1
"30000","1","1022","53","0","2020","1","","Montana -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,45663,0,0,585,"",1.63,0.29,0.29,0.29,0.16,0.00,0.00,0.56,"",0,0.0,0,0.0,1,20.0,0,0.0,4030,9.7,0,0.0,0,0.0,20,3.5
"30000","1","1022","53","0","2020","2","","Montana -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,38445,0,0,493,"",1.60,0.28,0.27,0.26,0.10,0.00,0.00,0.37,"",0,0.0,0,0.0,0,0.0,0,0.0,-560,-1.4,0,0.0,0,0.0,-7,-1.4
"30000","1","1023","53","0","2020","1","","Montana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,89,89,89,1951403,0,0,1687,"",3.99,2.37,2.39,2.37,2.44,0.00,0.00,1.03,"",0,0.0,7,8.5,9,11.2,6,7.2,269372,16.0,0,0.0,0,0.0,103,6.5
"30000","1","1023","53","0","2020","2","","Montana -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",15,91,93,95,2284640,0,0,1890,"",3.94,2.39,2.31,2.32,2.27,0.00,0.00,0.97,"",0,0.0,8,9.6,11,13.4,8,9.2,558389,32.3,0,0.0,0,0.0,309,19.5
"30000","1","1024","53","0","2020","1","","Montana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",13,194,195,194,4341283,0,0,1718,"",1.83,0.91,0.91,0.90,1.36,0.00,0.00,1.50,"",0,0.0,-2,-1.0,0,0.0,-1,-0.5,-205926,-4.5,0,0.0,0,0.0,-73,-4.1
"30000","1","1024","53","0","2020","2","","Montana -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",13,197,203,208,4936496,0,0,1874,"",1.80,0.90,0.87,0.88,1.23,0.00,0.00,1.40,"",0,0.0,-1,-0.5,5,2.5,-2,-1.0,976249,24.7,0,0.0,0,0.0,366,24.3
"30000","1","1025","53","0","2020","1","","Montana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",16,1766,1781,1774,33980598,0,0,1474,"",2.40,1.33,1.34,1.33,1.79,0.00,0.00,1.35,"",0,0.0,10,0.6,19,1.1,19,1.1,1893454,5.9,0,0.0,0,0.0,70,5.0
"30000","1","1025","53","0","2020","2","","Montana -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",16,1823,1858,1859,40272753,0,0,1678,"",2.35,1.35,1.30,1.29,1.62,0.00,0.00,1.24,"",0,0.0,63,3.6,88,5.0,73,4.1,3186503,8.6,0,0.0,0,0.0,68,4.2
"30000","1","1026","53","0","2020","1","","Montana -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",18,218,220,232,3210832,0,0,1106,"",2.43,1.58,1.57,1.65,2.64,0.00,0.00,1.65,"",0,0.0,-13,-5.6,-10,-4.3,-10,-4.1,-407476,-11.3,0,0.0,0,0.0,-82,-6.9
