"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31000","0","10","50","0","2020","1","","Nebraska -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",71965,971011,972606,972087,12082095559,5217336361,37699223,956,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",335,0.5,8217,0.9,9721,1.0,7198,0.7,587651601,5.1,224717670,4.5,-2230285,-5.6,38,4.1
"31000","0","10","50","0","2020","2","","Nebraska -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",72850,894290,913167,932300,11394436410,1274168016,15498875,960,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",189,0.3,-83222,-8.5,-76596,-7.7,-59418,-6.0,-5617029,0.0,-89204769,-6.5,1858465,13.6,71,8.0
"31000","1","10","51","0","2020","1","","Nebraska -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",959,17179,17059,17126,285822720,0,0,1284,"",2.27,0.92,0.91,0.91,0.98,0.00,0.00,1.07,"",76,8.6,581,3.5,180,1.1,384,2.3,6267358,2.2,0,0.0,0,0.0,-1,-0.1
"31000","1","10","51","0","2020","2","","Nebraska -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",958,17122,17205,17228,326044954,0,0,1459,"",2.25,0.85,0.86,0.87,0.90,0.00,0.00,1.04,"",74,8.4,174,1.0,287,1.7,153,0.9,20514480,6.7,0,0.0,0,0.0,75,5.4
"31000","1","102","52","0","2020","1","","Nebraska -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",959,17179,17059,17126,285822720,0,0,1284,"",2.28,0.94,0.93,0.92,1.00,0.00,0.00,1.07,"",76,8.6,581,3.5,180,1.1,384,2.3,6267358,2.2,0,0.0,0,0.0,-1,-0.1
"31000","1","102","52","0","2020","2","","Nebraska -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",958,17122,17205,17228,326044954,0,0,1459,"",2.26,0.87,0.88,0.88,0.91,0.00,0.00,1.04,"",74,8.4,174,1.0,287,1.7,153,0.9,20514480,6.7,0,0.0,0,0.0,75,5.4
"31000","1","1021","53","0","2020","1","","Nebraska -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",496,4669,4583,4560,58456840,0,0,977,"",2.37,1.06,1.05,1.04,1.15,0.00,0.00,1.09,"",3,0.6,-41,-0.9,-108,-2.3,-135,-2.9,-1727414,-2.9,0,0.0,0,0.0,-8,-0.8
"31000","1","1021","53","0","2020","2","","Nebraska -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",496,4580,4634,4652,68297780,0,0,1137,"",2.35,0.98,0.99,1.00,1.07,0.00,0.00,1.08,"",0,0.0,-120,-2.6,-103,-2.2,-81,-1.7,1230394,1.8,0,0.0,0,0.0,45,4.1
"31000","1","1023","53","0","2020","1","","Nebraska -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",11,95,93,93,2229538,0,0,1831,"",2.05,1.21,1.19,1.19,1.21,0.00,0.00,1.01,"",2,22.2,-8,-7.8,-8,-7.9,-8,-7.9,-19559,-0.9,0,0.0,0,0.0,129,7.6
"31000","1","1023","53","0","2020","2","","Nebraska -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",11,96,101,100,2608261,0,0,2027,"",2.04,1.16,1.21,1.20,1.19,0.00,0.00,1.00,"",2,22.2,-7,-6.8,-1,-1.0,0,0.0,293041,12.7,0,0.0,0,0.0,275,15.7
