"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"32000","0","10","50","0","2020","1","","Nevada -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",85734,1413451,1418403,1410695,18970673577,13948752868,240532005,1032,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5221,6.5,34503,2.5,33894,2.4,17429,1.3,1112976268,6.2,880674483,6.7,-7259457,-2.9,41,4.1
"32000","0","10","50","0","2020","2","","Nevada -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",85906,1098152,1094943,1191620,15373270311,7888162112,139441282,1048,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4178,5.1,-299924,-21.5,-313902,-22.3,-217313,-15.4,-2191963014,-12.5,-1882967250,-19.3,-49434475,-26.2,87,9.1
"32000","1","10","51","0","2020","1","","Nevada -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",366,19824,19797,19954,350527422,0,0,1358,"",0.73,0.73,0.73,0.73,0.76,0.00,0.00,1.05,"",12,3.4,823,4.3,739,3.9,920,4.8,19246234,5.8,0,0.0,0,0.0,19,1.4
"32000","1","10","51","0","2020","2","","Nevada -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",365,19974,20198,20423,416996015,0,0,1588,"",0.73,0.81,0.84,0.80,0.85,0.00,0.00,1.04,"",9,2.5,830,4.3,672,3.4,801,4.1,52581111,14.4,0,0.0,0,0.0,145,10.0
"32000","1","102","52","0","2020","1","","Nevada -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",366,19824,19797,19954,350527422,0,0,1358,"",0.73,0.74,0.74,0.74,0.78,0.00,0.00,1.05,"",12,3.4,823,4.3,739,3.9,920,4.8,19246234,5.8,0,0.0,0,0.0,19,1.4
"32000","1","102","52","0","2020","2","","Nevada -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",365,19974,20198,20423,416996015,0,0,1588,"",0.73,0.82,0.86,0.82,0.86,0.00,0.00,1.04,"",9,2.5,830,4.3,672,3.4,801,4.1,52581111,14.4,0,0.0,0,0.0,145,10.0
"32000","1","1021","53","0","2020","1","","Nevada -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",118,4976,4911,4924,68609728,0,0,1069,"",0.47,0.77,0.77,0.77,0.86,0.00,0.00,1.11,"",0,0.0,32,0.6,-37,-0.7,-27,-0.5,2176129,3.3,0,0.0,0,0.0,36,3.5
"32000","1","1021","53","0","2020","2","","Nevada -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",119,4908,5092,5044,82682137,0,0,1268,"",0.48,0.86,0.91,0.85,0.96,0.00,0.00,1.10,"",1,0.8,-3,-0.1,105,2.1,60,1.2,7382228,9.8,0,0.0,0,0.0,100,8.6
"32000","1","1022","53","0","2020","1","","Nevada -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,1,2,2,2314,0,0,107,"",0.96,0.02,0.03,0.03,0.00,0.00,0.00,0.09,"",0,0.0,0,0.0,1,100.0,1,100.0,856,58.7,0,0.0,0,0.0,-5,-4.5
"32000","1","1022","53","0","2020","2","","Nevada -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,3087,0,0,119,"",0.96,0.03,0.04,0.03,0.00,0.00,0.00,0.08,"",0,0.0,1,100.0,1,100.0,1,100.0,1749,130.7,0,0.0,0,0.0,16,15.5
"32000","1","1023","53","0","2020","1","","Nevada -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",4,23,23,21,421568,0,0,1452,"",0.63,0.20,0.20,0.18,0.15,0.00,0.00,0.74,"",0,0.0,-3,-11.5,-3,-11.5,-5,-19.2,-53545,-11.3,0,0.0,0,0.0,46,3.3
"32000","1","1023","53","0","2020","2","","Nevada -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",4,22,23,23,494068,0,0,1677,"",0.63,0.22,0.23,0.22,0.17,0.00,0.00,0.76,"",0,0.0,-3,-12.0,-1,-4.2,-2,-8.0,48885,11.0,0,0.0,0,0.0,289,20.8
"32000","1","1024","53","0","2020","1","","Nevada -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",9,540,544,546,7599646,0,0,1076,"",0.75,0.83,0.84,0.84,0.66,0.00,0.00,0.79,"",0,0.0,-4,-0.7,2,0.4,4,0.7,265649,3.6,0,0.0,0,0.0,36,3.5
"32000","1","1024","53","0","2020","2","","Nevada -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",9,543,553,557,8985066,0,0,1254,"",0.75,0.92,0.96,0.91,0.76,0.00,0.00,0.82,"",0,0.0,4,0.7,6,1.1,13,2.4,497459,5.9,0,0.0,0,0.0,52,4.3
"32000","1","1025","53","0","2020","1","","Nevada -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",12,4875,4915,4899,102031451,0,0,1603,"",1.06,1.20,1.21,1.21,1.49,0.00,0.00,1.23,"",0,0.0,357,7.9,379,8.4,342,7.5,10977963,12.1,0,0.0,0,0.0,59,3.8
"32000","1","1025","53","0","2020","2","","Nevada -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",12,4862,4894,4933,126124498,0,0,1981,"",1.06,1.34,1.39,1.32,1.73,0.00,0.00,1.28,"",0,0.0,271,5.9,266,5.7,299,6.5,19763655,18.6,0,0.0,0,0.0,209,11.8
