"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"33000","0","10","50","0","2020","1","","New Hampshire -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",54181,661882,661700,657701,10239895865,4667659236,24212486,1193,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1510,2.9,6610,1.0,6935,1.1,1754,0.3,392856820,4.0,131836650,2.9,103081,0.4,37,3.2
"33000","0","10","50","0","2020","2","","New Hampshire -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",54839,553610,578674,605412,9148557663,1276319167,12028904,1215,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1412,2.6,-104474,-15.9,-88728,-13.3,-70793,-10.5,-305884463,-3.2,-289236212,-18.5,2533389,26.7,125,11.5
"33000","1","10","51","0","2020","1","","New Hampshire -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",421,7952,7944,8180,154129041,0,0,1477,"",1.33,0.62,0.63,0.64,0.62,0.00,0.00,0.99,"",5,1.2,207,2.7,139,1.8,367,4.7,2828158,1.9,0,0.0,0,0.0,-17,-1.1
"33000","1","10","51","0","2020","2","","New Hampshire -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",422,8128,8029,8207,175689126,0,0,1664,"",1.32,0.65,0.63,0.64,0.60,0.00,0.00,0.94,"",6,1.4,298,3.8,127,1.6,302,3.8,14811775,9.2,0,0.0,0,0.0,93,5.9
"33000","1","102","52","0","2020","1","","New Hampshire -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",421,7952,7944,8180,154129041,0,0,1477,"",1.33,0.64,0.64,0.65,0.63,0.00,0.00,0.99,"",5,1.2,207,2.7,139,1.8,367,4.7,2828158,1.9,0,0.0,0,0.0,-17,-1.1
"33000","1","102","52","0","2020","2","","New Hampshire -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",422,8128,8029,8207,175689126,0,0,1664,"",1.32,0.67,0.64,0.65,0.61,0.00,0.00,0.94,"",6,1.4,298,3.8,127,1.6,302,3.8,14811775,9.2,0,0.0,0,0.0,93,5.9
"33000","1","1021","53","0","2020","1","","New Hampshire -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",232,3286,3266,3293,47042702,0,0,1103,"",1.47,1.09,1.10,1.11,1.09,0.00,0.00,0.99,"",4,1.8,20,0.6,-5,-0.2,-6,-0.2,132668,0.3,0,0.0,0,0.0,2,0.2
"33000","1","1021","53","0","2020","2","","New Hampshire -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",235,3262,3311,3329,54842300,0,0,1278,"",1.48,1.13,1.12,1.11,1.07,0.00,0.00,0.96,"",7,3.1,-44,-1.3,15,0.5,37,1.1,2648853,5.1,0,0.0,0,0.0,61,5.0
"33000","1","1022","53","0","2020","1","","New Hampshire -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,13,13,13,400933,0,0,2372,"",3.05,0.44,0.44,0.44,0.72,0.00,0.00,1.64,"",0,0.0,1,8.3,1,8.3,1,8.3,38444,10.6,0,0.0,0,0.0,48,2.1
"33000","1","1022","53","0","2020","2","","New Hampshire -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,13,14,14,482812,0,0,2718,"",3.00,0.45,0.48,0.47,0.72,0.00,0.00,1.55,"",0,0.0,1,8.3,2,16.7,2,16.7,112932,30.5,0,0.0,0,0.0,347,14.6
