"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"34000","0","10","50","0","2020","1","","New Jersey -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",283096,4045957,4055737,4046981,76610708452,44951094856,686882936,1455,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10038,3.7,42654,1.1,45013,1.1,11801,0.3,3526591915,4.8,1785003932,4.1,33439011,5.1,55,3.9
"34000","0","10","50","0","2020","2","","New Jersey -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",284089,3399578,3448516,3570328,62113348182,22116096867,364995909,1376,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8172,3.0,-673223,-16.5,-658998,-16.0,-611774,-14.6,-4077188747,-6.2,-3449523513,-13.5,-64472086,-15.0,140,11.3
"34000","1","10","51","0","2020","1","","New Jersey -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1086,48406,48550,48767,960607308,0,0,1521,"",0.65,0.62,0.62,0.62,0.52,0.00,0.00,0.83,"",17,1.6,543,1.1,668,1.4,884,1.8,-1856272,-0.2,0,0.0,0,0.0,-25,-1.6
"34000","1","10","51","0","2020","2","","New Jersey -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1119,48953,48701,49205,1101288246,0,0,1731,"",0.67,0.64,0.64,0.65,0.55,0.00,0.00,0.86,"",51,4.8,1231,2.6,719,1.5,942,2.0,84916979,8.4,0,0.0,0,0.0,102,6.3
"34000","1","102","52","0","2020","1","","New Jersey -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1086,48406,48550,48767,960607308,0,0,1521,"",0.66,0.63,0.64,0.63,0.53,0.00,0.00,0.83,"",17,1.6,543,1.1,668,1.4,884,1.8,-1856272,-0.2,0,0.0,0,0.0,-25,-1.6
"34000","1","102","52","0","2020","2","","New Jersey -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1119,48953,48701,49205,1101288246,0,0,1731,"",0.68,0.65,0.66,0.66,0.57,0.00,0.00,0.86,"",51,4.8,1231,2.6,719,1.5,942,2.0,84916979,8.4,0,0.0,0,0.0,102,6.3
"34000","1","1021","53","0","2020","1","","New Jersey -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",624,20782,20708,20652,311767988,0,0,1158,"",0.76,1.13,1.14,1.13,0.97,0.00,0.00,0.85,"",21,3.5,-243,-1.2,-272,-1.3,-347,-1.7,-5902029,-1.9,0,0.0,0,0.0,-6,-0.5
"34000","1","1021","53","0","2020","2","","New Jersey -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",654,20696,20855,21113,374286852,0,0,1378,"",0.79,1.17,1.18,1.19,1.07,0.00,0.00,0.91,"",51,8.5,-193,-0.9,-224,-1.1,62,0.3,18891109,5.3,0,0.0,0,0.0,77,5.9
"34000","1","1022","53","0","2020","1","","New Jersey -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,15,14,14,159375,0,0,855,"",0.58,0.08,0.08,0.08,0.04,0.00,0.00,0.49,"",0,0.0,-2,-11.8,-3,-17.6,-3,-17.6,-20672,-11.5,0,0.0,0,0.0,40,4.9
"34000","1","1022","53","0","2020","2","","New Jersey -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,15,16,15,163910,0,0,822,"",0.58,0.08,0.09,0.09,0.04,0.00,0.00,0.41,"",0,0.0,-2,-11.8,-1,-5.9,-1,-6.2,-17472,-9.6,0,0.0,0,0.0,-15,-1.8
"34000","1","1023","53","0","2020","1","","New Jersey -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",5,67,67,68,2309843,0,0,2639,"",0.24,0.20,0.21,0.21,0.20,0.00,0.00,0.96,"",-1,-16.7,1,1.5,2,3.1,5,7.9,289077,14.3,0,0.0,0,0.0,235,9.8
"34000","1","1023","53","0","2020","2","","New Jersey -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",5,69,70,71,2614044,0,0,2873,"",0.24,0.22,0.22,0.22,0.22,0.00,0.00,0.99,"",0,0.0,6,9.5,5,7.7,5,7.6,469337,21.9,0,0.0,0,0.0,322,12.6
"34000","1","1024","53","0","2020","1","","New Jersey -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",32,430,433,433,9496759,0,0,1691,"",0.80,0.23,0.23,0.23,0.20,0.00,0.00,0.88,"",0,0.0,-1,-0.2,6,1.4,11,2.6,-201974,-2.1,0,0.0,0,0.0,-58,-3.3
