"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"35000","0","10","50","0","2020","1","","New Mexico -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",62769,838769,838915,836353,10050925306,6440932425,45972089,923,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1113,1.8,18073,2.2,12867,1.6,8547,1.0,507947262,5.3,338769274,5.6,-1622342,-3.4,33,3.7
"35000","0","10","50","0","2020","2","","New Mexico -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",62384,741603,743714,756984,9312028327,3621557832,26133212,958,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",252,0.4,-92357,-11.1,-95978,-11.4,-78741,-9.4,-349922653,-3.6,-336599135,-8.5,-5805642,-18.2,69,7.8
"35000","1","10","51","0","2020","1","","New Mexico -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",841,29034,29092,29665,544889428,0,0,1432,"",2.29,1.80,1.81,1.83,2.24,0.00,0.00,1.24,"",27,3.3,612,2.2,554,1.9,1109,3.9,12804852,2.4,0,0.0,0,0.0,-4,-0.3
"35000","1","10","51","0","2020","2","","New Mexico -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",840,29962,30070,30449,637087762,0,0,1625,"",2.31,1.80,1.84,1.89,2.14,0.00,0.00,1.16,"",24,2.9,1238,4.3,894,3.1,1046,3.6,68907532,12.1,0,0.0,0,0.0,123,8.2
"35000","1","102","52","0","2020","1","","New Mexico -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",841,29034,29092,29665,544889428,0,0,1432,"",2.29,1.83,1.84,1.86,2.28,0.00,0.00,1.24,"",27,3.3,612,2.2,554,1.9,1109,3.9,12804852,2.4,0,0.0,0,0.0,-4,-0.3
"35000","1","102","52","0","2020","2","","New Mexico -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",840,29962,30070,30449,637087762,0,0,1625,"",2.31,1.83,1.88,1.92,2.18,0.00,0.00,1.16,"",24,2.9,1238,4.3,894,3.1,1046,3.6,68907532,12.1,0,0.0,0,0.0,123,8.2
"35000","1","1021","53","0","2020","1","","New Mexico -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",324,3971,3950,3960,57756072,0,0,1122,"",1.78,1.04,1.05,1.05,1.36,0.00,0.00,1.30,"",1,0.3,18,0.5,-40,-1.0,-55,-1.4,-337532,-0.6,0,0.0,0,0.0,1,0.1
"35000","1","1021","53","0","2020","2","","New Mexico -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",324,3946,4064,4053,68214768,0,0,1305,"",1.79,1.02,1.07,1.08,1.31,0.00,0.00,1.24,"",1,0.3,-22,-0.6,53,1.3,45,1.1,5715801,9.1,0,0.0,0,0.0,102,8.5
"35000","1","1022","53","0","2020","1","","New Mexico -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",4,15,16,16,122425,0,0,601,"",5.27,0.40,0.43,0.43,0.22,0.00,0.00,0.54,"",0,0.0,-4,-21.1,-3,-15.8,-1,-5.9,2657,2.2,0,0.0,0,0.0,98,19.5
"35000","1","1022","53","0","2020","2","","New Mexico -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",4,15,15,15,98947,0,0,507,"",5.28,0.39,0.40,0.40,0.14,0.00,0.00,0.37,"",0,0.0,-2,-11.8,-2,-11.8,-2,-11.8,-17337,-14.9,0,0.0,0,0.0,-19,-3.6
"35000","1","1023","53","0","2020","1","","New Mexico -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",9,57,58,58,1200613,0,0,1602,"",1.93,0.84,0.86,0.86,0.78,0.00,0.00,0.92,"",0,0.0,2,3.6,3,5.5,3,5.5,90513,8.2,0,0.0,0,0.0,49,3.2
"35000","1","1023","53","0","2020","2","","New Mexico -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",8,58,58,59,1393853,0,0,1838,"",1.74,0.84,0.85,0.88,0.78,0.00,0.00,0.91,"",-1,-11.1,7,13.7,8,16.0,10,20.4,271272,24.2,0,0.0,0,0.0,111,6.4
