"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37000","0","10","50","0","2020","1","","North Carolina -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",296027,4490316,4511993,4500454,63909036601,37763142455,195639252,1092,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12392,4.4,74136,1.7,69923,1.6,38672,0.9,3251696238,5.4,1848089400,5.1,-15305057,-7.3,41,3.9
"37000","0","10","50","0","2020","2","","North Carolina -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",296238,3991667,4083227,4205446,55236337991,20220944332,117773441,1038,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12008,4.2,-485133,-10.8,-431342,-9.6,-311277,-6.9,-1599282622,-2.8,-1542199632,-7.1,-14230919,-10.8,67,6.9
"37000","1","10","51","0","2020","1","","North Carolina -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1598,74729,74686,75299,1283956964,0,0,1319,"",0.92,0.86,0.86,0.86,0.83,0.00,0.00,0.96,"",38,2.4,1584,2.2,1328,1.8,1979,2.7,18245448,1.4,0,0.0,0,0.0,-10,-0.8
"37000","1","10","51","0","2020","2","","North Carolina -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1595,75331,75557,75221,1471401604,0,0,1502,"",0.92,0.84,0.84,0.84,0.83,0.00,0.00,0.99,"",42,2.7,1846,2.5,1618,2.2,1094,1.5,104640484,7.7,0,0.0,0,0.0,78,5.5
"37000","1","102","52","0","2020","1","","North Carolina -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1598,74729,74686,75299,1283956964,0,0,1319,"",0.92,0.88,0.88,0.88,0.85,0.00,0.00,0.96,"",38,2.4,1584,2.2,1328,1.8,1979,2.7,18245448,1.4,0,0.0,0,0.0,-10,-0.8
"37000","1","102","52","0","2020","2","","North Carolina -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1595,75331,75557,75221,1471401604,0,0,1502,"",0.92,0.86,0.86,0.85,0.85,0.00,0.00,0.99,"",43,2.8,1846,2.5,1618,2.2,1094,1.5,104640484,7.7,0,0.0,0,0.0,78,5.5
"37000","1","1021","53","0","2020","1","","North Carolina -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",802,22550,22288,22323,307691623,0,0,1057,"",0.93,1.10,1.10,1.10,1.14,0.00,0.00,1.04,"",3,0.4,-51,-0.2,-368,-1.6,-403,-1.8,2743360,0.9,0,0.0,0,0.0,22,2.1
"37000","1","1021","53","0","2020","2","","North Carolina -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",803,22328,22641,22591,362164056,0,0,1237,"",0.94,1.07,1.08,1.08,1.17,0.00,0.00,1.08,"",1,0.1,-352,-1.6,-201,-0.9,-168,-0.7,18166624,5.3,0,0.0,0,0.0,74,6.4
"37000","1","1022","53","0","2020","1","","North Carolina -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",3,19,16,16,186350,0,0,843,"",0.84,0.09,0.08,0.08,0.05,0.00,0.00,0.64,"",0,0.0,3,18.8,-2,-11.1,-1,-5.9,-22178,-10.6,0,0.0,0,0.0,-101,-10.7
"37000","1","1022","53","0","2020","2","","North Carolina -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",3,17,18,17,198924,0,0,883,"",0.83,0.08,0.09,0.08,0.05,0.00,0.00,0.59,"",0,0.0,-1,-5.6,-1,-5.3,-2,-10.5,2627,1.3,0,0.0,0,0.0,74,9.1
"37000","1","1023","53","0","2020","1","","North Carolina -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",28,282,283,284,6862745,0,0,1865,"",1.27,0.77,0.78,0.78,0.70,0.00,0.00,0.90,"",0,0.0,-7,-2.4,-2,-0.7,-1,-0.4,261979,4.0,0,0.0,0,0.0,92,5.2
