"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"38000","0","10","50","0","2020","1","","North Dakota -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",32219,414493,414963,413952,5634691659,3828418749,21994751,1046,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",547,1.7,1962,0.5,1806,0.4,-470,-0.1,146809147,2.7,107755533,2.9,-6174896,-21.9,25,2.4
"38000","0","10","50","0","2020","2","","North Dakota -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",32412,368082,383179,390092,5249758976,2606005701,21668090,1061,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",489,1.5,-51585,-12.3,-45530,-10.6,-41692,-9.7,-446556224,-7.8,-244123597,-8.6,-6226564,-22.3,34,3.3
"38000","1","10","51","0","2020","1","","North Dakota -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",696,9295,9272,9375,149404441,0,0,1234,"",3.69,1.16,1.16,1.17,1.10,0.00,0.00,0.94,"",-2,-0.3,215,2.4,-1,0.0,183,2.0,3126988,2.1,0,0.0,0,0.0,9,0.7
"38000","1","10","51","0","2020","2","","North Dakota -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",691,9306,9365,9426,171594304,0,0,1409,"",3.65,1.12,1.11,1.13,1.02,0.00,0.00,0.91,"",-10,-1.4,53,0.6,46,0.5,36,0.4,13484530,8.5,0,0.0,0,0.0,104,8.0
"38000","1","102","52","0","2020","1","","North Dakota -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",696,9295,9272,9375,149404441,0,0,1234,"",3.69,1.19,1.19,1.19,1.12,0.00,0.00,0.94,"",-2,-0.3,215,2.4,-1,0.0,183,2.0,3126988,2.1,0,0.0,0,0.0,9,0.7
"38000","1","102","52","0","2020","2","","North Dakota -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",691,9306,9365,9426,171594304,0,0,1409,"",3.66,1.15,1.14,1.15,1.04,0.00,0.00,0.91,"",-10,-1.4,53,0.6,46,0.5,36,0.4,13484530,8.5,0,0.0,0,0.0,104,8.0
"38000","1","1021","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",286,2050,2023,2031,25177344,0,0,952,"",3.06,1.09,1.09,1.09,1.06,0.00,0.00,0.97,"",2,0.7,-34,-1.6,-62,-3.0,-71,-3.4,-296402,-1.2,0,0.0,0,0.0,15,1.6
"38000","1","1021","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",283,2017,2049,2070,28291422,0,0,1064,"",3.01,1.05,1.04,1.07,0.96,0.00,0.00,0.91,"",-5,-1.7,-59,-2.8,-40,-1.9,-28,-1.3,279083,1.0,0,0.0,0,0.0,32,3.1
"38000","1","1022","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,12,12,12,77417,0,0,496,"",5.13,0.64,0.64,0.64,0.25,0.00,0.00,0.39,"",0,0.0,1,9.1,1,9.1,0,0.0,1791,2.4,0,0.0,0,0.0,-17,-3.3
"38000","1","1022","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,12,12,12,73946,0,0,474,"",5.08,0.63,0.62,0.62,0.19,0.00,0.00,0.31,"",0,0.0,-1,-7.7,1,9.1,0,0.0,7383,11.1,0,0.0,0,0.0,47,11.0
"38000","1","1023","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",11,79,79,79,1756804,0,0,1711,"",4.59,2.35,2.37,2.37,2.04,0.00,0.00,0.86,"",1,10.0,-6,-7.1,-5,-6.0,-4,-4.8,37260,2.2,0,0.0,0,0.0,136,8.6
"38000","1","1023","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",11,79,81,83,2015819,0,0,1914,"",4.59,2.32,2.32,2.39,1.99,0.00,0.00,0.85,"",1,10.0,-4,-4.8,-4,-4.7,-1,-1.2,251523,14.3,0,0.0,0,0.0,298,18.4
"38000","1","1024","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",11,144,143,143,3038411,0,0,1631,"",2.42,0.75,0.75,0.75,0.89,0.00,0.00,1.18,"",-1,-8.3,8,5.9,8,5.9,8,5.9,-48547,-1.6,0,0.0,0,0.0,-124,-7.1
"38000","1","1024","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",11,145,164,172,3123262,0,0,1498,"",2.42,0.74,0.81,0.86,0.78,0.00,0.00,0.97,"",-1,-8.3,14,10.7,7,4.5,-2,-1.1,93269,3.1,0,0.0,0,0.0,-15,-1.0
"38000","1","1025","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",18,1792,1803,1797,31920912,0,0,1366,"",4.24,1.51,1.52,1.51,1.57,0.00,0.00,1.04,"",0,0.0,36,2.1,33,1.9,38,2.2,1792822,6.0,0,0.0,0,0.0,50,3.8
"38000","1","1025","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",18,1799,1824,1831,38850869,0,0,1644,"",4.21,1.48,1.48,1.50,1.56,0.00,0.00,1.05,"",1,5.9,42,2.4,72,4.1,75,4.3,3258255,9.2,0,0.0,0,0.0,84,5.4
"38000","1","1026","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",20,137,140,136,1068375,0,0,597,"",4.24,1.11,1.12,1.09,0.82,0.00,0.00,0.74,"",0,0.0,4,3.0,2,1.4,-1,-0.7,-174610,-14.0,0,0.0,0,0.0,-106,-15.1
"38000","1","1026","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",20,134,152,175,1221520,0,0,611,"",4.24,1.06,1.17,1.26,0.78,0.00,0.00,0.67,"",0,0.0,-6,-4.3,-41,-21.2,-19,-9.8,-97595,-7.4,0,0.0,0,0.0,33,5.7
"38000","1","1027","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",6,323,323,324,2707121,0,0,644,"",11.68,25.02,24.91,25.04,17.62,0.00,0.00,0.70,"",0,0.0,0,0.0,0,0.0,1,0.3,56508,2.1,0,0.0,0,0.0,13,2.1
"38000","1","1027","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",6,324,324,324,2689940,0,0,639,"",11.65,24.76,24.58,25.36,15.83,0.00,0.00,0.64,"",0,0.0,0,0.0,-1,-0.3,-1,-0.3,6883,0.3,0,0.0,0,0.0,3,0.5
"38000","1","1028","53","0","2020","1","","North Dakota -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",342,4758,4749,4853,83658057,0,0,1344,"",4.39,1.09,1.08,1.09,1.00,0.00,0.00,0.92,"",-4,-1.2,206,4.5,22,0.5,212,4.6,1758166,2.1,0,0.0,0,0.0,-14,-1.0
"38000","1","1028","53","0","2020","2","","North Dakota -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",340,4796,4759,4759,95327526,0,0,1537,"",4.35,1.04,1.02,1.04,0.92,0.00,0.00,0.90,"",-6,-1.7,67,1.4,52,1.1,12,0.3,9685729,11.3,0,0.0,0,0.0,144,10.3
"38000","1","22","54","0","2020","1","","North Dakota -- Statewide","Federal Government","NAICS 22 Utilities","State, NAICS Sector -- by ownership sector","All establishment sizes",6,72,72,72,2214090,0,0,2365,"",12.43,2.25,2.26,2.26,2.49,0.00,0.00,1.10,"",0,0.0,-2,-2.7,0,0.0,0,0.0,58535,2.7,0,0.0,0,0.0,83,3.6
"38000","1","22","54","0","2020","2","","North Dakota -- Statewide","Federal Government","NAICS 22 Utilities","State, NAICS Sector -- by ownership sector","All establishment sizes",6,71,72,72,1773566,0,0,1904,"",12.40,2.17,2.17,2.18,2.08,0.00,0.00,0.96,"",0,0.0,2,2.9,4,5.9,3,4.3,-38728,-2.1,0,0.0,0,0.0,-126,-6.2
"38000","1","221","55","0","2020","1","","North Dakota -- Statewide","Federal Government","NAICS 221 Utilities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,72,72,72,2214090,0,0,2365,"",12.43,2.25,2.26,2.26,2.49,0.00,0.00,1.10,"",0,0.0,-2,-2.7,0,0.0,0,0.0,58535,2.7,0,0.0,0,0.0,83,3.6
"38000","1","221","55","0","2020","2","","North Dakota -- Statewide","Federal Government","NAICS 221 Utilities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,71,72,72,1773566,0,0,1904,"",12.40,2.17,2.17,2.18,2.08,0.00,0.00,0.96,"",0,0.0,2,2.9,4,5.9,3,4.3,-38728,-2.1,0,0.0,0,0.0,-126,-6.2
"38000","1","2211","56","0","2020","1","","North Dakota -- Statewide","Federal Government","NAICS 2211 Power generation and supply","State, NAICS 4-digit -- by ownership sector","All establishment sizes",6,72,72,72,2214090,0,0,2365,"",12.93,2.41,2.42,2.42,2.61,0.00,0.00,1.08,"",0,0.0,-2,-2.7,0,0.0,0,0.0,58535,2.7,0,0.0,0,0.0,83,3.6
"38000","1","2211","56","0","2020","2","","North Dakota -- Statewide","Federal Government","NAICS 2211 Power generation and supply","State, NAICS 4-digit -- by ownership sector","All establishment sizes",6,71,72,72,1773566,0,0,1904,"",12.90,2.32,2.32,2.34,2.21,0.00,0.00,0.95,"",0,0.0,2,2.9,4,5.9,3,4.3,-38728,-2.1,0,0.0,0,0.0,-126,-6.2
"38000","1","22112","57","0","2020","1","","North Dakota -- Statewide","Federal Government","NAICS 22112 Electric power transmission and distribution","State, NAICS 5-digit -- by ownership sector","All establishment sizes",6,72,72,72,2214090,0,0,2365,"",24.55,9.25,9.30,9.28,9.03,0.00,0.00,0.97,"",0,0.0,-2,-2.7,0,0.0,0,0.0,58535,2.7,0,0.0,0,0.0,83,3.6
