"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"40000","0","10","50","0","2020","1","","Oklahoma -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",112024,1609173,1613127,1600702,19822851514,12846978798,93752809,948,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1427,1.3,7489,0.5,1489,0.1,-18368,-1.1,-153864207,-0.8,133475503,1.0,-29437818,-23.9,-6,-0.6
"40000","0","10","50","0","2020","2","","Oklahoma -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",112126,1467087,1504197,1521349,18305827519,6165040669,43345333,940,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1023,0.9,-160047,-9.8,-126679,-7.8,-101563,-6.3,-721848421,-3.8,-371466076,-5.7,-13275416,-23.4,40,4.4
"40000","1","10","51","0","2020","1","","Oklahoma -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1225,49983,50107,50738,856242689,0,0,1310,"",1.87,1.61,1.62,1.63,1.78,0.00,0.00,1.10,"",-11,-0.9,634,1.3,562,1.1,1243,2.5,18072172,2.2,0,0.0,0,0.0,7,0.5
"40000","1","10","51","0","2020","2","","Oklahoma -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1224,50673,50711,50428,980242649,0,0,1490,"",1.87,1.54,1.54,1.55,1.68,0.00,0.00,1.09,"",-9,-0.7,1231,2.5,1242,2.5,741,1.5,48861704,5.2,0,0.0,0,0.0,44,3.0
"40000","1","101","52","0","2020","1","","Oklahoma -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,1765,1754,1757,27313023,0,0,1195,"",0.75,3.03,3.01,3.01,3.05,0.00,0.00,1.01,"",0,0.0,-77,-4.2,-77,-4.2,-66,-3.6,-3594112,-11.6,0,0.0,0,0.0,-103,-7.9
"40000","1","101","52","0","2020","2","","Oklahoma -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,1754,1756,1747,25696741,0,0,1128,"",0.77,2.81,2.79,2.80,2.35,0.00,0.00,0.84,"",0,0.0,-55,-3.0,-61,-3.4,-62,-3.4,-2697391,-9.5,0,0.0,0,0.0,-78,-6.5
"40000","1","1013","53","0","2020","1","","Oklahoma -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,1765,1754,1757,27313023,0,0,1195,"",2.02,3.20,3.17,3.18,3.20,0.00,0.00,1.01,"",0,0.0,-77,-4.2,-77,-4.2,-66,-3.6,-3594112,-11.6,0,0.0,0,0.0,-103,-7.9
"40000","1","1013","53","0","2020","2","","Oklahoma -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,1754,1756,1747,25696741,0,0,1128,"",2.03,3.00,3.00,3.04,2.48,0.00,0.00,0.82,"",0,0.0,-55,-3.0,-61,-3.4,-62,-3.4,-2697391,-9.5,0,0.0,0,0.0,-78,-6.5
"40000","1","102","52","0","2020","1","","Oklahoma -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1224,48218,48353,48981,828929666,0,0,1314,"",1.87,1.59,1.59,1.61,1.76,0.00,0.00,1.10,"",-11,-0.9,711,1.5,639,1.3,1309,2.7,21666284,2.7,0,0.0,0,0.0,10,0.8
"40000","1","102","52","0","2020","2","","Oklahoma -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1223,48919,48955,48681,954545908,0,0,1503,"",1.87,1.51,1.51,1.53,1.66,0.00,0.00,1.10,"",-9,-0.7,1286,2.7,1303,2.7,803,1.7,51559095,5.7,0,0.0,0,0.0,47,3.2
"40000","1","1021","53","0","2020","1","","Oklahoma -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",588,7671,7669,7685,93298263,0,0,935,"",1.81,1.05,1.06,1.06,1.12,0.00,0.00,1.06,"",0,0.0,-57,-0.7,-148,-1.9,-140,-1.8,-813835,-0.9,0,0.0,0,0.0,6,0.6
