"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"41000","0","10","50","0","2020","1","","Oregon -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",161174,1935913,1947585,1939501,27823322760,18474009634,311936564,1103,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5030,3.2,22957,1.2,33206,1.7,13602,0.7,1412365436,5.3,1052816667,6.0,-26752099,-7.9,44,4.2
"41000","0","10","50","0","2020","2","","Oregon -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",160940,1684908,1720252,1789274,25720415480,12693268493,214791402,1143,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3418,2.2,-257135,-13.2,-241472,-12.3,-191084,-9.6,-699463944,-2.6,-832373709,-6.2,-48750218,-18.5,107,10.3
"41000","1","10","51","0","2020","1","","Oregon -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",870,27542,27582,27647,512018998,0,0,1428,"",0.92,0.74,0.74,0.73,0.76,0.00,0.00,1.03,"",21,2.5,437,1.6,159,0.6,190,0.7,4505009,0.9,0,0.0,0,0.0,-1,-0.1
"41000","1","10","51","0","2020","2","","Oregon -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",866,27929,28360,29336,583490186,0,0,1573,"",0.92,0.74,0.75,0.77,0.71,0.00,0.00,0.94,"",14,1.6,202,0.7,-367,-1.3,3,0.0,47462404,8.9,0,0.0,0,0.0,131,9.1
"41000","1","101","52","0","2020","1","","Oregon -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",74,2821,2807,2888,48130052,0,0,1304,"",38.55,4.03,3.98,4.08,3.83,0.00,0.00,0.95,"",-2,-2.6,26,0.9,-101,-3.5,-50,-1.7,1825242,3.9,0,0.0,0,0.0,67,5.4
"41000","1","101","52","0","2020","2","","Oregon -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",72,3267,3696,4316,63869917,0,0,1307,"",38.64,4.56,5.14,5.88,4.16,0.00,0.00,0.80,"",-4,-5.3,73,2.3,-179,-4.6,-152,-3.4,9059729,16.5,0,0.0,0,0.0,211,19.3
"41000","1","1011","53","0","2020","1","","Oregon -- Statewide","Federal Government","1011 Natural resources and mining","State, by Supersector -- by ownership sector","All establishment sizes",73,2821,2807,2888,48130052,0,0,1304,"",62.05,75.32,75.19,75.13,83.50,0.00,0.00,1.11,"",-2,-2.7,26,0.9,-101,-3.5,-50,-1.7,1825242,3.9,0,0.0,0,0.0,67,5.4
"41000","1","1011","53","0","2020","2","","Oregon -- Statewide","Federal Government","1011 Natural resources and mining","State, by Supersector -- by ownership sector","All establishment sizes",71,3267,3696,4316,63869917,0,0,1307,"",62.30,74.85,75.44,75.04,78.20,0.00,0.00,1.04,"",-4,-5.3,73,2.3,-179,-4.6,-152,-3.4,9059729,16.5,0,0.0,0,0.0,211,19.3
"41000","1","1013","53","0","2020","1","","Oregon -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"41000","1","1013","53","0","2020","2","","Oregon -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"41000","1","102","52","0","2020","1","","Oregon -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",796,24721,24775,24759,463888946,0,0,1442,"",0.84,0.68,0.68,0.67,0.70,0.00,0.00,1.04,"",23,3.0,411,1.7,260,1.1,240,1.0,2679767,0.6,0,0.0,0,0.0,-9,-0.6
"41000","1","102","52","0","2020","2","","Oregon -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",794,24662,24664,25020,519620269,0,0,1613,"",0.85,0.66,0.67,0.67,0.64,0.00,0.00,0.97,"",18,2.3,129,0.5,-188,-0.8,155,0.6,38402675,8.0,0,0.0,0,0.0,117,7.8
"41000","1","1021","53","0","2020","1","","Oregon -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",393,8074,7942,7992,131121372,0,0,1260,"",0.84,0.92,0.91,0.91,1.12,0.00,0.00,1.22,"",-1,-0.3,103,1.3,-209,-2.6,-186,-2.3,632925,0.5,0,0.0,0,0.0,21,1.7
"41000","1","1021","53","0","2020","2","","Oregon -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",392,7933,8005,8033,142684048,0,0,1374,"",0.84,0.90,0.91,0.90,0.99,0.00,0.00,1.09,"",-1,-0.3,-200,-2.5,-225,-2.7,-151,-1.8,5377993,3.9,0,0.0,0,0.0,83,6.4
