"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"44000","0","10","50","0","2020","1","","Rhode Island -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",39584,476141,478493,474248,7007998825,3874998628,78756043,1132,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",911,2.4,2860,0.6,3309,0.7,-635,-0.1,208714323,3.1,95487926,2.5,-8024685,-9.2,30,2.7
"44000","0","10","50","0","2020","2","","Rhode Island -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",39528,380151,400368,429267,6142962367,1897732255,41998543,1172,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",698,1.8,-101978,-21.2,-88568,-18.1,-65495,-13.2,-434896421,-6.6,-362614828,-16.0,-16263366,-27.9,136,13.1
"44000","1","10","51","0","2020","1","","Rhode Island -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",186,11257,11278,11264,225937716,0,0,1543,"",0.80,1.23,1.23,1.22,1.33,0.00,0.00,1.09,"",-1,-0.5,309,2.8,277,2.5,232,2.1,7744010,3.5,0,0.0,0,0.0,16,1.0
"44000","1","10","51","0","2020","2","","Rhode Island -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",186,11207,11091,11156,257363516,0,0,1775,"",0.81,1.31,1.26,1.22,1.31,0.00,0.00,1.04,"",-2,-1.1,225,2.0,81,0.7,63,0.6,9642678,3.9,0,0.0,0,0.0,47,2.7
"44000","1","101","52","0","2020","1","","Rhode Island -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,3,3,3,114722,0,0,2942,"",2.12,0.02,0.02,0.02,0.04,0.00,0.00,2.09,"",0,0.0,-30,-90.9,-29,-90.6,-29,-90.6,-845277,-88.0,0,0.0,0,0.0,658,28.8
"44000","1","101","52","0","2020","2","","Rhode Island -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,4,5,5,127893,0,0,2108,"",2.19,0.02,0.03,0.03,0.03,0.00,0.00,1.26,"",0,0.0,-28,-87.5,-27,-84.4,-27,-84.4,-945408,-88.1,0,0.0,0,0.0,-472,-18.3
"44000","1","1013","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,114722,0,0,2942,"",5.72,0.02,0.02,0.02,0.04,0.00,0.00,2.07,"",0,0.0,-30,-90.9,-29,-90.6,-29,-90.6,-845277,-88.0,0,0.0,0,0.0,658,28.8
"44000","1","1013","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,4,5,5,127893,0,0,2108,"",5.75,0.03,0.03,0.03,0.04,0.00,0.00,1.24,"",0,0.0,-28,-87.5,-27,-84.4,-27,-84.4,-945408,-88.1,0,0.0,0,0.0,-472,-18.3
"44000","1","102","52","0","2020","1","","Rhode Island -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",185,11254,11275,11261,225822994,0,0,1542,"",0.80,1.25,1.25,1.25,1.36,0.00,0.00,1.09,"",-1,-0.5,339,3.1,306,2.8,261,2.4,8589287,4.0,0,0.0,0,0.0,18,1.2
"44000","1","102","52","0","2020","2","","Rhode Island -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",185,11203,11086,11151,257235623,0,0,1775,"",0.80,1.34,1.29,1.24,1.34,0.00,0.00,1.04,"",-2,-1.1,253,2.3,108,1.0,90,0.8,10588086,4.3,0,0.0,0,0.0,50,2.9
"44000","1","1021","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",86,2805,2806,2787,39608451,0,0,1088,"",0.75,1.30,1.31,1.30,1.34,0.00,0.00,1.03,"",0,0.0,41,1.5,-2,-0.1,-58,-2.0,-1076012,-2.6,0,0.0,0,0.0,-27,-2.4
"44000","1","1021","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",86,2815,2762,2765,45986552,0,0,1272,"",0.75,1.42,1.35,1.30,1.33,0.00,0.00,0.99,"",0,0.0,-3,-0.1,-72,-2.5,-49,-1.7,1331533,3.0,0,0.0,0,0.0,55,4.5
"44000","1","1023","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,112345,0,0,2160,"",0.68,0.10,0.10,0.10,0.10,0.00,0.00,1.01,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-14840,-11.7,0,0.0,0,0.0,203,10.4
"44000","1","1023","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",2,4,3,3,113638,0,0,2622,"",0.68,0.11,0.08,0.08,0.10,0.00,0.00,1.06,"",0,0.0,-1,-20.0,-2,-40.0,-2,-40.0,-20402,-15.2,0,0.0,0,0.0,560,27.2
"44000","1","1024","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,27888,0,0,2145,"",0.36,0.00,0.00,0.00,0.01,0.00,0.00,1.44,"",0,0.0,0,0.0,-1,-50.0,-1,-50.0,-37528,-57.4,0,0.0,0,0.0,-874,-28.9
"44000","1","1024","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,32709,0,0,2516,"",0.36,0.00,0.00,0.00,0.01,0.00,0.00,1.47,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-29004,-47.0,0,0.0,0,0.0,142,6.0
"44000","1","1025","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",4,1755,1745,1743,34007696,0,0,1497,"",0.77,1.28,1.27,1.28,1.34,0.00,0.00,1.05,"",0,0.0,50,2.9,56,3.3,39,2.3,2484779,7.9,0,0.0,0,0.0,70,4.9
"44000","1","1025","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",4,1709,1748,1753,40501551,0,0,1794,"",0.77,1.36,1.35,1.30,1.39,0.00,0.00,1.04,"",0,0.0,4,0.2,48,2.8,36,2.1,1987102,5.2,0,0.0,0,0.0,59,3.4
"44000","1","1026","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",2,16,16,16,317045,0,0,1524,"",0.34,0.11,0.11,0.11,0.20,0.00,0.00,1.75,"",0,0.0,3,23.1,3,23.1,3,23.1,29152,10.1,0,0.0,0,0.0,-180,-10.6
"44000","1","1026","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",2,16,14,19,404260,0,0,1904,"",0.35,0.12,0.10,0.12,0.22,0.00,0.00,1.88,"",0,0.0,4,33.3,1,7.7,6,46.2,155633,62.6,0,0.0,0,0.0,394,26.1
"44000","1","1027","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"44000","1","1027","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"44000","1","1028","53","0","2020","1","","Rhode Island -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",88,6673,6703,6710,151749569,0,0,1743,"",0.92,1.33,1.33,1.32,1.46,0.00,0.00,1.10,"",-2,-2.2,246,3.8,251,3.9,279,4.3,7203736,5.0,0,0.0,0,0.0,16,0.9
"44000","1","1028","53","0","2020","2","","Rhode Island -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",88,6658,6558,6610,170196913,0,0,1981,"",0.92,1.40,1.35,1.31,1.41,0.00,0.00,1.04,"",-3,-3.3,250,3.9,134,2.1,100,1.5,7163224,4.4,0,0.0,0,0.0,36,1.9
"44000","1","31-33","54","0","2020","1","","Rhode Island -- Statewide","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,114722,0,0,2942,"",5.72,0.02,0.02,0.02,0.04,0.00,0.00,2.07,"",0,0.0,-30,-90.9,-29,-90.6,-29,-90.6,-845277,-88.0,0,0.0,0,0.0,658,28.8
"44000","1","31-33","54","0","2020","2","","Rhode Island -- Statewide","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",1,4,5,5,127893,0,0,2108,"",5.75,0.03,0.03,0.03,0.04,0.00,0.00,1.24,"",0,0.0,-28,-87.5,-27,-84.4,-27,-84.4,-945408,-88.1,0,0.0,0,0.0,-472,-18.3
