"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46000","0","10","50","0","2020","1","","South Dakota -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",34642,420686,421266,420874,4930990775,2697104818,11947221,901,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",661,1.9,3178,0.8,3512,0.8,1815,0.4,231493591,4.9,85675891,3.3,-727568,-5.7,36,4.2
"46000","0","10","50","0","2020","2","","South Dakota -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",34686,386864,402246,415893,4763812871,1085956109,7564326,912,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",574,1.7,-36684,-8.7,-32820,-7.5,-26243,-5.9,44634974,0.9,-113986164,-9.5,-755525,-9.1,75,9.0
"46000","1","10","51","0","2020","1","","South Dakota -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",750,11229,11183,11377,180994657,0,0,1236,"",3.70,1.39,1.38,1.39,1.52,0.00,0.00,1.09,"",50,7.1,164,1.5,-88,-0.8,201,1.8,3102302,1.7,0,0.0,0,0.0,11,0.9
"46000","1","10","51","0","2020","2","","South Dakota -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",746,11389,11488,11665,210169425,0,0,1404,"",3.68,1.31,1.30,1.31,1.38,0.00,0.00,1.06,"",46,6.6,175,1.6,100,0.9,143,1.2,15641998,8.0,0,0.0,0,0.0,88,6.7
"46000","1","102","52","0","2020","1","","South Dakota -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",750,11229,11183,11377,180994657,0,0,1236,"",3.70,1.41,1.41,1.42,1.55,0.00,0.00,1.09,"",50,7.1,164,1.5,-88,-0.8,201,1.8,3102302,1.7,0,0.0,0,0.0,11,0.9
"46000","1","102","52","0","2020","2","","South Dakota -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",746,11389,11488,11665,210169425,0,0,1404,"",3.69,1.33,1.33,1.34,1.41,0.00,0.00,1.06,"",46,6.6,175,1.6,100,0.9,143,1.2,15641998,8.0,0,0.0,0,0.0,88,6.7
"46000","1","1021","53","0","2020","1","","South Dakota -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",306,2018,2006,2028,25049131,0,0,955,"",3.04,1.05,1.06,1.07,1.21,0.00,0.00,1.14,"",-4,-1.3,-8,-0.4,-32,-1.6,0,0.0,236532,1.0,0,0.0,0,0.0,15,1.6
"46000","1","1021","53","0","2020","2","","South Dakota -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",303,2005,2031,2034,29032295,0,0,1104,"",3.02,0.99,0.99,0.98,1.09,0.00,0.00,1.10,"",-7,-2.3,-37,-1.8,0,0.0,0,0.0,600761,2.1,0,0.0,0,0.0,30,2.8
"46000","1","1022","53","0","2020","1","","South Dakota -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,43251,0,0,665,"",2.39,0.26,0.26,0.26,0.16,0.00,0.00,0.61,"",0,0.0,0,0.0,0,0.0,0,0.0,4214,10.8,0,0.0,0,0.0,64,10.6
"46000","1","1022","53","0","2020","2","","South Dakota -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,37594,0,0,578,"",2.37,0.25,0.24,0.24,0.11,0.00,0.00,0.44,"",0,0.0,0,0.0,0,0.0,0,0.0,3188,9.3,0,0.0,0,0.0,49,9.3
"46000","1","1023","53","0","2020","1","","South Dakota -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",12,199,195,198,3273938,0,0,1276,"",4.65,5.83,5.77,5.84,4.34,0.00,0.00,0.75,"",0,0.0,0,0.0,-2,-1.0,5,2.6,136838,4.4,0,0.0,0,0.0,47,3.8
"46000","1","1023","53","0","2020","2","","South Dakota -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",13,198,201,199,3817455,0,0,1473,"",5.07,5.53,5.47,5.37,4.16,0.00,0.00,0.76,"",1,8.3,2,1.0,5,2.6,0,0.0,342761,9.9,0,0.0,0,0.0,116,8.5
"46000","1","1024","53","0","2020","1","","South Dakota -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",12,219,221,221,4659678,0,0,1627,"",2.46,1.13,1.14,1.13,1.55,0.00,0.00,1.37,"",1,9.1,7,3.3,9,4.2,12,5.7,-377525,-7.5,0,0.0,0,0.0,-209,-11.4
"46000","1","1024","53","0","2020","2","","South Dakota -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",12,224,248,248,5174324,0,0,1658,"",2.47,1.08,1.17,1.16,1.42,0.00,0.00,1.25,"",1,9.1,15,7.2,7,2.9,2,0.8,397684,8.3,0,0.0,0,0.0,74,4.7
"46000","1","1025","53","0","2020","1","","South Dakota -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",21,4167,4154,4154,70225215,0,0,1299,"",4.60,3.45,3.44,3.43,3.94,0.00,0.00,1.14,"",0,0.0,-96,-2.3,-122,-2.9,-149,-3.5,1144649,1.7,0,0.0,0,0.0,58,4.7
