"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47000","0","10","50","0","2020","1","","Tennessee -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",170229,3027016,3037833,3032239,40441633446,14677850744,141290016,1026,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5442,3.3,52152,1.8,47063,1.6,27806,0.9,1708825837,4.4,328515408,2.3,-6113590,-4.1,30,3.0
"47000","0","10","50","0","2020","2","","Tennessee -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",171079,2691734,2758599,2847231,36536745394,2700767282,29577231,1016,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5371,3.2,-333800,-11.0,-280462,-9.2,-201381,-6.6,-1561993152,-4.1,-684383298,-20.2,-10990371,-27.1,51,5.3
"47000","1","10","51","0","2020","1","","Tennessee -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1349,50418,50238,50349,966981891,0,0,1478,"",1.35,0.86,0.86,0.85,0.99,0.00,0.00,1.15,"",59,4.6,1184,2.4,524,1.1,697,1.4,52632047,5.8,0,0.0,0,0.0,58,4.1
"47000","1","10","51","0","2020","2","","Tennessee -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1346,50436,50692,50763,1049429685,0,0,1594,"",1.35,0.83,0.84,0.84,0.90,0.00,0.00,1.08,"",60,4.7,662,1.3,768,1.5,786,1.6,32143387,3.2,0,0.0,0,0.0,26,1.7
"47000","1","101","52","0","2020","1","","Tennessee -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,5,5,5,210373,0,0,3237,"",1.48,0.00,0.00,0.00,0.01,0.00,0.00,2.54,"",0,0.0,-4,-44.4,-4,-44.4,-4,-44.4,49171,30.5,0,0.0,0,0.0,1859,134.9
"47000","1","101","52","0","2020","2","","Tennessee -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,6,6,6,191946,0,0,2461,"",1.01,0.01,0.01,0.01,0.01,0.00,0.00,1.69,"",-1,-33.3,-3,-33.3,-3,-33.3,-3,-33.3,-9884,-4.9,0,0.0,0,0.0,736,42.7
"47000","1","1012","53","0","2020","1","","Tennessee -- Statewide","Federal Government","1012 Construction","State, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,178933,0,0,3441,"",61.17,48.65,48.67,48.51,57.87,0.00,0.00,1.19,"",0,0.0,-4,-50.0,-4,-50.0,-4,-50.0,46977,35.6,0,0.0,0,0.0,2172,171.2
"47000","1","1012","53","0","2020","2","","Tennessee -- Statewide","Federal Government","1012 Construction","State, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,155768,0,0,2396,"",61.09,47.28,47.40,47.45,55.39,0.00,0.00,1.17,"",-1,-50.0,-3,-37.5,-3,-37.5,-3,-37.5,-15918,-9.3,0,0.0,0,0.0,745,45.1
"47000","1","1013","53","0","2020","1","","Tennessee -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,31440,0,0,2418,"",1.33,0.00,0.00,0.00,0.00,0.00,0.00,1.88,"",0,0.0,0,0.0,0,0.0,0,0.0,2194,7.5,0,0.0,0,0.0,168,7.5
"47000","1","1013","53","0","2020","2","","Tennessee -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,36178,0,0,2783,"",1.33,0.00,0.00,0.00,0.00,0.00,0.00,1.88,"",0,0.0,0,0.0,0,0.0,0,0.0,6034,20.0,0,0.0,0,0.0,464,20.0
