"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48000","0","10","50","0","2020","1","","Texas -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",730532,12611711,12694873,12641209,202474405659,74496974553,1390240625,1231,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21736,3.1,267708,2.2,245606,2.0,167634,1.3,8136643332,4.2,2124510685,2.9,-139739361,-9.1,28,2.3
"48000","0","10","50","0","2020","2","","Texas -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",727417,11312018,11583735,11807111,173901151519,15667866974,224277643,1156,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15696,2.2,-1209638,-9.7,-996621,-7.9,-796513,-6.3,-6031716673,-3.4,-3612084313,-18.7,-101174419,-31.1,55,5.0
"48000","1","10","51","0","2020","1","","Texas -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",3702,206264,206747,208135,3910615768,0,0,1453,"",0.86,0.85,0.85,0.85,0.80,0.00,0.00,0.94,"",128,3.6,5577,2.8,4000,2.0,5588,2.8,84169692,2.2,0,0.0,0,0.0,-4,-0.3
"48000","1","10","51","0","2020","2","","Texas -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",3704,209516,210141,210645,4474436705,0,0,1638,"",0.87,0.82,0.83,0.84,0.81,0.00,0.00,0.97,"",143,4.0,6620,3.3,6721,3.3,6650,3.3,414226681,10.2,0,0.0,0,0.0,103,6.7
"48000","1","101","52","0","2020","1","","Texas -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2898,2908,2936,49192357,0,0,1299,"",0.34,0.64,0.63,0.64,0.54,0.00,0.00,0.85,"",0,0.0,91,3.2,64,2.3,99,3.5,-4302405,-8.0,0,0.0,0,0.0,-155,-10.7
"48000","1","101","52","0","2020","2","","Texas -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2938,2948,2958,50101325,0,0,1307,"",0.36,0.61,0.61,0.61,0.48,0.00,0.00,0.79,"",0,0.0,125,4.4,114,4.0,122,4.3,2655301,5.6,0,0.0,0,0.0,16,1.2
"48000","1","1013","53","0","2020","1","","Texas -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2898,2908,2936,49192357,0,0,1299,"",0.93,0.67,0.67,0.67,0.56,0.00,0.00,0.84,"",0,0.0,91,3.2,64,2.3,99,3.5,-4302405,-8.0,0,0.0,0,0.0,-155,-10.7
"48000","1","1013","53","0","2020","2","","Texas -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2938,2948,2958,50101325,0,0,1307,"",0.94,0.65,0.65,0.66,0.51,0.00,0.00,0.78,"",0,0.0,125,4.4,114,4.0,122,4.3,2655301,5.6,0,0.0,0,0.0,16,1.2
"48000","1","102","52","0","2020","1","","Texas -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",3699,203366,203839,205199,3861423411,0,0,1455,"",0.87,0.85,0.85,0.85,0.80,0.00,0.00,0.94,"",128,3.6,5486,2.8,3936,2.0,5489,2.7,88472097,2.3,0,0.0,0,0.0,-2,-0.1
"48000","1","102","52","0","2020","2","","Texas -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",3701,206578,207193,207687,4424335380,0,0,1643,"",0.87,0.83,0.83,0.84,0.81,0.00,0.00,0.97,"",143,4.0,6495,3.2,6607,3.3,6528,3.2,411571380,10.3,0,0.0,0,0.0,104,6.8
"48000","1","1021","53","0","2020","1","","Texas -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",1655,49463,49089,48989,734651879,0,0,1149,"",0.78,0.86,0.86,0.86,0.86,0.00,0.00,1.00,"",-8,-0.5,506,1.0,-357,-0.7,-694,-1.4,-8071556,-1.1,0,0.0,0,0.0,-8,-0.7
"48000","1","1021","53","0","2020","2","","Texas -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",1651,48944,49396,49526,818657059,0,0,1278,"",0.78,0.83,0.83,0.84,0.84,0.00,0.00,1.00,"",-9,-0.5,-314,-0.6,-546,-1.1,-391,-0.8,5851765,0.7,0,0.0,0,0.0,20,1.6
"48000","1","1022","53","0","2020","1","","Texas -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",15,170,171,173,2648643,0,0,1189,"",1.70,0.30,0.30,0.30,0.24,0.00,0.00,0.80,"",1,7.1,-24,-12.4,-21,-10.9,-18,-9.4,-457847,-14.7,0,0.0,0,0.0,-53,-4.3
