"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"49000","0","10","50","0","2020","1","","Utah -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",109049,1517752,1527977,1525259,20340198055,14042630383,55795118,1027,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3621,3.4,34288,2.3,35228,2.4,25102,1.7,1065010867,5.5,1017589540,7.8,2513825,4.7,33,3.3
"49000","0","10","50","0","2020","2","","Utah -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",111567,1401487,1449628,1474847,19066321778,9874860832,41399860,1017,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4659,4.4,-110471,-7.3,-72344,-4.8,-46144,-3.0,665692130,3.6,175102454,1.8,-1327652,-3.1,85,9.1
"49000","1","10","51","0","2020","1","","Utah -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",538,37376,37524,37934,641306963,0,0,1312,"",0.84,1.28,1.28,1.28,1.30,0.00,0.00,1.02,"",-9,-1.6,1733,4.9,1266,3.5,1442,4.0,24572400,4.0,0,0.0,0,0.0,-1,-0.1
"49000","1","10","51","0","2020","2","","Utah -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",535,38230,38917,39465,746715357,0,0,1478,"",0.82,1.21,1.22,1.25,1.23,0.00,0.00,1.00,"",-10,-1.8,1326,3.6,1307,3.5,1582,4.2,60536810,8.8,0,0.0,0,0.0,69,4.9
"49000","1","102","52","0","2020","1","","Utah -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",538,37376,37524,37934,641306963,0,0,1312,"",0.84,1.30,1.30,1.30,1.33,0.00,0.00,1.02,"",-9,-1.6,1733,4.9,1266,3.5,1442,4.0,24572400,4.0,0,0.0,0,0.0,-1,-0.1
"49000","1","102","52","0","2020","2","","Utah -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",535,38230,38917,39465,746715357,0,0,1478,"",0.82,1.24,1.25,1.28,1.25,0.00,0.00,1.00,"",-10,-1.8,1326,3.6,1307,3.5,1582,4.2,60536810,8.8,0,0.0,0,0.0,69,4.9
"49000","1","1021","53","0","2020","1","","Utah -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",207,6047,5981,6011,90318172,0,0,1155,"",0.65,0.88,0.87,0.87,1.05,0.00,0.00,1.20,"",0,0.0,60,1.0,-57,-0.9,-73,-1.2,335039,0.4,0,0.0,0,0.0,8,0.7
"49000","1","1021","53","0","2020","2","","Utah -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",207,6003,6057,6060,97873124,0,0,1246,"",0.64,0.82,0.82,0.83,0.91,0.00,0.00,1.11,"",0,0.0,-86,-1.4,-26,-0.4,-39,-0.6,2050133,2.1,0,0.0,0,0.0,36,3.0
"49000","1","1022","53","0","2020","1","","Utah -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,8,8,8,50918,0,0,490,"",1.52,0.12,0.12,0.12,0.05,0.00,0.00,0.39,"",0,0.0,1,14.3,1,14.3,1,14.3,6391,14.4,0,0.0,0,0.0,1,0.2
"49000","1","1022","53","0","2020","2","","Utah -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,8,8,8,42763,0,0,411,"",1.48,0.11,0.11,0.11,0.03,0.00,0.00,0.28,"",0,0.0,1,14.3,1,14.3,2,33.3,-2974,-6.5,0,0.0,0,0.0,-117,-22.2
