"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"50000","0","10","50","0","2020","1","","Vermont -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",26072,309339,309175,304937,3923015682,1963747232,53799005,980,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",312,1.2,456,0.1,-496,-0.2,-4472,-1.4,105218017,2.8,57701506,3.0,817169,1.5,31,3.3
"50000","0","10","50","0","2020","2","","Vermont -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",26105,243258,258525,271820,3535758300,666606535,18061634,1055,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",153,0.6,-62900,-20.5,-50143,-16.2,-42809,-13.6,-207288380,-5.5,-162356323,-19.6,-5453617,-23.2,126,13.6
"50000","1","10","51","0","2020","1","","Vermont -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",440,7137,7143,7351,129574592,0,0,1382,"",2.88,1.20,1.20,1.24,1.36,0.00,0.00,1.12,"",1,0.2,109,1.6,102,1.4,341,4.9,1241450,1.0,0,0.0,0,0.0,-23,-1.6
"50000","1","10","51","0","2020","2","","Vermont -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",439,7323,7354,7218,150636876,0,0,1588,"",2.88,1.34,1.30,1.24,1.33,0.00,0.00,1.03,"",3,0.7,218,3.1,262,3.7,56,0.8,13426747,9.8,0,0.0,0,0.0,106,7.2
"50000","1","102","52","0","2020","1","","Vermont -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",440,7137,7143,7351,129574592,0,0,1382,"",2.89,1.22,1.23,1.26,1.39,0.00,0.00,1.12,"",1,0.2,109,1.6,102,1.4,341,4.9,1241450,1.0,0,0.0,0,0.0,-23,-1.6
"50000","1","102","52","0","2020","2","","Vermont -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",439,7323,7354,7218,150636876,0,0,1588,"",2.89,1.36,1.32,1.27,1.36,0.00,0.00,1.03,"",3,0.7,218,3.1,262,3.7,56,0.8,13426747,9.8,0,0.0,0,0.0,106,7.2
"50000","1","1021","53","0","2020","1","","Vermont -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",266,1627,1605,1609,21359578,0,0,1018,"",3.51,1.16,1.16,1.17,1.29,0.00,0.00,1.11,"",2,0.8,4,0.2,2,0.1,-3,-0.2,-98285,-0.5,0,0.0,0,0.0,-6,-0.6
"50000","1","1021","53","0","2020","2","","Vermont -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",267,1610,1659,1654,24635613,0,0,1155,"",3.53,1.27,1.25,1.22,1.24,0.00,0.00,1.00,"",3,1.1,-1,-0.1,13,0.8,10,0.6,415104,1.7,0,0.0,0,0.0,15,1.3
"50000","1","1023","53","0","2020","1","","Vermont -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",4,29,28,27,511824,0,0,1406,"",2.06,1.16,1.13,1.10,0.85,0.00,0.00,0.76,"",0,0.0,1,3.6,-1,-3.4,-1,-3.6,34499,7.2,0,0.0,0,0.0,110,8.5
"50000","1","1023","53","0","2020","2","","Vermont -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",4,28,28,28,610156,0,0,1676,"",2.07,1.24,1.19,1.16,0.90,0.00,0.00,0.75,"",0,0.0,0,0.0,1,3.7,0,0.0,131350,27.4,0,0.0,0,0.0,345,25.9
