"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51000","0","10","50","0","2020","1","","Virginia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",280716,3923990,3932308,3921701,62907816886,20151892574,201082519,1233,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1447,0.5,61626,1.6,53700,1.4,22375,0.6,3108465842,5.2,598538505,3.1,-28360580,-12.4,47,4.0
"51000","0","10","50","0","2020","2","","Virginia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",283318,3499257,3537777,3635217,56322600750,3706763117,35282796,1218,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2285,0.8,-430879,-11.0,-415432,-10.5,-348868,-8.8,-893914985,-1.6,-1055993370,-22.2,-16811929,-32.3,105,9.4
"51000","1","10","51","0","2020","1","","Virginia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2023,183941,184205,184280,4171649286,0,0,1743,"",1.23,2.43,2.44,2.42,2.74,0.00,0.00,1.13,"",-38,-1.8,3939,2.2,3721,2.1,4371,2.4,81950218,2.0,0,0.0,0,0.0,-3,-0.2
"51000","1","10","51","0","2020","2","","Virginia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2019,184548,184441,184634,4760295746,0,0,1984,"",1.22,2.34,2.38,2.38,2.64,0.00,0.00,1.12,"",-30,-1.5,4336,2.4,3324,1.8,2700,1.5,295085400,6.6,0,0.0,0,0.0,87,4.6
"51000","1","101","52","0","2020","1","","Virginia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",6,11396,11487,11539,214079846,0,0,1435,"",1.79,8.03,8.07,8.06,7.54,0.00,0.00,0.94,"",0,0.0,-141,-1.2,23,0.2,0,0.0,7263228,3.5,0,0.0,0,0.0,53,3.8
"51000","1","101","52","0","2020","2","","Virginia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",6,11494,11508,11514,246662273,0,0,1649,"",1.83,7.73,7.79,7.72,7.33,0.00,0.00,0.95,"",0,0.0,9,0.1,59,0.5,59,0.5,-4290456,-1.7,0,0.0,0,0.0,-35,-2.1
"51000","1","1013","53","0","2020","1","","Virginia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",6,11396,11487,11539,214079846,0,0,1435,"",4.84,8.48,8.53,8.52,7.90,0.00,0.00,0.93,"",0,0.0,-141,-1.2,23,0.2,0,0.0,7263228,3.5,0,0.0,0,0.0,53,3.8
"51000","1","1013","53","0","2020","2","","Virginia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",6,11494,11508,11514,246662273,0,0,1649,"",4.81,8.23,8.36,8.37,7.75,0.00,0.00,0.93,"",0,0.0,9,0.1,59,0.5,59,0.5,-4290456,-1.7,0,0.0,0,0.0,-35,-2.1
"51000","1","102","52","0","2020","1","","Virginia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",2017,172545,172718,172741,3957569440,0,0,1763,"",1.23,2.33,2.33,2.31,2.65,0.00,0.00,1.14,"",-38,-1.8,4080,2.4,3698,2.2,4371,2.6,74686990,1.9,0,0.0,0,0.0,-8,-0.5
"51000","1","102","52","0","2020","2","","Virginia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",2013,173054,172933,173120,4513633473,0,0,2007,"",1.22,2.24,2.27,2.28,2.56,0.00,0.00,1.13,"",-30,-1.5,4327,2.6,3265,1.9,2641,1.5,299375856,7.1,0,0.0,0,0.0,96,5.0
"51000","1","1021","53","0","2020","1","","Virginia -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",927,24403,24332,24350,341403316,0,0,1078,"",1.14,1.37,1.38,1.38,1.29,0.00,0.00,0.94,"",4,0.4,-77,-0.3,-200,-0.8,-166,-0.7,-1672853,-0.5,0,0.0,0,0.0,1,0.1
"51000","1","1021","53","0","2020","2","","Virginia -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",926,24441,24282,24294,391415312,0,0,1237,"",1.13,1.34,1.34,1.34,1.24,0.00,0.00,0.92,"",2,0.2,-73,-0.3,-298,-1.2,-372,-1.5,18150021,4.9,0,0.0,0,0.0,69,5.9
"51000","1","1022","53","0","2020","1","","Virginia -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,136,137,137,2715534,0,0,1528,"",2.65,0.77,0.78,0.78,0.79,0.00,0.00,1.02,"",0,0.0,3,2.3,2,1.5,2,1.5,148143,5.8,0,0.0,0,0.0,58,3.9
"51000","1","1022","53","0","2020","2","","Virginia -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",9,137,134,136,3065146,0,0,1738,"",2.61,0.75,0.75,0.76,0.74,0.00,0.00,0.99,"",0,0.0,3,2.2,3,2.3,-1,-0.7,396347,14.9,0,0.0,0,0.0,206,13.4
"51000","1","1023","53","0","2020","1","","Virginia -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",26,435,440,441,16894325,0,0,2963,"",1.24,1.37,1.39,1.39,1.76,0.00,0.00,1.27,"",1,4.0,17,4.1,20,4.8,22,5.3,1742631,11.5,0,0.0,0,0.0,181,6.5
"51000","1","1023","53","0","2020","2","","Virginia -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",26,443,446,453,18333959,0,0,3153,"",1.24,1.37,1.38,1.40,1.69,0.00,0.00,1.22,"",0,0.0,17,4.0,16,3.7,11,2.5,1696143,10.2,0,0.0,0,0.0,195,6.6
"51000","1","1024","53","0","2020","1","","Virginia -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",74,5070,5053,5047,105213310,0,0,1601,"",1.87,2.80,2.80,2.78,2.75,0.00,0.00,0.98,"",1,1.4,209,4.3,188,3.9,143,2.9,147646,0.1,0,0.0,0,0.0,-56,-3.4
"51000","1","1024","53","0","2020","2","","Virginia -- Statewide","Federal Government","1024 Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",73,5053,5072,5094,116589443,0,0,1768,"",1.84,2.70,2.72,2.73,2.70,0.00,0.00,1.00,"",-1,-1.4,189,3.9,151,3.1,138,2.8,2185467,1.9,0,0.0,0,0.0,-23,-1.3
"51000","1","1025","53","0","2020","1","","Virginia -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",71,15180,15184,15169,314373334,0,0,1593,"",1.92,1.35,1.35,1.35,1.38,0.00,0.00,1.03,"",-1,-1.4,54,0.4,-30,-0.2,-90,-0.6,3624424,1.2,0,0.0,0,0.0,20,1.3
"51000","1","1025","53","0","2020","2","","Virginia -- Statewide","Federal Government","1025 Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",73,15033,15112,15151,350553528,0,0,1786,"",1.95,1.30,1.32,1.33,1.31,0.00,0.00,0.99,"",0,0.0,-99,-0.7,-55,-0.4,21,0.1,-5637677,-1.6,0,0.0,0,0.0,-23,-1.3
"51000","1","1026","53","0","2020","1","","Virginia -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",106,4588,4605,4624,49273897,0,0,823,"",2.58,3.91,3.89,3.90,3.38,0.00,0.00,0.87,"",1,1.0,-17,-0.4,-17,-0.4,-52,-1.1,-148520,-0.3,0,0.0,0,0.0,3,0.4
"51000","1","1026","53","0","2020","2","","Virginia -- Statewide","Federal Government","1026 Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",107,4618,4615,4774,57390664,0,0,946,"",2.59,3.85,3.86,3.70,3.42,0.00,0.00,0.90,"",2,1.9,-177,-3.7,-358,-7.2,-372,-7.2,3589936,6.7,0,0.0,0,0.0,114,13.7
"51000","1","1027","53","0","2020","1","","Virginia -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",11,84,85,83,1255701,0,0,1150,"",2.46,0.69,0.69,0.68,0.73,0.00,0.00,1.07,"",0,0.0,-4,-4.5,-3,-3.4,-6,-6.7,18305,1.5,0,0.0,0,0.0,72,6.7
"51000","1","1027","53","0","2020","2","","Virginia -- Statewide","Federal Government","1027 Other services","State, by Supersector -- by ownership sector","All establishment sizes",11,84,85,85,1374274,0,0,1249,"",2.44,0.68,0.70,0.71,0.75,0.00,0.00,1.08,"",1,10.0,-3,-3.4,-1,-1.2,0,0.0,23408,1.7,0,0.0,0,0.0,41,3.4
"51000","1","1028","53","0","2020","1","","Virginia -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",793,122649,122882,122890,3126440023,0,0,1958,"",1.17,2.96,2.96,2.91,3.35,0.00,0.00,1.14,"",-44,-5.3,3895,3.3,3738,3.1,4518,3.8,70827214,2.3,0,0.0,0,0.0,-21,-1.1
"51000","1","1028","53","0","2020","2","","Virginia -- Statewide","Federal Government","1028 Public administration","State, by Supersector -- by ownership sector","All establishment sizes",788,123245,123187,123133,3574911147,0,0,2232,"",1.15,2.82,2.87,2.88,3.23,0.00,0.00,1.13,"",-34,-4.1,4470,3.8,3807,3.2,3216,2.7,278972211,8.5,0,0.0,0,0.0,108,5.1
"51000","1","31-33","54","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",6,11396,11487,11539,214079846,0,0,1435,"",4.84,8.48,8.53,8.52,7.90,0.00,0.00,0.93,"",0,0.0,-141,-1.2,23,0.2,0,0.0,7263228,3.5,0,0.0,0,0.0,53,3.8
"51000","1","31-33","54","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",6,11494,11508,11514,246662273,0,0,1649,"",4.81,8.23,8.36,8.37,7.75,0.00,0.00,0.93,"",0,0.0,9,0.1,59,0.5,59,0.5,-4290456,-1.7,0,0.0,0,0.0,-35,-2.1
"51000","1","323","55","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,98339,0,0,1513,"",2.06,0.07,0.07,0.07,0.05,0.00,0.00,0.79,"",0,0.0,0,0.0,0,0.0,0,0.0,6822,7.5,0,0.0,0,0.0,105,7.5
"51000","1","323","55","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 323 Printing and related support activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,115954,0,0,1784,"",2.05,0.07,0.07,0.07,0.05,0.00,0.00,0.78,"",0,0.0,0,0.0,0,0.0,0,0.0,20836,21.9,0,0.0,0,0.0,321,21.9
"51000","1","3231","56","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 3231 Printing and related support activities","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,98339,0,0,1513,"",2.06,0.07,0.07,0.07,0.05,0.00,0.00,0.79,"",0,0.0,0,0.0,0,0.0,0,0.0,6822,7.5,0,0.0,0,0.0,105,7.5
"51000","1","3231","56","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 3231 Printing and related support activities","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,115954,0,0,1784,"",2.05,0.07,0.07,0.07,0.05,0.00,0.00,0.78,"",0,0.0,0,0.0,0,0.0,0,0.0,20836,21.9,0,0.0,0,0.0,321,21.9
"51000","1","32311","57","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 32311 Printing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,98339,0,0,1513,"",2.06,0.07,0.07,0.07,0.05,0.00,0.00,0.79,"",0,0.0,0,0.0,0,0.0,0,0.0,6822,7.5,0,0.0,0,0.0,105,7.5
"51000","1","32311","57","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 32311 Printing","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,115954,0,0,1784,"",2.05,0.07,0.07,0.07,0.05,0.00,0.00,0.78,"",0,0.0,0,0.0,0,0.0,0,0.0,20836,21.9,0,0.0,0,0.0,321,21.9
"51000","1","323117","58","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 323117 Books printing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,98339,0,0,1513,"",3.09,0.12,0.12,0.12,0.10,0.00,0.00,0.84,"",0,0.0,0,0.0,0,0.0,0,0.0,6822,7.5,0,0.0,0,0.0,105,7.5
"51000","1","323117","58","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 323117 Books printing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,115954,0,0,1784,"",3.07,0.12,0.12,0.12,0.09,0.00,0.00,0.75,"",0,0.0,0,0.0,0,0.0,0,0.0,20836,21.9,0,0.0,0,0.0,321,21.9
"51000","1","336","55","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,11391,11482,11534,213981507,0,0,1435,"",9.89,10.06,10.10,10.09,9.43,0.00,0.00,0.93,"",0,0.0,-141,-1.2,23,0.2,0,0.0,7256406,3.5,0,0.0,0,0.0,53,3.8
"51000","1","336","55","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 336 Transportation equipment manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,11489,11503,11509,246546319,0,0,1649,"",9.84,9.75,9.91,9.92,9.18,0.00,0.00,0.93,"",0,0.0,9,0.1,59,0.5,59,0.5,-4311292,-1.7,0,0.0,0,0.0,-35,-2.1
"51000","1","3366","56","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 3366 Ship and boat building","State, NAICS 4-digit -- by ownership sector","All establishment sizes",4,11391,11482,11534,213981507,0,0,1435,"",10.60,10.80,10.84,10.83,10.01,0.00,0.00,0.92,"",0,0.0,-141,-1.2,23,0.2,0,0.0,7256406,3.5,0,0.0,0,0.0,53,3.8
"51000","1","3366","56","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 3366 Ship and boat building","State, NAICS 4-digit -- by ownership sector","All establishment sizes",4,11489,11503,11509,246546319,0,0,1649,"",10.54,10.47,10.64,10.65,9.68,0.00,0.00,0.91,"",0,0.0,9,0.1,59,0.5,59,0.5,-4311292,-1.7,0,0.0,0,0.0,-35,-2.1
"51000","1","33661","57","0","2020","1","","Virginia -- Statewide","Federal Government","NAICS 33661 Ship and boat building","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,11391,11482,11534,213981507,0,0,1435,"",10.60,10.80,10.84,10.83,10.01,0.00,0.00,0.92,"",0,0.0,-141,-1.2,23,0.2,0,0.0,7256406,3.5,0,0.0,0,0.0,53,3.8
"51000","1","33661","57","0","2020","2","","Virginia -- Statewide","Federal Government","NAICS 33661 Ship and boat building","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,11489,11503,11509,246546319,0,0,1649,"",10.54,10.47,10.64,10.65,9.68,0.00,0.00,0.91,"",0,0.0,9,0.1,59,0.5,59,0.5,-4311292,-1.7,0,0.0,0,0.0,-35,-2.1
