"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53000","0","10","50","0","2020","1","","Washington -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",256697,3410253,3424505,3422239,62806307949,41507253593,368890702,1413,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4556,1.8,68874,2.1,102285,3.1,53684,1.6,3577804367,6.0,2884035288,7.5,32563819,9.7,51,3.7
"53000","0","10","50","0","2020","2","","Washington -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",253768,3067081,3082671,3207105,57758136220,26441366394,241721846,1424,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",952,0.4,-339007,-10.0,-357662,-10.4,-293528,-8.4,56131037,0.1,-1037109602,-3.8,-26157809,-9.8,137,10.6
"53000","1","10","51","0","2020","1","","Washington -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1335,76356,76478,76801,1501267790,0,0,1509,"",0.89,1.16,1.16,1.16,0.99,0.00,0.00,0.85,"",4,0.3,1859,2.5,1753,2.3,1941,2.6,33667959,2.3,0,0.0,0,0.0,-2,-0.1
"53000","1","10","51","0","2020","2","","Washington -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1336,77223,77639,78035,1697549447,0,0,1682,"",0.90,1.12,1.15,1.14,0.92,0.00,0.00,0.81,"",11,0.8,2340,3.1,1795,2.4,1996,2.6,108142608,6.8,0,0.0,0,0.0,65,4.0
"53000","1","101","52","0","2020","1","","Washington -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",6,14893,14904,14924,303124115,0,0,1564,"",1.96,12.07,12.03,11.94,10.69,0.00,0.00,0.89,"",0,0.0,458,3.2,376,2.6,303,2.1,24203319,8.7,0,0.0,0,0.0,87,5.9
"53000","1","101","52","0","2020","2","","Washington -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",6,14897,14891,14912,342884986,0,0,1770,"",2.04,11.43,11.56,11.33,9.94,0.00,0.00,0.87,"",0,0.0,373,2.6,285,2.0,309,2.1,8602300,2.6,0,0.0,0,0.0,6,0.3
"53000","1","1013","53","0","2020","1","","Washington -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",6,14893,14904,14924,303124115,0,0,1564,"",5.29,12.75,12.70,12.63,11.21,0.00,0.00,0.88,"",0,0.0,458,3.2,376,2.6,303,2.1,24203319,8.7,0,0.0,0,0.0,87,5.9
"53000","1","1013","53","0","2020","2","","Washington -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",6,14897,14891,14912,342884986,0,0,1770,"",5.37,12.18,12.41,12.29,10.50,0.00,0.00,0.85,"",0,0.0,373,2.6,285,2.0,309,2.1,8602300,2.6,0,0.0,0,0.0,6,0.3
"53000","1","102","52","0","2020","1","","Washington -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1329,61463,61574,61877,1198143675,0,0,1495,"",0.89,0.95,0.95,0.95,0.80,0.00,0.00,0.84,"",4,0.3,1401,2.3,1377,2.3,1638,2.7,9464640,0.8,0,0.0,0,0.0,-25,-1.6
"53000","1","102","52","0","2020","2","","Washington -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1330,62326,62748,63123,1354664461,0,0,1661,"",0.90,0.92,0.95,0.94,0.75,0.00,0.00,0.80,"",11,0.8,1967,3.3,1510,2.5,1687,2.7,99540308,7.9,0,0.0,0,0.0,79,5.0
