"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54000","0","10","50","0","2020","1","","West Virginia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",51389,677249,675561,675510,7943271869,3683588175,93381155,904,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",522,1.0,-6568,-1.0,-6385,-0.9,-11477,-1.7,-24638252,-0.3,-105253562,-2.8,-9207347,-9.0,8,0.9
"54000","0","10","50","0","2020","2","","West Virginia -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",51290,590841,608596,634928,7414290792,1201788224,31601863,933,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",400,0.8,-102406,-14.8,-89806,-12.9,-65628,-9.4,-646072569,-8.0,-315100464,-20.8,-9797592,-23.7,44,4.9
"54000","1","10","51","0","2020","1","","West Virginia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1033,24521,24547,25402,455436953,0,0,1411,"",3.43,1.88,1.89,1.94,2.37,0.00,0.00,1.24,"",34,3.4,1169,5.0,979,4.2,1716,7.2,27309083,6.4,0,0.0,0,0.0,12,0.9
"54000","1","10","51","0","2020","2","","West Virginia -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1035,25327,25247,24931,530761927,0,0,1622,"",3.46,1.91,1.89,1.84,2.24,0.00,0.00,1.19,"",38,3.8,1603,6.8,1358,5.7,901,3.7,70260222,15.3,0,0.0,0,0.0,139,9.4
"54000","1","101","52","0","2020","1","","West Virginia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,23556,0,0,1812,"",1.63,0.00,0.00,0.00,0.01,0.00,0.00,1.61,"",0,0.0,0,0.0,0,0.0,0,0.0,1481,6.7,0,0.0,0,0.0,114,6.7
"54000","1","101","52","0","2020","2","","West Virginia -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,27742,0,0,2134,"",1.68,0.00,0.00,0.00,0.01,0.00,0.00,1.60,"",0,0.0,0,0.0,0,0.0,0,0.0,4998,22.0,0,0.0,0,0.0,384,21.9
"54000","1","1013","53","0","2020","1","","West Virginia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,23556,0,0,1812,"",4.40,0.00,0.00,0.00,0.01,0.00,0.00,1.60,"",0,0.0,0,0.0,0,0.0,0,0.0,1481,6.7,0,0.0,0,0.0,114,6.7
"54000","1","1013","53","0","2020","2","","West Virginia -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,27742,0,0,2134,"",4.43,0.00,0.00,0.00,0.01,0.00,0.00,1.57,"",0,0.0,0,0.0,0,0.0,0,0.0,4998,22.0,0,0.0,0,0.0,384,21.9
"54000","1","102","52","0","2020","1","","West Virginia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1032,24520,24546,25401,455413397,0,0,1411,"",3.43,1.92,1.93,1.97,2.41,0.00,0.00,1.24,"",34,3.4,1169,5.0,979,4.2,1716,7.2,27307602,6.4,0,0.0,0,0.0,12,0.9
"54000","1","102","52","0","2020","2","","West Virginia -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1034,25326,25246,24930,530734185,0,0,1622,"",3.46,1.94,1.93,1.88,2.28,0.00,0.00,1.19,"",38,3.8,1603,6.8,1358,5.7,901,3.7,70255224,15.3,0,0.0,0,0.0,139,9.4
