"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55000","0","10","50","0","2020","1","","Wisconsin -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",177937,2844574,2845529,2835837,37233829185,19296943528,274827181,1008,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3547,2.0,11424,0.4,17184,0.6,-5046,-0.2,717395484,2.0,388190358,2.1,-6562877,-2.3,17,1.7
"55000","0","10","50","0","2020","2","","Wisconsin -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",179187,2489060,2570951,2690006,34060893993,6237179073,106204420,1014,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2785,1.6,-383499,-13.4,-334090,-11.5,-256815,-8.7,-1437975371,-4.1,-1111588274,-15.1,-25901959,-19.6,75,8.0
"55000","1","10","51","0","2020","1","","Wisconsin -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1274,29501,29362,29882,475739304,0,0,1237,"",1.22,0.54,0.54,0.54,0.53,0.00,0.00,0.98,"",48,3.9,447,1.5,329,1.1,917,3.2,8220545,1.8,0,0.0,0,0.0,-2,-0.2
"55000","1","10","51","0","2020","2","","Wisconsin -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1278,29867,29869,30100,544209809,0,0,1398,"",1.22,0.53,0.53,0.52,0.50,0.00,0.00,0.95,"",49,4.0,744,2.6,785,2.7,735,2.5,35863621,7.1,0,0.0,0,0.0,58,4.3
"55000","1","102","52","0","2020","1","","Wisconsin -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1274,29501,29362,29882,475739304,0,0,1237,"",1.22,0.55,0.55,0.55,0.54,0.00,0.00,0.98,"",48,3.9,447,1.5,329,1.1,917,3.2,8220545,1.8,0,0.0,0,0.0,-2,-0.2
"55000","1","102","52","0","2020","2","","Wisconsin -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1278,29867,29869,30100,544209809,0,0,1398,"",1.22,0.54,0.54,0.53,0.51,0.00,0.00,0.95,"",49,4.0,744,2.6,785,2.7,735,2.5,35863621,7.1,0,0.0,0,0.0,58,4.3
"55000","1","1021","53","0","2020","1","","Wisconsin -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",723,11347,11145,11165,154496897,0,0,1059,"",1.40,0.88,0.87,0.87,0.99,0.00,0.00,1.13,"",-1,-0.1,-5,0.0,-131,-1.2,-64,-0.6,-346091,-0.2,0,0.0,0,0.0,4,0.4
"55000","1","1021","53","0","2020","2","","Wisconsin -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",723,11195,11461,11515,179953363,0,0,1215,"",1.39,0.86,0.87,0.86,0.94,0.00,0.00,1.09,"",-1,-0.1,-91,-0.8,171,1.5,201,1.8,7281550,4.2,0,0.0,0,0.0,39,3.3
"55000","1","1023","53","0","2020","1","","Wisconsin -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",14,151,151,149,3644752,0,0,1865,"",1.06,0.65,0.66,0.65,0.64,0.00,0.00,0.98,"",-1,-6.7,-9,-5.6,-7,-4.4,-9,-5.7,58083,1.6,0,0.0,0,0.0,126,7.2
"55000","1","1023","53","0","2020","2","","Wisconsin -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",14,151,154,157,4076734,0,0,2036,"",1.06,0.66,0.66,0.66,0.62,0.00,0.00,0.95,"",-1,-6.7,-10,-6.2,-6,-3.8,-5,-3.1,392026,10.6,0,0.0,0,0.0,276,15.7
