"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"72000","0","10","50","0","2020","1","","Puerto Rico -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",46526,870740,875203,884349,6282516708,2937947225,74486244,551,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",352,0.8,5268,0.6,6325,0.7,6573,0.7,41308016,0.7,21012493,0.7,-4496432,-5.7,0,0.0
"72000","0","10","50","0","2020","2","","Puerto Rico -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",46094,762961,769187,798702,5611038661,846367572,23485246,556,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-736,-1.6,-111582,-12.8,-106998,-12.2,-68779,-7.9,-417739287,-6.9,-283475804,-25.1,-10281448,-30.4,25,4.7
"72000","1","10","51","0","2020","1","","Puerto Rico -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",346,16633,16891,22475,299723766,0,0,1235,"",1.27,0.99,1.01,1.31,1.97,0.00,0.00,1.79,"",71,25.8,193,1.2,424,2.6,6188,38.0,18202364,6.5,0,0.0,0,0.0,-86,-6.5
"72000","1","10","51","0","2020","2","","Puerto Rico -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",347,22848,18439,20766,351385638,0,0,1307,"",1.29,1.33,1.09,1.22,1.96,0.00,0.00,1.61,"",73,26.6,6467,39.5,2211,13.6,4488,27.6,51057650,17.0,0,0.0,0,0.0,-111,-7.8
"72000","1","102","52","0","2020","1","","Puerto Rico -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",346,16633,16891,22475,299723766,0,0,1235,"",1.27,1.01,1.02,1.33,2.01,0.00,0.00,1.79,"",71,25.8,193,1.2,424,2.6,6188,38.0,18202364,6.5,0,0.0,0,0.0,-86,-6.5
"72000","1","102","52","0","2020","2","","Puerto Rico -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",347,22848,18439,20766,351385638,0,0,1307,"",1.29,1.36,1.11,1.24,2.00,0.00,0.00,1.61,"",73,26.6,6467,39.5,2211,13.6,4488,27.6,51057650,17.0,0,0.0,0,0.0,-111,-7.8
"72000","1","1021","53","0","2020","1","","Puerto Rico -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",121,2749,2733,2728,44785956,0,0,1259,"",0.90,0.69,0.70,0.68,1.69,0.00,0.00,2.45,"",0,0.0,-12,-0.4,-13,-0.5,11,0.4,1740499,4.0,0,0.0,0,0.0,51,4.2
"72000","1","1021","53","0","2020","2","","Puerto Rico -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",121,2710,2909,3010,54852546,0,0,1467,"",0.91,0.68,0.74,0.76,1.74,0.00,0.00,2.40,"",0,0.0,-29,-1.1,211,7.8,332,12.4,5028098,10.1,0,0.0,0,0.0,50,3.5
"72000","1","1022","53","0","2020","1","","Puerto Rico -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,25138,0,0,967,"",1.78,0.05,0.05,0.05,0.07,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,-2878,-10.3,0,0.0,0,0.0,-111,-10.3
"72000","1","1022","53","0","2020","2","","Puerto Rico -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,29507,0,0,1135,"",1.79,0.05,0.05,0.05,0.07,0.00,0.00,1.41,"",0,0.0,0,0.0,0,0.0,0,0.0,5185,21.3,0,0.0,0,0.0,200,21.4
"72000","1","1023","53","0","2020","1","","Puerto Rico -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",2,69,66,65,1221911,0,0,1410,"",0.58,0.98,0.94,0.91,1.27,0.00,0.00,1.35,"",0,0.0,-8,-10.4,-10,-13.2,-13,-16.7,-121726,-9.1,0,0.0,0,0.0,68,5.1
