"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"78000","0","10","50","0","2020","1","","Virgin Islands -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",3581,39289,39826,40262,540467163,320643099,7577199,1045,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",93,2.7,2964,8.2,2325,6.2,2354,6.2,63948660,13.4,45765606,16.6,1071771,16.5,61,6.2
"78000","0","10","50","0","2020","2","","Virgin Islands -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",3436,34974,35075,35366,464080439,169234181,4043368,1016,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,0.4,-2892,-7.6,-3013,-7.9,-2642,-7.0,-5096825,-1.1,-21005896,-11.0,-493864,-10.9,66,6.9
"78000","1","10","51","0","2020","1","","Virgin Islands -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",51,925,936,922,18985179,0,0,1574,"",2.43,1.22,1.22,1.18,1.45,0.00,0.00,1.20,"",-3,-5.6,1,0.1,19,2.1,-3,-0.3,885273,4.9,0,0.0,0,0.0,64,4.2
"78000","1","10","51","0","2020","2","","Virgin Islands -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",51,912,910,918,20349359,0,0,1714,"",2.54,1.16,1.18,1.22,1.37,0.00,0.00,1.16,"",-2,-3.8,-13,-1.4,-21,-2.3,-18,-1.9,1913579,10.4,0,0.0,0,0.0,190,12.5
"78000","1","102","52","0","2020","1","","Virgin Islands -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",51,925,936,922,18985179,0,0,1574,"",2.44,1.25,1.25,1.20,1.48,0.00,0.00,1.20,"",-3,-5.6,1,0.1,19,2.1,-3,-0.3,885273,4.9,0,0.0,0,0.0,64,4.2
"78000","1","102","52","0","2020","2","","Virgin Islands -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",51,912,910,918,20349359,0,0,1714,"",2.55,1.18,1.21,1.24,1.40,0.00,0.00,1.16,"",-2,-3.8,-13,-1.4,-21,-2.3,-18,-1.9,1913579,10.4,0,0.0,0,0.0,190,12.5
"78000","1","1021","53","0","2020","1","","Virgin Islands -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",12,151,153,149,2842204,0,0,1448,"",1.15,0.85,0.86,0.82,1.25,0.00,0.00,1.48,"",0,0.0,1,0.7,2,1.3,-2,-1.3,-82929,-2.8,0,0.0,0,0.0,-45,-3.0
"78000","1","1021","53","0","2020","2","","Virgin Islands -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",12,154,146,145,3098088,0,0,1607,"",1.21,0.84,0.81,0.82,1.19,0.00,0.00,1.44,"",0,0.0,6,4.1,-6,-3.9,-6,-4.0,-190864,-5.8,0,0.0,0,0.0,-76,-4.5
"78000","1","1023","53","0","2020","1","","Virgin Islands -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,76715,0,0,1475,"",3.75,1.26,1.25,1.23,0.93,0.00,0.00,0.74,"",0,0.0,0,0.0,0,0.0,0,0.0,7146,10.3,0,0.0,0,0.0,137,10.2
"78000","1","1023","53","0","2020","2","","Virgin Islands -- Statewide","Federal Government","1023 Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,95978,0,0,1846,"",3.94,1.24,1.25,1.27,1.07,0.00,0.00,0.86,"",0,0.0,0,0.0,0,0.0,0,0.0,24473,34.2,0,0.0,0,0.0,471,34.3
